handwashing,p20,povcal_year,iso3,value,total,percentage,demographic
no soap and water,P20,2010,AGO,1258112.06386585,2340784.70289782,0.537474489776162,P20
no soap and water,Not P20,2011,AGO,2076142.89810347,6554162.72685495,0.316767066157315,Not P20
no soap and water,P20,2011,AGO,1481638.15927695,2774466.89816702,0.534026252126419,P20
no soap and water,Not P20,2012,AGO,2094302.5499786,6681292.36849931,0.313457701664536,Not P20
no soap and water,P20,2012,AGO,1593809.89673846,2989070.83709644,0.533212487625977,P20
no soap and water,Not P20,2013,AGO,2005254.41878127,6594464.20984849,0.304081477277035,Not P20
no soap and water,P20,2013,AGO,1816212.27351817,3425558.6138909,0.530194481610473,P20
no soap and water,Not P20,2014,AGO,1905579.48298904,6503750.21895035,0.292997027689754,Not P20
no soap and water,P20,2014,AGO,2051907.51450989,3872922.72693644,0.529808534582612,P20
no soap and water,Not P20,2015,AGO,1791504.07047085,6403085.69337085,0.279787614325638,Not P20
no soap and water,P20,2015,AGO,2304442.05249327,4336632.0489319,0.531389803536789,P20
no soap and water,Not P20,2016,AGO,1577645.68956195,6101729.64125362,0.258557127620918,Not P20
no soap and water,P20,2016,AGO,2659036.50598166,5007003.13452085,0.531063479399263,P20
no soap and water,Not P20,2017,AGO,1427238.30734221,5814392.26186913,0.245466463744124,Not P20
no soap and water,P20,2017,AGO,2952553.85551763,5669579.98457844,0.520771179443405,P20
no soap and water,Not P20,2018,AGO,1246127.97837368,5467710.73552395,0.227906712452348,Not P20
no soap and water,P20,2018,AGO,3279528.34562172,6398722.5766419,0.512528603379902,P20
no soap and water,Not P20,2000,ARM,459923.944108944,4839597.78819294,0.0950335057245895,Not P20
no soap and water,P20,2000,ARM,238047.778618344,820719.862037844,0.290047541955757,P20
no soap and water,Not P20,2001,ARM,458129.390719575,4802678.25254428,0.0953903981547951,Not P20
no soap and water,P20,2001,ARM,237147.321473955,819510.211784261,0.289376896180013,P20
no soap and water,Not P20,2002,ARM,446760.907169277,4752061.24365444,0.0940141307660646,Not P20
no soap and water,P20,2002,ARM,237780.950069081,828159.209901239,0.287119852349933,P20
no soap and water,Not P20,2003,ARM,457003.517281142,4823053.1796617,0.0947539867916607,Not P20
no soap and water,P20,2003,ARM,225214.159498721,684404.348955489,0.329065938640563,P20
no soap and water,Not P20,2004,ARM,511041.034557179,4887039.34303395,0.104570681487479,Not P20
no soap and water,P20,2004,ARM,186419.7096334,559108.698981829,0.333423017693844,P20
no soap and water,Not P20,2005,ARM,527246.263590487,5000017.05819521,0.105448892964537,Not P20
no soap and water,P20,2005,ARM,175393.34861546,388812.745711804,0.451099791737449,P20
no soap and water,Not P20,2006,ARM,597172.761163908,5014231.76330848,0.119095564256464,Not P20
no soap and water,P20,2006,ARM,107373.327850073,312844.435577152,0.343216358162116,P20
no soap and water,Not P20,2007,ARM,600675.148709355,5019645.90445209,0.119664844919957,Not P20
no soap and water,P20,2007,ARM,99311.5127428467,241797.275726652,0.410722215311957,P20
no soap and water,Not P20,2008,ARM,622635.437697298,5060718.66872762,0.123033007455015,Not P20
no soap and water,P20,2008,ARM,61767.3157739427,169731.273769406,0.363912403425776,P20
no soap and water,Not P20,2009,ARM,594108.628816421,4912539.34563223,0.120937174649735,Not P20
no soap and water,P20,2009,ARM,98534.36859586,261316.858676899,0.377068548484625,P20
no soap and water,Not P20,2010,ARM,530704.761706621,4754161.01416258,0.111629530452515,Not P20
no soap and water,P20,2010,ARM,180523.408622597,399339.949743994,0.452054468225195,P20
no soap and water,Not P20,2011,ARM,382250.723382621,3177937.2857211,0.120282651611825,Not P20
no soap and water,P20,2011,ARM,102997.583303476,204023.373949527,0.50483227146786,P20
no soap and water,Not P20,2012,ARM,362988.022800119,3182460.53090528,0.114058923677166,Not P20
no soap and water,P20,2012,ARM,120070.659657023,234515.13255094,0.511995359749085,P20
no soap and water,Not P20,2013,ARM,331061.207734776,3157600.4573951,0.104845819539781,Not P20
no soap and water,P20,2013,ARM,153122.237759091,317818.554672276,0.481791372806997,P20
no soap and water,Not P20,2014,ARM,326651.044621579,3198625.46446849,0.102122317304773,Not P20
no soap and water,P20,2014,ARM,157000.929809893,335442.081088776,0.468041842872846,P20
no soap and water,Not P20,2015,ARM,321690.447525767,3223232.15358802,0.0998036853062756,Not P20
no soap and water,P20,2015,ARM,161124.006911756,341156.797584639,0.47228725340518,P20
no soap and water,Not P20,2016,ARM,1067541.51506369,4871107.29741776,0.21915787312458,Not P20
no soap and water,P20,2016,ARM,531753.799650278,877367.41799883,0.606078808879346,P20
no soap and water,Not P20,2017,ARM,1057732.87440396,4848053.74445371,0.218176804581433,Not P20
no soap and water,P20,2017,ARM,535324.505413604,917390.058830459,0.583529873973199,P20
no soap and water,Not P20,2018,ARM,1009471.54592401,4788229.19854097,0.210823564216936,Not P20
no soap and water,P20,2018,ARM,578159.106404665,990861.881729216,0.583491117243993,P20
no soap and water,Not P20,2000,BDI,3394324.00051418,4073372.10503194,0.833295832787061,Not P20
no soap and water,P20,2000,BDI,7730733.63820667,8113689.51543958,0.952801265502682,P20
no soap and water,Not P20,2001,BDI,3475748.81564928,4173961.84435379,0.832721751002828,Not P20
no soap and water,P20,2001,BDI,7903098.77751253,8292866.25212944,0.95299966709136,P20
no soap and water,Not P20,2002,BDI,3589141.7803853,4306083.81103289,0.833504859145875,Not P20
no soap and water,P20,2002,BDI,8102473.42903516,8502320.10424979,0.952972051121109,P20
no soap and water,Not P20,2003,BDI,3494258.81859563,4229655.87045341,0.826133124211132,Not P20
no soap and water,P20,2003,BDI,8551152.4266843,8970348.60550404,0.95326868583875,P20
no soap and water,Not P20,2004,BDI,3416098.0593306,4158174.2589497,0.821537974744103,Not P20
no soap and water,P20,2004,BDI,9016180.54737121,9467461.82189551,0.952333446596994,P20
no soap and water,Not P20,2005,BDI,3282759.63597845,4033953.84516227,0.813782150709362,Not P20
no soap and water,P20,2005,BDI,9554520.27326073,10036384.2545587,0.95198828890204,P20
no soap and water,Not P20,2006,BDI,3364990.54624079,4146400.75823913,0.81154493799336,Not P20
no soap and water,P20,2006,BDI,9890026.98717818,10387223.4130089,0.952133846932757,P20
no soap and water,Not P20,2007,BDI,3471719.66316684,4274252.81756719,0.812240129759772,Not P20
no soap and water,P20,2007,BDI,10228294.8498251,10745845.1787656,0.951837168660939,P20
no soap and water,Not P20,2008,BDI,3578372.13428239,4405821.04382862,0.812191893108036,Not P20
no soap and water,P20,2008,BDI,10589070.1535265,11118781.447952,0.952358871616901,P20
no soap and water,Not P20,2009,BDI,3565091.49408083,4401471.22679849,0.809977234969676,Not P20
no soap and water,P20,2009,BDI,11074097.797994,11642036.0219385,0.951216589359946,P20
no soap and water,Not P20,2010,BDI,3579119.68743985,4428735.29710263,0.808158412579181,Not P20
no soap and water,P20,2010,BDI,11550110.2860447,12145644.8461063,0.950967234131456,P20
no soap and water,Not P20,2011,BDI,3348845.36734062,4201277.47039776,0.797101688935476,Not P20
no soap and water,P20,2011,BDI,12282227.2182161,12914826.0948856,0.951017623309688,P20
no soap and water,Not P20,2012,BDI,1967389.07467344,2448294.8343461,0.803575225938384,Not P20
no soap and water,P20,2012,BDI,9018369.72234151,9437579.79681121,0.955580765037733,P20
no soap and water,Not P20,2013,BDI,1833235.1960761,2313332.95433451,0.792464911996845,Not P20
no soap and water,P20,2013,BDI,9156784.66526736,9578559.16362034,0.955966811798282,P20
no soap and water,Not P20,2014,BDI,1589337.76055819,2051959.76944002,0.77454625779136,Not P20
no soap and water,P20,2014,BDI,9343041.41491944,9779842.84875522,0.955336559023402,P20
no soap and water,Not P20,2015,BDI,1411082.14475394,1845039.09533023,0.764797964620574,Not P20
no soap and water,P20,2015,BDI,9484952.58778291,9939286.921118,0.95428904136274,P20
no soap and water,Not P20,2016,BDI,1248355.99784383,1670881.41171683,0.747124235801477,Not P20
no soap and water,P20,2016,BDI,9584959.4774792,10047976.7112435,0.953919356396774,P20
no soap and water,Not P20,2017,BDI,2754981.1903992,3919654.39178011,0.702863292278183,Not P20
no soap and water,P20,2017,BDI,13688012.139175,15223069.0131097,0.899162457148901,P20
no soap and water,Not P20,2018,BDI,2603524.95610723,3683229.23079706,0.706859332657886,Not P20
no soap and water,P20,2018,BDI,14489273.7985069,16142175.6675887,0.897603526121908,P20
no soap and water,Not P20,2000,BEN,4893380.89820669,6912441.18826895,0.707909226990778,Not P20
no soap and water,P20,2000,BEN,3229459.51163697,3740078.62440732,0.863473695596101,P20
no soap and water,Not P20,2001,BEN,5026938.87780748,7089550.90128156,0.709063091274058,Not P20
no soap and water,P20,2001,BEN,3356390.030498,3887860.00440468,0.863300125697799,P20
no soap and water,Not P20,2002,BEN,5159262.31443472,7285099.64935284,0.708193787698297,Not P20
no soap and water,P20,2002,BEN,3486276.05298265,4037755.88268749,0.863419224508,P20
