handwashing,p20,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,2013,CIV,9571350.51793612,18100452.6515759,0.528790671823492,Not P20
no soap and water,P20,2013,CIV,11262838.1836371,15393813.3698658,0.731647052814391,P20
no soap and water,Not P20,2014,CIV,9970977.74845068,18782124.9845896,0.53087591295616,Not P20
no soap and water,P20,2014,CIV,11391602.6460037,15561614.5718377,0.732032180428077,P20
no soap and water,Not P20,2015,CIV,10247445.4163664,19283644.2054707,0.531406061384354,Not P20
no soap and water,P20,2015,CIV,11660771.2913027,15937292.3509239,0.731665770730917,P20
no soap and water,Not P20,2016,CIV,10807579.6403027,20197948.9212808,0.535083026619387,Not P20
no soap and water,P20,2016,CIV,11663356.7040065,15927648.789675,0.732271087718052,P20
no soap and water,Not P20,2017,CIV,11311358.5806783,21181606.1803645,0.534017981656369,Not P20
no soap and water,P20,2017,CIV,11739449.5814408,15876227.5395027,0.739435709914782,P20
no soap and water,Not P20,2018,CIV,11807466.5059301,22310332.147611,0.52923759394566,Not P20
no soap and water,P20,2018,CIV,11839253.5554326,15705524.5586327,0.7538273243427,P20
no soap and water,Not P20,2010,CMR,673068.535028684,805049.100289604,0.836058986696039,Not P20
no soap and water,P20,2010,CMR,140646.81698862,191114.00394669,0.735931507289506,P20
no soap and water,Not P20,2011,CMR,608993.154800205,666524.429083104,0.913684672650271,Not P20
no soap and water,P20,2011,CMR,227329.902914433,357315.383268975,0.636216389103256,P20
no soap and water,Not P20,2012,CMR,625855.596053301,684979.85660405,0.913684672650271,Not P20
no soap and water,P20,2012,CMR,233624.451716421,367209.106394939,0.636216389103256,P20
no soap and water,Not P20,2013,CMR,643101.207080068,703854.651752735,0.913684672650271,Not P20
no soap and water,P20,2013,CMR,240062.033238501,377327.647244152,0.636216389103256,P20
no soap and water,Not P20,2014,CMR,660711.75279777,723128.856787411,0.913684672650271,Not P20
no soap and water,P20,2014,CMR,246635.840541128,387660.30672168,0.636216389103256,P20
no soap and water,Not P20,2015,CMR,678670.396340876,742784.044272404,0.913684672650271,Not P20
no soap and water,P20,2015,CMR,253339.588622613,398197.206110478,0.636216389103256,P20
no soap and water,Not P20,2016,CMR,696968.719276622,762811.00048988,0.913684672650271,Not P20
no soap and water,P20,2016,CMR,260170.134982111,408933.40605202,0.636216389103256,P20
no soap and water,Not P20,2017,CMR,715597.225379812,783199.332111068,0.913684672650271,Not P20
no soap and water,P20,2017,CMR,267123.934791681,419863.334813162,0.636216389103256,P20
no soap and water,Not P20,2018,CMR,734537.009588631,803928.348122557,0.913684672650271,Not P20
no soap and water,P20,2018,CMR,274193.931016555,430975.900201235,0.636216389103256,P20
no soap and water,Not P20,2000,COD,2068230.55092255,4082995.05168892,0.50654740570088,Not P20
no soap and water,P20,2000,COD,16415508.6711735,19064952.8922635,0.86103064423699,P20
no soap and water,Not P20,2001,COD,1744087.79077662,3648177.90992268,0.478070925771706,Not P20
no soap and water,P20,2001,COD,17496465.0214053,20447558.8648546,0.855675004387849,P20
no soap and water,Not P20,2002,COD,1526966.3202041,3361390.01334119,0.45426633450556,Not P20
no soap and water,P20,2002,COD,18446341.5636315,21652006.118696,0.851946071994852,P20
no soap and water,Not P20,2003,COD,1562857.94836265,3399338.99896366,0.459753484085908,Not P20
no soap and water,P20,2003,COD,19070892.8559877,22441157.0050384,0.849817718921803,P20
no soap and water,Not P20,2004,COD,1605214.61449262,3464372.18824445,0.463349353726931,Not P20
no soap and water,P20,2004,COD,19725292.3960675,23248700.3110854,0.848447101649901,P20
no soap and water,Not P20,2005,COD,1667093.95858181,3597920.11183917,0.463349353726931,Not P20
no soap and water,P20,2005,COD,20485681.7822692,24144913.3863885,0.848447101649901,P20
no soap and water,Not P20,2006,COD,1958863.14945246,4194583.9689691,0.466998196708859,Not P20
no soap and water,P20,2006,COD,20918022.3129243,24455081.9584648,0.855365046351187,P20
no soap and water,Not P20,2007,COD,2597143.85717421,5121164.08621161,0.507139356102033,Not P20
no soap and water,P20,2007,COD,20693857.8958114,24047116.7287499,0.860554640676343,P20
no soap and water,Not P20,2008,COD,907850.550877319,1670194.65874997,0.543559725880568,Not P20
no soap and water,P20,2008,COD,5604021.81040357,6484891.31305369,0.864165880332184,P20
no soap and water,Not P20,2009,COD,938467.98275391,1755836.79677959,0.534484745094287,Not P20
no soap and water,P20,2009,COD,5793018.50798683,6674280.9949069,0.867961434708464,P20
no soap and water,Not P20,2010,COD,9058460.30313678,11267580.582258,0.803940139323277,Not P20
no soap and water,P20,2010,COD,54033617.0895736,62011939.1158128,0.871342161848237,P20
no soap and water,Not P20,2011,COD,8484780.27205382,10621532.666326,0.798828242458223,Not P20
no soap and water,P20,2011,COD,56748643.9816814,65145095.9678821,0.871111526332844,P20
no soap and water,Not P20,2012,COD,10076790.9448305,12579125.5661668,0.801072450690316,Not P20
no soap and water,P20,2012,COD,57370581.5652847,65758936.3060701,0.872437797628866,P20
no soap and water,Not P20,2013,COD,10823866.9183981,13571770.825987,0.797527976059892,Not P20
no soap and water,P20,2013,COD,58908267.9367407,67419972.684048,0.873750990864444,P20
no soap and water,Not P20,2014,COD,11772330.4005699,14720461.6806119,0.79972562382843,Not P20
no soap and water,P20,2014,COD,60313537.8808785,69005071.2702696,0.874045005252596,P20
no soap and water,Not P20,2015,COD,12259205.6425607,15317308.5090313,0.800349854893402,Not P20
no soap and water,P20,2015,COD,62247292.5417009,71219712.0956936,0.874017750283278,P20
no soap and water,Not P20,2016,COD,12573725.5759503,15722549.3360556,0.79972562382843,Not P20
no soap and water,P20,2016,COD,64419350.1222276,73702555.0573459,0.874045005252596,P20
no soap and water,Not P20,2017,COD,12323378.6773655,15457903.917796,0.797221844753361,Not P20
no soap and water,P20,2017,COD,67219845.5849127,76929120.0962389,0.873789346619591,P20
no soap and water,Not P20,2018,COD,12273651.2564546,15321524.5960311,0.801072450690316,Not P20
no soap and water,P20,2018,COD,69878050.8961063,80095166.7683619,0.872437797628866,P20
no soap and water,Not P20,2000,COG,260879.506366511,260879.506366511,1,Not P20
no soap and water,P20,2000,COG,884224.543037596,884224.543037596,1,P20
no soap and water,Not P20,2001,COG,270407.324806039,270407.324806039,1,Not P20
no soap and water,P20,2001,COG,916518.114208347,916518.114208347,1,P20
no soap and water,Not P20,2002,COG,277424.72843041,277424.72843041,1,Not P20
no soap and water,P20,2002,COG,940302.88979111,940302.88979111,1,P20
no soap and water,Not P20,2003,COG,293994.181205106,293994.181205106,1,Not P20
no soap and water,P20,2003,COG,998774.788249186,998774.788249186,1,P20
no soap and water,Not P20,2004,COG,291890.913495079,291890.913495079,1,Not P20
no soap and water,P20,2004,COG,1051380.17864078,1051380.17864078,1,P20
no soap and water,Not P20,2005,COG,304717.626289662,304717.626289662,1,Not P20
no soap and water,P20,2005,COG,1132757.39630744,1132757.39630744,1,P20
no soap and water,Not P20,2006,COG,69799.0306576819,69799.0306576819,1,Not P20
no soap and water,P20,2006,COG,251413.503911845,251413.503911845,1,P20
no soap and water,Not P20,2007,COG,72240.0969453014,72240.0969453014,1,Not P20
no soap and water,P20,2007,COG,260206.133592641,260206.133592641,1,P20
no soap and water,Not P20,2008,COG,78243.3448303032,78243.3448303032,1,Not P20
no soap and water,P20,2008,COG,265813.016585775,265813.016585775,1,P20
no soap and water,Not P20,2009,COG,82482.2755910872,82482.2755910872,1,Not P20
no soap and water,P20,2009,COG,273058.824167695,273058.824167695,1,P20
no soap and water,Not P20,2010,COG,946380.248114613,2715184.22618137,0.348551026110519,Not P20
no soap and water,P20,2010,COG,1188755.16381338,1925095.31406808,0.61750457503391,P20
no soap and water,Not P20,2011,COG,969879.088052692,2788809.09328298,0.347775360597005,Not P20
no soap and water,P20,2011,COG,1225763.79501582,1982971.04350805,0.618145080347383,P20
no soap and water,Not P20,2012,COG,882474.210880927,2521482.6674461,0.349982263322375,Not P20
no soap and water,P20,2012,COG,1370798.97468148,2375545.12907969,0.577046067406238,P20
no soap and water,Not P20,2013,COG,878426.904348714,2537680.97696156,0.346153402387277,Not P20
no soap and water,P20,2013,COG,1431082.21355778,2481564.10134662,0.576685572128163,P20
no soap and water,Not P20,2014,COG,884133.387640081,2521542.34605036,0.350631980868754,Not P20
no soap and water,P20,2014,COG,1482435.99465895,2621711.53092356,0.565445884176557,P20
no soap and water,Not P20,2015,COG,906366.748699076,2584951.73900963,0.350631980868754,Not P20
no soap and water,P20,2015,COG,1519714.91114018,2687639.88503214,0.565445884176557,P20
no soap and water,Not P20,2016,COG,844853.030168459,2447264.02982739,0.345223490343233,Not P20
no soap and water,P20,2016,COG,1643630.06614198,2960944.33651643,0.555103331687661,P20
no soap and water,Not P20,2017,COG,860340.959365697,2504478.02921432,0.343521064800714,Not P20
no soap and water,P20,2017,COG,1692941.13068892,3044557.6791426,0.556054872038319,P20
no soap and water,Not P20,2018,COG,781145.295179372,2240716.84055972,0.348614015407786,Not P20
no soap and water,P20,2018,COG,1838913.1863453,3453443.67879473,0.53248680371909,P20
no soap and water,Not P20,2000,COM,165914.641496698,237421.329425007,0.698819444312412,Not P20
no soap and water,P20,2000,COM,23051.8555246617,32544.2019372194,0.708324498758049,P20
no soap and water,Not P20,2001,COM,170053.964883492,243344.638257473,0.698819444312412,Not P20
no soap and water,P20,2001,COM,23626.9650136223,33356.1313424129,0.70832449875805,P20
no soap and water,Not P20,2002,COM,174211.643114956,249294.212593594,0.698819444312412,Not P20
no soap and water,P20,2002,COM,24204.6246887729,34171.6610553672,0.708324498758049,P20
no soap and water,Not P20,2003,COM,175557.53342252,252123.880250593,0.696314578563634,Not P20
no soap and water,P20,2003,COM,27643.1991103398,38177.2821042687,0.724074569657458,P20
no soap and water,Not P20,2004,COM,177469.464647666,254764.527418577,0.696601942373573,Not P20
no soap and water,P20,2004,COM,30615.0315109019,42513.7862464074,0.720120088421648,P20
no soap and water,Not P20,2005,COM,177893.716706865,254067.055737466,0.700184115530062,Not P20
no soap and water,P20,2005,COM,35207.6384405437,50378.5549036517,0.698861618954292,P20
no soap and water,Not P20,2006,COM,180512.065942873,257021.320580176,0.702323315184133,Not P20
no soap and water,P20,2006,COM,37745.1666485849,54790.194682987,0.688903678239807,P20
no soap and water,Not P20,2007,COM,179925.920945848,257186.141840983,0.699594152538341,Not P20
no soap and water,P20,2007,COM,43625.5107105051,62188.8901630883,0.701500068518648,P20
no soap and water,Not P20,2008,COM,180538.92934507,258363.251169938,0.698779445325685,Not P20
no soap and water,P20,2008,COM,48450.9460891017,68781.3716738068,0.704419596615179,P20
no soap and water,Not P20,2009,COM,182957.867010958,259990.688700222,0.703709305612536,Not P20
no soap and water,P20,2009,COM,51614.6969139555,75129.5990819622,0.687008816027977,P20
no soap and water,Not P20,2010,COM,183237.667284213,260756.18435696,0.702716477218317,Not P20
no soap and water,P20,2010,COM,57062.8750959084,82547.3357529988,0.691274582945403,P20
no soap and water,Not P20,2011,COM,181940.519750284,260543.41167066,0.698311726954226,Not P20
no soap and water,P20,2011,COM,64240.2593931303,91160.8634268815,0.704691212634863,P20
no soap and water,Not P20,2012,COM,181213.956881864,260997.978909478,0.694311724707699,Not P20
no soap and water,P20,2012,COM,70995.1363267581,99318.60067317,0.714822156630895,P20
no soap and water,Not P20,2013,COM,176335.867999716,257401.953051451,0.685060334272089,Not P20
no soap and water,P20,2013,COM,82017.2137781959,111692.188506135,0.734314681045855,P20
no soap and water,Not P20,2014,COM,177671.530432108,259490.494159319,0.684693791993101,Not P20
no soap and water,P20,2014,COM,86912.9926275191,118506.148017626,0.73340492524145,P20
no soap and water,Not P20,2015,COM,178993.642476112,260603.094973333,0.686843886080586,Not P20
no soap and water,P20,2015,COM,91874.2360251947,126370.214587985,0.727024452120619,P20
no soap and water,Not P20,2016,COM,181109.008356691,264132.241944131,0.685675504904845,Not P20
no soap and water,P20,2016,COM,96088.9134885461,131884.43531372,0.728584182507773,P20
no soap and water,Not P20,2017,COM,184568.491560271,269420.838987255,0.685056479870147,Not P20
no soap and water,P20,2017,COM,99005.4646967854,135704.910752244,0.729564347730493,P20
no soap and water,Not P20,2018,COM,185974.813090221,272068.573719608,0.683558599023955,Not P20
no soap and water,P20,2018,COM,104020.471812181,142230.957759605,0.731349021694655,P20
no soap and water,Not P20,2000,EGY,7143608.42879702,66082860.3477315,0.108100775166314,Not P20
no soap and water,P20,2000,EGY,168809.424357837,508121.261581219,0.332222713595018,P20
no soap and water,Not P20,2001,EGY,7248189.7683682,67256602.8788078,0.107769192289254,Not P20
no soap and water,P20,2001,EGY,204577.004460323,612474.774325021,0.334017029004628,P20
no soap and water,Not P20,2002,EGY,7368695.85720476,68373484.7816838,0.10777124905558,Not P20
no soap and water,P20,2002,EGY,225618.39446159,784603.667798289,0.287557149834269,P20
no soap and water,Not P20,2003,EGY,7386986.2438942,69348919.3667281,0.106519125479528,Not P20
no soap and water,P20,2003,EGY,349796.768747139,1106569.59138245,0.31610914620393,P20
no soap and water,Not P20,2004,EGY,7342334.47244313,70081805.3958015,0.104768055431446,Not P20
no soap and water,P20,2004,EGY,537440.19677735,1675845.85182307,0.320697870984193,P20
no soap and water,Not P20,2005,EGY,7348876.50776969,70779689.3149787,0.103827476199652,Not P20
no soap and water,P20,2005,EGY,674476.24300655,2285464.5371712,0.295115602117972,P20
no soap and water,Not P20,2006,EGY,7419977.44592757,71748676.7121164,0.103416227113141,Not P20
no soap and water,P20,2006,EGY,746804.442959267,2622623.38194214,0.284754741417058,P20
no soap and water,Not P20,2007,EGY,7477335.36945733,72688493.7649808,0.102868211764483,Not P20
no soap and water,P20,2007,EGY,833764.750045408,2997049.14640872,0.278195221137593,P20
no soap and water,Not P20,2008,EGY,7498496.97510906,73677275.9802446,0.101774894298748,Not P20
no soap and water,P20,2008,EGY,961754.069246167,3366518.97490347,0.285682058059318,P20
no soap and water,Not P20,2009,EGY,7761957.10898705,75411082.438957,0.102928599589724,Not P20
no soap and water,P20,2009,EGY,857512.459737564,3082645.77233979,0.278174179930733,P20
no soap and water,Not P20,2010,EGY,8004300.42818116,77274539.6006314,0.103582634973289,Not P20
no soap and water,P20,2010,EGY,787955.966572755,2792682.43794759,0.282150220829205,P20
no soap and water,Not P20,2011,EGY,8096233.19200255,78581034.4091197,0.10303037180512,Not P20
no soap and water,P20,2011,EGY,883850.767066602,3196650.86230693,0.276492743542457,P20
no soap and water,Not P20,2012,EGY,8308492.89043824,80409327.4167584,0.10332747651744,Not P20
no soap and water,P20,2012,EGY,872695.528136686,3199727.94776534,0.272740539940643,P20
no soap and water,Not P20,2013,EGY,8249589.6210393,81319771.3745197,0.10144629628932,Not P20
no soap and water,P20,2013,EGY,1142201.85435275,4207153.642013,0.271490406945596,P20
no soap and water,Not P20,2014,EGY,8323118.49932202,82599541.7477067,0.100764705508225,Not P20
no soap and water,P20,2014,EGY,1283272.00916797,4881642.52388705,0.262877095749763,P20
no soap and water,Not P20,2015,EGY,8319127.50534648,83707461.6989609,0.0993833445250647,Not P20
no soap and water,P20,2015,EGY,1501636.70881839,5725929.86969776,0.262252025957427,P20
no soap and water,Not P20,2016,EGY,8074977.08771577,83315728.8653411,0.0969201997952503,Not P20
no soap and water,P20,2016,EGY,1958740.66381105,8056937.15054992,0.243112317647576,P20
no soap and water,Not P20,2017,EGY,7406094.11114869,82126367.7144546,0.0901792483614881,Not P20
no soap and water,P20,2017,EGY,2839620.62511519,11176861.84353,0.254062425112553,P20
no soap and water,Not P20,2018,EGY,6266248.90114386,79398980.429555,0.0789210247693729,Not P20
no soap and water,P20,2018,EGY,4189920.37343763,15820766.2876147,0.264836752990764,P20
no soap and water,Not P20,2000,ETH,16956385.3367391,20045629.7205833,0.845889382029636,Not P20
no soap and water,P20,2000,ETH,14132227.2621597,14808108.9085865,0.954357328771744,P20
no soap and water,Not P20,2001,ETH,18185517.9278166,21388634.9387852,0.850242101932358,Not P20
no soap and water,P20,2001,ETH,13811283.4007532,14483282.6943274,0.953601727746611,P20
no soap and water,Not P20,2002,ETH,19592950.8401978,22934850.8165793,0.854287259023036,Not P20
no soap and water,P20,2002,ETH,13334595.3700667,13980533.7365776,0.953797302829653,P20
no soap and water,Not P20,2003,ETH,20727429.2291057,24180222.9410849,0.857205877696335,Not P20
no soap and water,P20,2003,ETH,13152373.9789533,13802745.9696354,0.952880970778367,P20
no soap and water,Not P20,2004,ETH,21648662.1886738,25234819.5741459,0.857888526805783,Not P20
no soap and water,P20,2004,ETH,13202376.5622904,13837010.7211758,0.954135024415776,P20
no soap and water,Not P20,2005,ETH,22874124.3594061,26581132.2351804,0.860539880582364,Not P20
no soap and water,P20,2005,ETH,12965934.6920944,13599498.1053083,0.953412735653342,P20
no soap and water,Not P20,2006,ETH,23069413.071719,26879714.1832972,0.858246219227068,Not P20
no soap and water,P20,2006,ETH,13776607.9226076,14428709.638313,0.954805264500308,P20
no soap and water,Not P20,2007,ETH,23379159.5849822,27275293.3461033,0.857155202267411,Not P20
no soap and water,P20,2007,ETH,14492655.8097565,15183158.3130468,0.954521813640252,P20
no soap and water,Not P20,2008,ETH,23756581.1436549,27723469.5760526,0.856912266283428,Not P20
no soap and water,P20,2008,ETH,15167667.0590918,15914874.4922035,0.953049743906073,P20
no soap and water,Not P20,2009,ETH,23548441.961106,27559078.3634117,0.854471316151473,Not P20
no soap and water,P20,2009,ETH,16463818.423164,17299046.4872621,0.95171826003745,P20
no soap and water,Not P20,2010,ETH,23206999.1864852,27309890.0352449,0.849765383768859,Not P20
no soap and water,P20,2010,ETH,17934759.2546185,18814525.8063762,0.953240035873795,P20
no soap and water,Not P20,2011,ETH,21783192.1168205,25883572.1264763,0.841583689082023,Not P20
no soap and water,P20,2011,ETH,20532150.4879838,21556560.0588971,0.952478059202656,P20
no soap and water,Not P20,2012,ETH,21474013.0608456,25644978.5627841,0.837357419046887,Not P20
no soap and water,P20,2012,ETH,22055793.0656976,23156700.2026013,0.952458375879479,P20
no soap and water,Not P20,2013,ETH,20310399.4030625,24528679.4248967,0.828026615344298,Not P20
no soap and water,P20,2013,ETH,24467561.9980291,25672318.0643249,0.953071784819855,P20
no soap and water,Not P20,2014,ETH,20584035.1868268,24877783.7367388,0.827406307758388,Not P20
no soap and water,P20,2014,ETH,25465391.093021,26748665.0948146,0.952024746010881,P20
no soap and water,Not P20,2015,ETH,20843405.1587197,24888370.5316592,0.837475684967238,Not P20
no soap and water,P20,2015,ETH,26492854.0772387,28180758.939598,0.940104350419479,P20
no soap and water,Not P20,2016,ETH,22002097.3908983,26583792.4355045,0.827650811834994,Not P20
no soap and water,P20,2016,ETH,26633593.6483478,27942142.3625952,0.953169349104773,P20
no soap and water,Not P20,2017,ETH,23531748.3355627,28245458.7798046,0.833116166354776,Not P20
no soap and water,P20,2017,ETH,26416744.1756351,27752270.2075609,0.951876872704925,P20
no soap and water,Not P20,2018,ETH,25294578.0632811,30207623.994151,0.837357419046887,Not P20
no soap and water,P20,2018,ETH,25979865.8903252,27276641.7391584,0.952458375879479,P20
no soap and water,Not P20,2010,GEO,236593.408147135,3274204.75267857,0.072259808417168,Not P20
no soap and water,P20,2010,GEO,28558.9427697569,512490.247321427,0.0557258268211399,P20
no soap and water,Not P20,2011,GEO,234703.132598118,3248045.32061776,0.072259808417168,Not P20
no soap and water,P20,2011,GEO,28330.7695858707,508395.679382244,0.0557258268211399,P20
no soap and water,Not P20,2012,GEO,232980.741309041,3224209.23072483,0.072259808417168,Not P20
no soap and water,P20,2012,GEO,28122.8615353586,504664.769275169,0.0557258268211399,P20
no soap and water,Not P20,2013,GEO,246119.496066709,3329808.21047518,0.0739140156158083,Not P20
no soap and water,P20,2013,GEO,14199.4390808269,387859.78952482,0.0366097220292495,P20
no soap and water,Not P20,2014,GEO,246235.085904245,3331372.05241467,0.0739140156158083,Not P20
no soap and water,P20,2014,GEO,14206.1078367876,388041.947585333,0.0366097220292495,P20
no soap and water,Not P20,2015,GEO,247290.574949522,3342035.02820677,0.0739940104943215,Not P20
no soap and water,P20,2015,GEO,13561.0883648655,383240.971793228,0.0353852780964718,P20
no soap and water,Not P20,2016,GEO,246770.731594682,3338618.92820641,0.0739140156158083,Not P20
no soap and water,P20,2016,GEO,14237.0109894099,388886.071793586,0.0366097220292495,P20
no soap and water,Not P20,2017,GEO,246803.766720072,3339065.86814216,0.0739140156158083,Not P20
no soap and water,P20,2017,GEO,14238.9168938913,388938.131857844,0.0366097220292495,P20
no soap and water,Not P20,2018,GEO,246707.441855459,3337762.66652592,0.0739140156158083,Not P20
no soap and water,P20,2018,GEO,14233.3595972573,388786.333474084,0.0366097220292495,P20
no soap and water,Not P20,2000,GHA,7355944.90544016,12509829.9462287,0.588013181398822,Not P20
no soap and water,P20,2000,GHA,2811370.26239322,3414375.33879805,0.823392270453457,P20
no soap and water,Not P20,2001,GHA,7512104.92611288,12793269.7382146,0.587191943876051,Not P20
no soap and water,P20,2001,GHA,2906301.12543046,3524197.9480846,0.824670228018842,P20
no soap and water,Not P20,2002,GHA,7682961.21036931,13090936.3625951,0.586891647592295,Not P20
no soap and water,P20,2002,GHA,3003143.68090303,3645805.36095384,0.823725729592248,P20
no soap and water,Not P20,2003,GHA,7886599.76945173,13433585.905284,0.587080756028783,Not P20
no soap and water,P20,2003,GHA,3074189.43712236,3733370.61472176,0.823435376332566,P20
no soap and water,Not P20,2004,GHA,8137098.42388377,13857071.8615545,0.587216296861359,Not P20
no soap and water,P20,2004,GHA,3165511.96349644,3845250.24553838,0.823226516185614,P20
no soap and water,Not P20,2005,GHA,8399125.16328019,14303290.3006492,0.587216296861359,Not P20
no soap and water,P20,2005,GHA,3267446.18317857,3969073.05454415,0.823226516185613,P20
no soap and water,Not P20,2006,GHA,8739729.94687165,14828234.7608302,0.589397867503302,Not P20
no soap and water,P20,2006,GHA,3254564.0883906,3957412.9065853,0.822396895450274,P20
no soap and water,Not P20,2007,GHA,9023672.49442616,15243635.1859749,0.59196329381646,Not P20
no soap and water,P20,2007,GHA,3166534.81616357,3848854.86439803,0.822721284051023,P20
no soap and water,Not P20,2008,GHA,9317479.24904986,15720429.0340709,0.592698788872495,Not P20
no soap and water,P20,2008,GHA,3200883.61160586,3886023.28248645,0.823691310865692,P20
no soap and water,Not P20,2009,GHA,5768183.98383908,9730177.81526738,0.592813830677212,Not P20
no soap and water,P20,2009,GHA,1977882.76644636,2401830.98419531,0.823489570857133,P20
no soap and water,Not P20,2010,GHA,5915012.62910919,9976778.4364441,0.592878018369365,Not P20
no soap and water,P20,2010,GHA,2026117.62154061,2460741.81536791,0.823376759352417,P20
no soap and water,Not P20,2011,GHA,6292438.7529479,10481647.8053696,0.600329153372659,Not P20
no soap and water,P20,2011,GHA,1843566.56156983,2261088.76665482,0.815344620148327,P20
no soap and water,Not P20,2012,GHA,6562286.14368723,10863472.8805484,0.604068902812595,Not P20
no soap and water,P20,2012,GHA,1768801.89940877,2184805.25934949,0.809592475960725,P20
no soap and water,Not P20,2013,GHA,6621934.80595548,11018455.1706559,0.60098577372179,Not P20
no soap and water,P20,2013,GHA,1905022.39966821,2336596.26205434,0.815298060090757,P20
no soap and water,Not P20,2014,GHA,6532958.01894512,10999901.3828926,0.593910598971858,Not P20
no soap and water,P20,2014,GHA,2191674.83990426,2664752.69612648,0.822468382559519,P20
no soap and water,Not P20,2015,GHA,6491067.26306745,11021466.3327536,0.588947701430369,Not P20
no soap and water,P20,2015,GHA,2433773.92525138,2956757.10903391,0.823122710288025,P20
no soap and water,Not P20,2016,GHA,6628455.48972555,11261786.3751584,0.588579401962976,Not P20
no soap and water,P20,2016,GHA,2499160.35368084,3034025.84802448,0.823710963210186,P20
no soap and water,Not P20,2017,GHA,6777288.82425496,11514655.1198563,0.588579401962976,Not P20
no soap and water,P20,2017,GHA,2555275.74429312,3102150.94665565,0.823710963210186,P20
no soap and water,Not P20,2018,GHA,6907798.37055489,11750194.3524311,0.587888009624764,Not P20
no soap and water,P20,2018,GHA,2631673.63719307,3190673.32547281,0.824801967717299,P20
no soap and water,Not P20,2000,GIN,3603232.45665977,5541738.39215223,0.650198945111227,Not P20
no soap and water,P20,2000,GIN,2964731.14844257,3995518.90942728,0.742014045146276,P20
no soap and water,Not P20,2001,GIN,3570796.94292847,5498794.73164184,0.649378112330863,Not P20
no soap and water,P20,2001,GIN,3181401.57307803,4248690.45434337,0.748795801262888,P20
no soap and water,Not P20,2002,GIN,3430947.24105899,5381589.44999489,0.637534184452188,Not P20
no soap and water,P20,2002,GIN,3411586.93320746,4542058.44815344,0.751110310919585,P20
no soap and water,Not P20,2003,GIN,3329074.00485905,5271991.76122712,0.63146418955787,Not P20
no soap and water,P20,2003,GIN,3701208.62189154,4843759.33837211,0.764119016518984,P20
no soap and water,Not P20,2004,GIN,3241330.9375764,5184363.01071199,0.625212958830067,Not P20
no soap and water,P20,2004,GIN,3934287.57887079,5159571.53135999,0.762522150329365,P20
no soap and water,Not P20,2005,GIN,3044731.90195271,5037479.33022197,0.604415760812373,Not P20
no soap and water,P20,2005,GIN,4214196.31582185,5465098.71661539,0.771110740051143,P20
no soap and water,Not P20,2006,GIN,3187438.05030899,5228888.79789139,0.609582298172866,Not P20
no soap and water,P20,2006,GIN,4231903.72781235,5559133.43254795,0.761252410858706,P20
no soap and water,Not P20,2007,GIN,3283388.60722182,5344318.99785859,0.614369877347785,Not P20
no soap and water,P20,2007,GIN,4344357.53472017,5675159.28093286,0.765504071280632,P20
no soap and water,Not P20,2008,GIN,3365404.64378087,5437394.66535759,0.618936981937754,Not P20
no soap and water,P20,2008,GIN,4418214.27747657,5801456.22695812,0.761569872223817,P20
no soap and water,Not P20,2009,GIN,3227320.04148085,5305418.75677196,0.608306373057061,Not P20
no soap and water,P20,2009,GIN,4778052.3199117,6215684.08132758,0.768709004092624,P20
no soap and water,Not P20,2010,GIN,5296848.39553084,8751055.29147248,0.605281102576552,Not P20
no soap and water,P20,2010,GIN,8038641.43842447,13177767.9816189,0.610015402429092,P20
no soap and water,Not P20,2011,GIN,6560884.72050101,10640944.4351005,0.616569775410073,Not P20
no soap and water,P20,2011,GIN,7061169.78038932,11811947.4155936,0.597798951514758,P20
no soap and water,Not P20,2012,GIN,7680061.31223585,12309826.4814773,0.623896796903849,Not P20
no soap and water,P20,2012,GIN,6270761.82788757,10671512.6869722,0.587616958516379,P20
no soap and water,Not P20,2013,GIN,5715072.13496266,9080013.02222588,0.629412328041096,Not P20
no soap and water,P20,2013,GIN,5614244.88583678,9682002.59490166,0.579864013751982,P20
no soap and water,Not P20,2014,GIN,5788904.91789822,9239640.47773775,0.626529239080912,Not P20
no soap and water,P20,2014,GIN,5964335.87935091,10138002.5177052,0.588314696996243,P20
no soap and water,Not P20,2015,GIN,5886571.76235003,9408276.47416896,0.625680142214358,Not P20
no soap and water,P20,2015,GIN,6343832.77016123,10656752.7559365,0.595287599839202,P20
no soap and water,Not P20,2016,GIN,6250251.7425281,9920315.97058435,0.630045631717911,Not P20
no soap and water,P20,2016,GIN,6466768.88005568,10874041.4101291,0.594697834609304,P20
no soap and water,Not P20,2017,GIN,7089411.04818938,11228646.3738364,0.631368271130901,Not P20
no soap and water,P20,2017,GIN,6128884.77097773,10302116.0744124,0.594915134590669,P20
no soap and water,Not P20,2018,GIN,8869367.7755577,13768667.8786728,0.644170362282907,Not P20
no soap and water,P20,2018,GIN,7039829.04345896,11411500.767567,0.616906503960204,P20
no soap and water,Not P20,2000,GMB,34241.5145872553,73035.6255687841,0.468833043060706,Not P20
no soap and water,P20,2000,GMB,11998.0500393707,14073.910441795,0.852502940742065,P20
no soap and water,Not P20,2001,GMB,35342.5572460158,75167.100179514,0.470186519921758,Not P20
no soap and water,P20,2001,GMB,12383.8497060772,14743.4601516474,0.83995544998936,P20
no soap and water,Not P20,2002,GMB,32959.4541857059,73306.4652367049,0.449611832725538,Not P20
