sleeping.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Urban,2006,ALB,303320.192550883,2677894.84782099,0.113268148970709,Not P20 Urban
5 people per room or more,P20,Rural,2006,ALB,12719.4258629474,95221.9640849627,0.133576596378524,P20 Rural
5 people per room or more,P20,Urban,2006,ALB,16666.0437914309,32573.4553849711,0.51164494507759,P20 Urban
5 people per room or more,Not P20,Rural,2007,ALB,215939.182210262,3171911.91907931,0.0680785556847813,Not P20 Rural
5 people per room or more,Not P20,Urban,2007,ALB,302209.982423004,2665983.4711142,0.113357785484207,Not P20 Urban
5 people per room or more,P20,Rural,2007,ALB,11841.2151003754,69622.9626764728,0.170076288700894,P20 Rural
5 people per room or more,P20,Urban,2007,ALB,16639.8733857678,32515.6471300174,0.511749722194715,P20 Urban
5 people per room or more,Not P20,Rural,2008,ALB,219079.872697322,3162016.6863684,0.0692848566048955,Not P20 Rural
5 people per room or more,Not P20,Urban,2008,ALB,300453.06899361,2647593.61538308,0.113481565768974,Not P20 Urban
5 people per room or more,P20,Rural,2008,ALB,7321.41058158934,52662.2399414442,0.139025810328807,P20 Rural
5 people per room or more,P20,Urban,2008,ALB,16559.493724589,32355.4583070723,0.511799077838109,P20 Urban
5 people per room or more,Not P20,Rural,2009,ALB,212245.969581763,3115816.13149515,0.068118900674641,Not P20 Rural
5 people per room or more,Not P20,Urban,2009,ALB,296886.580228642,2617906.53383548,0.113406103843469,Not P20 Urban
5 people per room or more,P20,Rural,2009,ALB,11621.2470109172,89424.5374664122,0.129955908525467,P20 Rural
5 people per room or more,P20,Urban,2009,ALB,16317.2225652957,31890.7972029577,0.511659287205976,P20 Urban
5 people per room or more,Not P20,Rural,2010,ALB,119336.236240098,2010635.54653544,0.0593524950087191,Not P20 Rural
5 people per room or more,Not P20,Urban,2010,ALB,150041.533887993,1545034.66521501,0.0971120825092379,Not P20 Urban
5 people per room or more,P20,Rural,2010,ALB,5043.94245626548,52049.7060416964,0.0969062621069337,P20 Rural
5 people per room or more,P20,Urban,2010,ALB,4002.84725223336,10059.4731583968,0.397918180127767,P20 Urban
5 people per room or more,Not P20,Rural,2011,ALB,113645.140267855,1915714.35560127,0.0593225915625537,Not P20 Rural
5 people per room or more,Not P20,Urban,2011,ALB,148821.389718533,1571675.34225767,0.0946896510476237,Not P20 Urban
5 people per room or more,P20,Rural,2011,ALB,8413.91151246535,72998.371178014,0.115261633604771,P20 Rural
5 people per room or more,P20,Urban,2011,ALB,3992.09337074882,20973.9771157422,0.190335545267307,P20 Urban
5 people per room or more,Not P20,Rural,2012,ALB,106256.480964263,1811553.14478169,0.0586549068518045,Not P20 Rural
5 people per room or more,Not P20,Urban,2012,ALB,146025.032168903,1590770.85129225,0.0917951394761102,Not P20 Urban
5 people per room or more,P20,Rural,2012,ALB,11913.6223642507,104938.589453197,0.113529469247957,P20 Rural
5 people per room or more,P20,Urban,2012,ALB,8612.38500293443,31543.2957175794,0.273033771741697,P20 Urban
5 people per room or more,Not P20,Rural,2013,ALB,85631.134709777,1655201.59002283,0.0517345652795052,Not P20 Rural
5 people per room or more,Not P20,Urban,2013,ALB,143618.08923878,1645025.67534787,0.0873044666664,Not P20 Urban
5 people per room or more,P20,Rural,2013,ALB,29805.7755174743,202067.466607891,0.147504078800137,P20 Rural
5 people per room or more,P20,Urban,2013,ALB,9344.76516660851,35524.4541118675,0.263051618954695,P20 Urban
5 people per room or more,Not P20,Rural,2014,ALB,83284.9078354497,1578311.98543098,0.052768342763809,Not P20 Rural
5 people per room or more,Not P20,Urban,2014,ALB,141932.409226467,1686467.73787186,0.0841595756854322,Not P20 Urban
5 people per room or more,P20,Rural,2014,ALB,28402.8901015884,200062.457443109,0.141970115056021,P20 Rural
5 people per room or more,P20,Urban,2014,ALB,9325.43712666448,35450.9778868557,0.263051618954695,P20 Urban
5 people per room or more,Not P20,Rural,2015,ALB,80879.9239530426,1498929.15910117,0.0539584699263188,Not P20 Rural
5 people per room or more,Not P20,Urban,2015,ALB,140135.102254212,1736633.70496041,0.0806935290118685,Not P20 Urban
5 people per room or more,P20,Rural,2015,ALB,23924.5865356466,196807.646018473,0.121563298071259,P20 Rural
5 people per room or more,P20,Urban,2015,ALB,9298.32041598147,35347.8927555391,0.263051618954695,P20 Urban
5 people per room or more,Not P20,Rural,2016,ALB,78591.3650544389,1421814.88095041,0.055275385078193,Not P20 Rural
5 people per room or more,Not P20,Urban,2016,ALB,138528.851810042,1776696.14428377,0.0779699175099445,Not P20 Urban
5 people per room or more,P20,Rural,2016,ALB,22293.5455245058,197533.112939887,0.11285978939283,P20 Rural
5 people per room or more,P20,Urban,2016,ALB,9283.46610071387,37455.0760754011,0.247856020423647,P20 Urban
5 people per room or more,Not P20,Rural,2017,ALB,295385.455141115,2325897.43330394,0.126998487083551,Not P20 Rural
5 people per room or more,Not P20,Urban,2017,ALB,309782.824139178,2986373.9580278,0.103732094001971,Not P20 Urban
5 people per room or more,P20,Rural,2017,ALB,46057.2529075388,392464.066681825,0.117354063257154,P20 Rural
5 people per room or more,P20,Urban,2017,ALB,9274.93180919549,42178.5419864392,0.219896927972937,P20 Urban
5 people per room or more,Not P20,Rural,2018,ALB,294657.542940636,2314858.28143377,0.127289668358501,Not P20 Rural
5 people per room or more,Not P20,Urban,2018,ALB,309019.432803331,2979014.69912927,0.103732094001971,Not P20 Urban
5 people per room or more,P20,Rural,2018,ALB,45943.7549822737,396804.417149569,0.115784383934809,P20 Rural
5 people per room or more,P20,Urban,2018,ALB,9252.07578868051,42074.6022873917,0.219896927972937,P20 Urban
5 people per room or more,Not P20,Rural,2000,ARM,68811.8057325697,2392522.39354079,0.0287611960992901,Not P20 Rural
5 people per room or more,Not P20,Urban,2000,ARM,174844.509573494,2756900.00585946,0.0634206932430929,Not P20 Urban
5 people per room or more,P20,Rural,2000,ARM,63092.0783461094,827994.498148368,0.0761986685747325,P20 Rural
5 people per room or more,P20,Urban,2000,ARM,9877.61374840389,127763.014649545,0.0773119965547015,P20 Urban
5 people per room or more,Not P20,Rural,2001,ARM,68760.4869674773,2369100.26562067,0.029023882173878,Not P20 Rural
5 people per room or more,Not P20,Urban,2001,ARM,174443.353068009,2743609.61519984,0.0635816962083737,Not P20 Urban
5 people per room or more,P20,Rural,2001,ARM,63117.0105198997,826840.030018023,0.0763352138605625,P20 Rural
