birth.reg,p20,povcal_year,iso3,value,total,percentage,demographic
Registered,Not P20,2000,AFG,508505.116045769,696391.3318621,0.730200237682544,Not P20
Registered,P20,2000,AFG,8547064.78737973,20083561.6681379,0.425575150892656,P20
Registered,Not P20,2001,AFG,666865.766029617,919870.721138295,0.724955964686433,Not P20
Registered,P20,2001,AFG,8749112.71267418,20687117.2788617,0.422925659227257,P20
Registered,Not P20,2002,AFG,883282.729743156,1209933.57914443,0.730025800563155,Not P20
Registered,P20,2002,AFG,8965769.98978137,21390836.4208556,0.419140692462122,P20
Registered,Not P20,2003,AFG,1185510.65139335,1606568.74320179,0.737914674619339,Not P20
Registered,P20,2003,AFG,9134232.74333434,22074302.2567982,0.413794856891627,P20
Registered,Not P20,2004,AFG,1591805.72197763,2179210.957449,0.730450494724483,Not P20
Registered,P20,2004,AFG,9183686.1880336,22547473.042551,0.407304453616703,P20
Registered,Not P20,2005,AFG,2127126.60904461,2911025.55301277,0.730713822433862,Not P20
Registered,P20,2005,AFG,9052595.43822571,22743251.4469872,0.398034355787985,P20
Registered,Not P20,2006,AFG,2790720.0049309,3878482.29620217,0.719539188734619,Not P20
Registered,P20,2006,AFG,8728378.37706119,22554566.7037978,0.386989406255873,P20
Registered,Not P20,2007,AFG,3577251.19674379,5060989.77301299,0.706828378871455,Not P20
Registered,P20,2007,AFG,8232727.30360696,22039546.226987,0.373543412319722,P20
Registered,Not P20,2008,AFG,4439043.77999216,6534929.07069932,0.679279565541961,Not P20
Registered,P20,2008,AFG,7641879.03056738,21187346.9293007,0.360681262079075,P20
Registered,Not P20,2009,AFG,5264383.81809878,8126196.65998775,0.647828749213006,Not P20
Registered,P20,2009,AFG,7109619.8197437,20268616.3400123,0.350769865119436,P20
Registered,Not P20,2010,AFG,6298570.85127896,10118740.0503307,0.622465921641409,Not P20
Registered,P20,2010,AFG,6420004.53748225,19066766.9496693,0.336711753724645,P20
Registered,Not P20,2011,AFG,6402103.42376566,10253860.9198802,0.624360275001707,Not P20
Registered,P20,2011,AFG,6722581.63841114,19863552.0801198,0.338438040250583,P20
Registered,Not P20,2012,AFG,7372794.06280483,12333987.1585818,0.597762424105895,Not P20
Registered,P20,2012,AFG,6206833.31435649,18827388.8414182,0.3296704267722,P20
Registered,Not P20,2013,AFG,7528778.69107734,12538215.8972152,0.600466505984277,Not P20
Registered,P20,2013,AFG,6533790.11956002,19731373.1027848,0.331137122871488,P20
Registered,Not P20,2014,AFG,7633779.30850867,12644281.2898103,0.603733745994763,Not P20
Registered,P20,2014,AFG,6908676.96171545,20726512.7101897,0.333325584400841,P20
Registered,Not P20,2015,AFG,7715092.06440548,12657330.3208241,0.60953549199174,Not P20
Registered,P20,2015,AFG,7281803.6261302,21756272.6791759,0.33469904213418,P20
Registered,Not P20,2016,AFG,7900568.69147053,12933091.5873229,0.610880131647311,Not P20
Registered,P20,2016,AFG,7518830.42872249,22450036.4126771,0.334913952499281,P20
Registered,Not P20,2017,AFG,8074816.87518795,13194727.9006296,0.611972974054481,Not P20
Registered,P20,2017,AFG,7742571.52038223,23101672.0993704,0.335151996231184,P20
Registered,Not P20,2018,AFG,8236683.34306235,13424464.7898153,0.613557670419105,Not P20
Registered,P20,2018,AFG,7962445.68769699,23747921.2101847,0.335290218340549,P20
Registered,Not P20,2000,AGO,6664407.66472658,11852952.4514754,0.562257183770027,Not P20
Registered,P20,2000,AGO,872820.398463469,4542520.54852462,0.192144512972419,P20
Registered,Not P20,2001,AGO,6840115.57686197,12065349.4170664,0.566922294615574,Not P20
Registered,P20,2001,AGO,950083.892435861,4880403.58293356,0.194673222468371,P20
Registered,Not P20,2002,AGO,7026468.26190722,12287599.0511624,0.571834109548236,Not P20
Registered,P20,2002,AGO,1027452.56508745,5231817.94883755,0.196385381742064,P20
Registered,Not P20,2003,AGO,7175422.03636595,12445188.7252907,0.576561930457855,Not P20
Registered,P20,2003,AGO,1155275.10578476,5676290.27470928,0.20352643185499,P20
Registered,Not P20,2004,AGO,7346821.69745917,12601648.2063833,0.583004824221144,Not P20
Registered,P20,2004,AGO,1276559.70223501,6156496.79361673,0.207351639256695,P20
Registered,Not P20,2005,AGO,7503394.41726533,12756273.8823234,0.588212081873135,Not P20
Registered,P20,2005,AGO,1430504.00477266,6677328.11767663,0.214232995527918,P20
Registered,Not P20,2006,AGO,7813555.74592818,13344681.9735111,0.585518318191315,Not P20
Registered,P20,2006,AGO,1449635.33661648,6805219.02648892,0.213018174870472,P20
Registered,Not P20,2007,AGO,8159093.46052403,13968764.2829413,0.584095578911582,Not P20
Registered,P20,2007,AGO,1451394.06092627,6936598.71705876,0.209237137699338,P20
Registered,Not P20,2008,AGO,8512795.49911665,14630750.8762859,0.581842693590969,Not P20
Registered,P20,2008,AGO,1460990.64499155,7064883.12371405,0.206796152095931,P20
Registered,Not P20,2009,AGO,8587548.73213152,14503592.3286579,0.592098049747525,Not P20
Registered,P20,2009,AGO,1762580.87838642,8010688.67134211,0.220028633080197,P20
Registered,Not P20,2010,AGO,8629268.02269866,14299406.4957652,0.603470362581429,Not P20
Registered,P20,2010,AGO,2107924.66469564,9056839.50423481,0.232743957062506,P20
Registered,Not P20,2011,AGO,8481007.79778193,13761394.4273003,0.616289856568391,Not P20
Registered,P20,2011,AGO,2653568.54522523,10459266.5726997,0.253705030537365,P20
Registered,Not P20,2012,AGO,8612629.23701491,13869158.0877634,0.620991496564868,Not P20
Registered,P20,2012,AGO,2929837.52450147,11238772.9122366,0.260690161406456,P20
Registered,Not P20,2013,AGO,8505600.94221322,13442033.9963907,0.63276145146613,Not P20
Registered,P20,2013,AGO,3454216.69170184,12573746.0036093,0.274716595254135,P20
Registered,Not P20,2014,AGO,8423142.77549584,13079408.5053751,0.644000282737117,Not P20
Registered,P20,2014,AGO,3962369.53946238,13862370.4946249,0.285836361176379,P20
Registered,Not P20,2015,AGO,8338850.24733735,12670673.2060219,0.658122114882907,Not P20
Registered,P20,2015,AGO,4479989.37978923,15213707.793978,0.294470581429369,P20
Registered,Not P20,2016,AGO,7962867.61855381,11799449.5473162,0.674850770506066,Not P20
Registered,P20,2016,AGO,5296425.34706603,17043034.4526838,0.310767742784913,P20
Registered,Not P20,2017,AGO,7535861.03171301,10860738.1658478,0.69386269299908,Not P20
Registered,P20,2017,AGO,6171314.70994851,18956009.8341523,0.325559796810714,P20
Registered,Not P20,2018,AGO,7090717.27157293,9933184.42470091,0.713841298862871,Not P20
Registered,P20,2018,AGO,7072960.88315954,20876577.575299,0.338798869577559,P20
Registered,Not P20,2000,ALB,5843350.59522105,6061410.0591866,0.964024960885946,Not P20
Registered,P20,2000,ALB,113011.160940168,116643.940813399,0.968855820131774,P20
Registered,Not P20,2001,ALB,5778629.40567177,5989585.19001817,0.964779566922603,Not P20
Registered,P20,2001,ALB,122171.648089571,130760.809981834,0.934313943960302,P20
Registered,Not P20,2002,ALB,5741562.30020629,5951731.82696839,0.964687668585842,Not P20
Registered,P20,2002,ALB,141730.868703504,150288.173031612,0.943060693629512,P20
Registered,Not P20,2003,ALB,5719345.24365181,5929180.99662032,0.964609656360951,Not P20
Registered,P20,2003,ALB,141507.742466542,150051.003379686,0.943064286671074,P20
Registered,Not P20,2004,ALB,5692511.59476213,5902749.87526592,0.964382993529041,Not P20
Registered,P20,2004,ALB,142526.363997519,151128.124734071,0.943082991655666,P20
Registered,Not P20,2005,ALB,5658611.81914254,5870586.21634685,0.963892124330946,Not P20
Registered,P20,2005,ALB,143717.660598959,152387.783653139,0.943104868078439,P20
