educ.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,Not P20,Urban,2000,AFG,443963.085711193,694096.696724629,0.639627141011057,Not P20 Urban
Completed secondary education,P20,Rural,2000,AFG,1772856.10141996,15884763.6573171,0.111607332640629,P20 Rural
Completed secondary education,P20,Urban,2000,AFG,905719.156826977,4156543.3259921,0.217902012752579,P20 Urban
Completed secondary education,Not P20,Urban,2001,AFG,549025.844620927,917382.140144356,0.598470169186566,Not P20 Urban
Completed secondary education,P20,Rural,2001,AFG,1843415.16600676,16516971.8009702,0.111607332640628,P20 Rural
Completed secondary education,P20,Urban,2001,AFG,854373.288107396,4126311.69126903,0.207054956588758,P20 Urban
Completed secondary education,Not P20,Urban,2002,AFG,680178.22721024,1206610.02619188,0.563710074046805,Not P20 Urban
Completed secondary education,Not P20,Rural,2002,AFG,720.513293791289,720.513293791289,1,Not P20 Rural
Completed secondary education,P20,Rural,2002,AFG,1927479.85324646,17275925.392661,0.111570281153522,P20 Rural
Completed secondary education,P20,Urban,2002,AFG,787768.208312948,4069061.17028367,0.19359950006798,P20 Urban
Completed secondary education,Not P20,Rural,2003,AFG,4853.95692576493,8836.57908961022,0.549302719586595,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,AFG,854489.113261294,1595004.72401314,0.535728264873938,Not P20 Urban
Completed secondary education,P20,Rural,2003,AFG,2015495.97549655,18093468.0331689,0.111393568762039,P20 Rural
Completed secondary education,P20,Urban,2003,AFG,683611.145027889,3932793.18031282,0.173823314292239,P20 Urban
Completed secondary education,Not P20,Rural,2004,AFG,14296.5467435606,29600.2549442186,0.482987284079217,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,AFG,1017145.90130579,2146762.81107976,0.473804509774509,Not P20 Urban
Completed secondary education,P20,Rural,2004,AFG,2095277.64706156,18872152.3798747,0.111024837278018,P20 Rural
Completed secondary education,P20,Urban,2004,AFG,588881.134061065,3625157.99352789,0.162442888037546,P20 Urban
Completed secondary education,Not P20,Rural,2005,AFG,41825.3689565892,66882.8820903063,0.625352371928529,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,AFG,1206458.14594329,2840128.14293325,0.4247900394724,Not P20 Urban
Completed secondary education,P20,Rural,2005,AFG,2146887.06494389,19543947.1782254,0.109849205248355,P20 Rural
Completed secondary education,P20,Urban,2005,AFG,459817.139282591,3148319.60620561,0.146051607459501,P20 Urban
Completed secondary education,Not P20,Rural,2006,AFG,93033.2893464998,183759.304241956,0.506277979938382,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,AFG,1415050.80713094,3687850.3038732,0.383706140578636,Not P20 Urban
Completed secondary education,P20,Rural,2006,AFG,2162120.61782464,20022385.3442701,0.107985166634673,P20 Rural
Completed secondary education,P20,Urban,2006,AFG,301806.630007701,2482385.27855725,0.121579286106268,P20 Urban
Completed secondary education,Not P20,Rural,2007,AFG,336900.964760204,605848.703793122,0.556081019322021,Not P20 Rural
Completed secondary education,Not P20,Urban,2007,AFG,1537202.68313814,4446773.16098124,0.345689475826317,Not P20 Urban
Completed secondary education,P20,Rural,2007,AFG,1975200.0587287,20110541.2392743,0.0982171506588438,P20 Rural
Completed secondary education,P20,Urban,2007,AFG,223008.815052754,1879273.12789514,0.118667591071519,P20 Urban
Completed secondary education,Not P20,Rural,2008,AFG,566489.963973801,1319981.74307328,0.429164999399807,Not P20 Rural
Completed secondary education,Not P20,Urban,2008,AFG,1638635.26977169,5202517.2812468,0.314969692782834,Not P20 Urban
Completed secondary education,P20,Rural,2008,AFG,1798655.23880159,19871683.2382149,0.0905134817841008,P20 Rural
Completed secondary education,P20,Urban,2008,AFG,161958.968335689,1268661.04559539,0.127661339408179,P20 Urban
Completed secondary education,Not P20,Rural,2009,AFG,778552.538518553,2410597.89775427,0.322970719937928,Not P20 Rural
Completed secondary education,Not P20,Urban,2009,AFG,1720379.41113744,5697530.09847872,0.301951789881161,Not P20 Urban
Completed secondary education,P20,Rural,2009,AFG,1643970.62482684,19295172.7360251,0.0852011353988796,P20 Rural
Completed secondary education,P20,Urban,2009,AFG,123896.891426481,930637.750378173,0.13313116878843,P20 Urban
Completed secondary education,Not P20,Rural,2010,AFG,1033303.80341087,4001298.26995928,0.258242133851568,Not P20 Rural
Completed secondary education,Not P20,Urban,2010,AFG,1818139.37574346,6091638.67905624,0.298464743484284,Not P20 Urban
Completed secondary education,P20,Rural,2010,AFG,1456677.96690328,18308900.4544543,0.0795611932309616,P20 Rural
Completed secondary education,P20,Urban,2010,AFG,77493.4265719926,721099.94154985,0.107465584320305,P20 Urban
Completed secondary education,Not P20,Rural,2011,AFG,1028029.83129659,3968095.86381844,0.259073839588978,Not P20 Rural
Completed secondary education,Not P20,Urban,2011,AFG,1871454.37935415,6259217.13205499,0.298991765243288,Not P20 Urban
Completed secondary education,P20,Rural,2011,AFG,1541458.14569906,19054477.2610972,0.0808974250291401,P20 Rural
Completed secondary education,P20,Urban,2011,AFG,84706.8072129283,771055.211606662,0.109858290220778,P20 Urban
Completed secondary education,Not P20,Rural,2012,AFG,1276853.42550933,5690974.88799029,0.224364621289031,Not P20 Rural
Completed secondary education,Not P20,Urban,2012,AFG,1951020.472805,6613897.43899769,0.29498801437427,Not P20 Urban
Completed secondary education,P20,Rural,2012,AFG,1381700.97883612,18129632.0689548,0.0762123011421806,P20 Rural
Completed secondary education,P20,Urban,2012,AFG,72947.3311768073,660065.961618492,0.110515214264252,P20 Urban
Completed secondary education,Not P20,Rural,2013,AFG,1305324.86567079,5672797.43670522,0.230102498852652,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,AFG,2020405.92777427,6835268.19855312,0.295585464839836,Not P20 Urban
Completed secondary education,P20,Rural,2013,AFG,1447777.49933285,18994957.8071955,0.0762190426548046,P20 Rural
Completed secondary education,P20,Urban,2013,AFG,75541.606241087,697384.061055912,0.108321383380499,P20 Urban
Completed secondary education,Not P20,Rural,2014,AFG,1313550.63952899,5572810.6077175,0.235707030436297,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,AFG,2084687.50104219,7041967.34063806,0.29603765541652,Not P20 Urban
