educ.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,P20,Rural,2014,AFG,1533501.79375267,19936735.8165221,0.076918398671954,P20 Rural
Completed secondary education,P20,Urban,2014,AFG,82784.5852132063,747737.908754729,0.110713371950172,P20 Urban
Completed secondary education,Not P20,Rural,2015,AFG,1295177.05772021,5401416.76101843,0.23978469261387,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,AFG,2148685.89337669,7225488.2639617,0.297375874803314,Not P20 Urban
Completed secondary education,P20,Rural,2015,AFG,1640843.34860093,20905281.3461303,0.0784894171684831,P20 Rural
Completed secondary education,P20,Urban,2015,AFG,86517.8566442178,807638.665520982,0.107124460897879,P20 Urban
Completed secondary education,Not P20,Rural,2016,AFG,1322386.95379148,5476271.80007245,0.241475770755933,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,AFG,2209220.23181188,7425537.32789028,0.297516547861669,Not P20 Urban
Completed secondary education,P20,Rural,2016,AFG,1696349.15028553,21571557.6987046,0.0786382316000944,P20 Rural
Completed secondary education,P20,Urban,2016,AFG,88955.3004934708,833904.683634435,0.106673223258291,P20 Urban
Completed secondary education,Not P20,Rural,2017,AFG,1342543.63466112,5549500.95520153,0.241921507086643,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,AFG,2263818.82975889,7613137.05620407,0.297356899402469,Not P20 Urban
Completed secondary education,P20,Rural,2017,AFG,1754108.90346442,22196458.605508,0.079026521060848,P20 Rural
Completed secondary education,P20,Urban,2017,AFG,93674.7867118768,859488.965641851,0.108988934653655,P20 Urban
Completed secondary education,Not P20,Rural,2018,AFG,1367996.19016734,5598815.24753143,0.244336726554873,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,AFG,2318454.37492053,7792785.18799712,0.297512932666428,Not P20 Urban
Completed secondary education,P20,Rural,2018,AFG,1803391.70105829,22816771.9382801,0.0790379860015481,P20 Rural
Completed secondary education,P20,Urban,2018,AFG,95935.5564221674,884321.216982475,0.108484965168566,P20 Urban
Completed secondary education,Not P20,Rural,2000,AGO,160260.451578695,1841398.93319408,0.0870319020445547,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,AGO,2389869.64743713,9614400.58740605,0.248571881908855,Not P20 Urban
Completed secondary education,P20,Rural,2000,AGO,47305.7342392555,4092606.7498466,0.0115588272049418,P20 Rural
Completed secondary education,P20,Urban,2000,AGO,5320.01087223521,354132.859298708,0.0150226411713685,P20 Urban
Completed secondary education,Not P20,Rural,2001,AGO,160664.714006902,1768039.90454634,0.0908716560037861,Not P20 Rural
Completed secondary education,Not P20,Urban,2001,AGO,2467011.17752266,9891922.52314967,0.249396532549584,Not P20 Urban
Completed secondary education,P20,Rural,2001,AGO,53867.9997503099,4365128.35509482,0.0123405305338701,P20 Rural
Completed secondary education,P20,Urban,2001,AGO,8568.04717339505,411184.045358459,0.0208374990958748,P20 Urban
Completed secondary education,Not P20,Rural,2002,AGO,163754.976652485,1692389.30360953,0.0967596381655384,Not P20 Rural
Completed secondary education,Not P20,Urban,2002,AGO,2548477.66290684,10178488.0256372,0.250378804444023,Not P20 Urban
Completed secondary education,P20,Rural,2002,AGO,58040.3057674946,4648404.89254202,0.012486069331141,P20 Rural
Completed secondary education,P20,Urban,2002,AGO,10907.2610907494,473409.259135785,0.0230398136079146,P20 Urban
Completed secondary education,Not P20,Rural,2003,AGO,165770.252753623,1588165.37029818,0.104378458222206,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,AGO,2635675.50122849,10429832.4055513,0.252705450935688,Not P20 Urban
Completed secondary education,P20,Rural,2003,AGO,63647.1161390024,4970532.83689,0.0128048879722975,P20 Rural
Completed secondary education,P20,Urban,2003,AGO,11663.7426024372,588121.728206104,0.0198321912676378,P20 Urban
Completed secondary education,Not P20,Rural,2004,AGO,164089.068583611,1467384.0620461,0.111824213461067,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,AGO,2724923.15837524,10697385.7090234,0.254727952463818,Not P20 Urban
Completed secondary education,P20,Rural,2004,AGO,73388.4723613841,5321742.36530985,0.0137903091363032,P20 Rural
Completed secondary education,P20,Urban,2004,AGO,15425.6509008188,707664.686938828,0.0217979661632491,P20 Urban
Completed secondary education,Not P20,Rural,2005,AGO,159633.079707982,1321776.84012571,0.120771581754148,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,AGO,2818836.71732811,10986075.9905681,0.256582670623085,Not P20 Urban
Completed secondary education,P20,Rural,2005,AGO,86395.7261608148,5711817.41543195,0.0151257856960544,P20 Rural
Completed secondary education,P20,Urban,2005,AGO,20188.5754524153,829655.798746468,0.0243336760653253,P20 Urban
Completed secondary education,Not P20,Rural,2006,AGO,167699.77330501,1450647.40394903,0.115603400832269,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,AGO,2925267.51841377,11428371.964621,0.255965375249386,Not P20 Urban
Completed secondary education,P20,Rural,2006,AGO,87397.3559561773,5842196.60529102,0.0149596738796886,P20 Rural
Completed secondary education,P20,Urban,2006,AGO,18400.8033941922,822873.367934512,0.0223616465318108,P20 Urban
Completed secondary education,Not P20,Rural,2007,AGO,182771.085385701,1590614.01440076,0.114905994622811,Not P20 Rural
Completed secondary education,Not P20,Urban,2007,AGO,3036080.53447517,11892508.3508051,0.255293538160065,Not P20 Urban
Completed secondary education,P20,Rural,2007,AGO,81890.169647911,5975653.9943373,0.0137039677540755,P20 Rural
Completed secondary education,P20,Urban,2007,AGO,17952.07933252,818061.834087012,0.0219446484171398,P20 Urban
Completed secondary education,Not P20,Rural,2008,AGO,189994.783118287,1738901.42941024,0.109261387623751,Not P20 Rural
Completed secondary education,Not P20,Urban,2008,AGO,3151640.82174614,12385913.8111209,0.254453637398671,Not P20 Urban
Completed secondary education,P20,Rural,2008,AGO,84671.2785611928,6113388.98350866,0.0138501375897395,P20 Rural
Completed secondary education,P20,Urban,2008,AGO,17841.277810569,805145.280401841,0.0221590789200982,P20 Urban
Completed secondary education,Not P20,Rural,2009,AGO,179748.627704051,1395409.22050111,0.128814275456415,Not P20 Rural
Completed secondary education,Not P20,Urban,2009,AGO,3265124.63686499,12596539.3687287,0.259208068286657,Not P20 Urban
Completed secondary education,P20,Rural,2009,AGO,105281.479911847,6753173.70867542,0.0155899262263308,P20 Rural
Completed secondary education,P20,Urban,2009,AGO,23952.355026069,1092261.38602902,0.0219291419915056,P20 Urban
Completed secondary education,Not P20,Rural,2010,AGO,166474.078266789,1073900.1297716,0.155018212263552,Not P20 Rural
Completed secondary education,Not P20,Urban,2010,AGO,3378405.5983771,12709817.3261541,0.265810712434479,Not P20 Urban
Completed secondary education,P20,Rural,2010,AGO,129215.280451057,7379414.78822413,0.0175102340984078,P20 Rural
Completed secondary education,P20,Urban,2010,AGO,33672.7769238094,1490902.55795442,0.0225854981227008,P20 Urban
Completed secondary education,Not P20,Rural,2011,AGO,145705.964593935,782083.266080261,0.186304925464269,Not P20 Rural
Completed secondary education,Not P20,Urban,2011,AGO,3469398.40272255,12478590.5667706,0.278028066083141,Not P20 Urban
Completed secondary education,P20,Rural,2011,AGO,160926.861537985,7984088.95847233,0.0201559454528894,P20 Rural
Completed secondary education,P20,Urban,2011,AGO,68961.0422667488,2247698.16425883,0.0306807396844089,P20 Urban
Completed secondary education,Not P20,Rural,2012,AGO,145460.648067457,716461.825070343,0.203026376252742,Not P20 Rural
Completed secondary education,Not P20,Urban,2012,AGO,3581821.11692908,12649064.0763721,0.28316886492968,Not P20 Urban
Completed secondary education,P20,Rural,2012,AGO,172404.989078252,8370839.60523261,0.0205959016310003,P20 Rural
Completed secondary education,P20,Urban,2012,AGO,86158.2498598803,2616689.4612694,0.0329264328592066,P20 Urban
Completed secondary education,Not P20,Rural,2013,AGO,128187.798368342,541698.902627095,0.23664031392101,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,AGO,3670167.99753745,12401170.2216271,0.2959533602028,Not P20 Urban
Completed secondary education,P20,Rural,2013,AGO,201171.179300611,8874179.88103083,0.0226692699491733,P20 Rural
Completed secondary education,P20,Urban,2013,AGO,130437.645791784,3416560.26239809,0.038178060907443,P20 Urban
Completed secondary education,Not P20,Rural,2014,AGO,106519.695870877,426483.723053038,0.249762628942418,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,AGO,3713781.06462435,12165537.8278026,0.305270602680388,Not P20 Urban
Completed secondary education,P20,Rural,2014,AGO,234562.400765198,9324541.43475889,0.02515538189265,P20 Rural
Completed secondary education,P20,Urban,2014,AGO,222102.361078389,4215204.89765759,0.0526907627199362,P20 Urban
Completed secondary education,Not P20,Rural,2015,AGO,103692.920209155,368688.360770627,0.281248152212936,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,AGO,3786762.05774606,11831216.4690247,0.320065317683958,Not P20 Urban
Completed secondary education,P20,Rural,2015,AGO,249322.488865321,9723492.28702597,0.0256412492040531,P20 Rural
Completed secondary education,P20,Urban,2015,AGO,286824.657291592,5122633.20881989,0.0559916444530426,P20 Urban
Completed secondary education,Not P20,Rural,2016,AGO,86822.0056828933,266519.050671811,0.325762850588137,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,AGO,3825068.24655853,11094791.935325,0.344762503781599,Not P20 Urban
Completed secondary education,P20,Rural,2016,AGO,278322.958015029,10172427.3566084,0.0273605254928873,P20 Rural
Completed secondary education,P20,Urban,2016,AGO,388486.275275238,6441589.38408233,0.0603090715833607,P20 Urban
Completed secondary education,Not P20,Rural,2017,AGO,62864.2472441922,187002.885015329,0.336167258804799,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,AGO,3795833.1561232,10262806.3691502,0.369863078342138,Not P20 Urban
Completed secondary education,P20,Rural,2017,AGO,314614.868841998,10604558.4247311,0.0296678896226627,P20 Rural
Completed secondary education,P20,Urban,2017,AGO,560050.108361863,7865932.56445468,0.0711994545812241,P20 Urban
Completed secondary education,Not P20,Rural,2018,AGO,53913.6442817185,148770.040306771,0.362395843750166,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,AGO,3732127.44650297,9399966.62046387,0.397036244615813,Not P20 Urban
Completed secondary education,P20,Rural,2018,AGO,336136.998618235,11002192.3504172,0.0305518198475678,P20 Rural
Completed secondary education,P20,Urban,2018,AGO,768823.719552011,9332530.02553185,0.0823810603821976,P20 Urban
Completed secondary education,Not P20,Rural,2000,ALB,1416506.07428154,3317100.05016678,0.427031459063262,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,ALB,1676410.64492483,2741382.26145505,0.611520205881482,Not P20 Urban
Completed secondary education,P20,Rural,2000,ALB,2926.68414629988,84130.4200247357,0.0347874662391961,P20 Rural
Completed secondary education,P20,Urban,2000,ALB,15058.309350487,32513.5207886632,0.463139917954917,P20 Urban
Completed secondary education,Not P20,Rural,2001,ALB,1401990.72225446,3266004.75973822,0.42926781354931,Not P20 Rural
Completed secondary education,Not P20,Urban,2001,ALB,1660350.2208998,2720681.27182434,0.610270022473623,Not P20 Urban
Completed secondary education,P20,Rural,2001,ALB,3765.45748890864,98564.2906862522,0.0382030597764333,P20 Rural
Completed secondary education,P20,Urban,2001,ALB,14911.2667382531,32196.5192955819,0.463132880960188,P20 Urban
Completed secondary education,Not P20,Rural,2002,ALB,1395153.7898505,3237688.89433957,0.430910391758033,Not P20 Rural
Completed secondary education,Not P20,Urban,2002,ALB,1654535.43010057,2711155.06334277,0.610269568300008,Not P20 Urban
Completed secondary education,P20,Rural,2002,ALB,6538.41094311101,118215.997147544,0.0553090199370435,P20 Rural
Completed secondary education,P20,Urban,2002,ALB,14853.203054916,32072.1758840679,0.463118034417316,P20 Urban
Completed secondary education,Not P20,Rural,2003,ALB,1391471.11309544,3231939.8619829,0.430537439592618,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,ALB,1650817.08924841,2694356.43931383,0.612694395277864,Not P20 Urban
Completed secondary education,P20,Rural,2003,ALB,6528.94578547953,118017.079685245,0.0553220415459561,P20 Rural
Completed secondary education,P20,Urban,2003,ALB,14836.8783863628,32033.9236944409,0.463161444969587,P20 Urban
Completed secondary education,Not P20,Rural,2004,ALB,1393759.01183976,3212648.19006924,0.433834932859463,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,ALB,1655619.22702593,2687189.0290352,0.616115654364799,Not P20 Urban
Completed secondary education,P20,Rural,2004,ALB,6580.28600817758,118799.438379937,0.0553898747158462,P20 Rural
Completed secondary education,P20,Urban,2004,ALB,14980.6896055562,32328.6863541349,0.46338689550991,P20 Urban
Completed secondary education,Not P20,Rural,2005,ALB,1401416.76941156,3200199.73687126,0.437915406736981,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,ALB,1641901.735698,2667440.99224584,0.615534416870311,Not P20 Urban
Completed secondary education,P20,Rural,2005,ALB,6640.40801021779,119713.204463847,0.0554693029892384,P20 Rural
Completed secondary education,P20,Urban,2005,ALB,15149.5499227756,32674.5791892917,0.463649427128369,P20 Urban
Completed secondary education,Not P20,Rural,2006,ALB,1395842.47982038,3176467.02601557,0.439432384592157,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,ALB,1656923.36576972,2677894.84782099,0.618741011103539,Not P20 Urban
Completed secondary education,P20,Rural,2006,ALB,3783.82469147056,95221.9640849627,0.0397368897799085,P20 Rural
Completed secondary education,P20,Urban,2006,ALB,15104.3889147542,32573.4553849711,0.463702383927101,P20 Urban
Completed secondary education,Not P20,Rural,2007,ALB,1391992.74945165,3168979.82384648,0.43925579423919,Not P20 Rural
Completed secondary education,Not P20,Urban,2007,ALB,1649318.86273203,2665983.4711142,0.618653071409604,Not P20 Urban
Completed secondary education,P20,Rural,2007,ALB,2931.03023520548,69622.9626764728,0.0420986140567664,P20 Rural
Completed secondary education,P20,Urban,2007,ALB,15080.6707492351,32515.6471300174,0.46379734313555,P20 Urban
Completed secondary education,Not P20,Rural,2008,ALB,1384094.86312483,3159098.75475424,0.438129659936037,Not P20 Rural
Completed secondary education,Not P20,Urban,2008,ALB,1637107.08632657,2647593.61538308,0.618337752748243,Not P20 Urban
Completed secondary education,P20,Rural,2008,ALB,2916.87176105434,52662.2399414442,0.0553882965156372,P20 Rural
Completed secondary education,P20,Urban,2008,ALB,15007.8228869305,32355.4583070723,0.463842074017233,P20 Urban
Completed secondary education,Not P20,Rural,2009,ALB,1367121.58841582,3112940.89023654,0.439173642102768,Not P20 Rural
Completed secondary education,Not P20,Urban,2009,ALB,1618667.01301691,2617906.53383548,0.618305883764847,Not P20 Urban
Completed secondary education,P20,Rural,2009,ALB,2874.19691152006,89424.5374664122,0.032141031901894,P20 Rural
Completed secondary education,P20,Urban,2009,ALB,14788.2532122921,31890.7972029577,0.463715382157977,P20 Urban
Completed secondary education,Not P20,Rural,2010,ALB,638340.076054804,2009930.20887608,0.317593154844791,Not P20 Rural
Completed secondary education,Not P20,Urban,2010,ALB,956926.148494777,1545034.66521501,0.619355778895491,Not P20 Urban
Completed secondary education,P20,Rural,2010,ALB,2211.38693364079,52049.7060416964,0.0424860599955987,P20 Rural
Completed secondary education,P20,Urban,2010,ALB,3627.76927870396,10059.4731583968,0.360632134663614,P20 Urban
Completed secondary education,Not P20,Rural,2011,ALB,630325.941269153,1915010.91287247,0.329150051852018,Not P20 Rural
Completed secondary education,Not P20,Urban,2011,ALB,982038.136764635,1571675.34225767,0.624835238144007,Not P20 Urban
Completed secondary education,P20,Rural,2011,ALB,4946.98011784138,72998.371178014,0.06776836301974,P20 Rural
Completed secondary education,P20,Urban,2011,ALB,3618.02306596634,20973.9771157422,0.172500572781249,P20 Urban
Completed secondary education,Not P20,Rural,2012,ALB,621852.058790947,1810850.86283708,0.343403242946625,Not P20 Rural
Completed secondary education,Not P20,Urban,2012,ALB,997862.931983887,1590770.85129225,0.62728263544261,Not P20 Urban
Completed secondary education,P20,Rural,2012,ALB,11921.0976996956,104938.589453197,0.113600704581725,P20 Rural
Completed secondary education,P20,Urban,2012,ALB,3871.89215597201,31543.2957175794,0.122748497513979,P20 Urban
Completed secondary education,Not P20,Rural,2013,ALB,606838.882366675,1654500.59356076,0.366780697890628,Not P20 Rural
Completed secondary education,Not P20,Urban,2013,ALB,1044533.19674826,1645025.67534787,0.634964677087712,Not P20 Urban
Completed secondary education,P20,Rural,2013,ALB,32962.1112352971,202067.466607891,0.163124286104203,P20 Rural
Completed secondary education,P20,Urban,2013,ALB,5796.40768268247,35524.4541118675,0.163166692567025,P20 Urban
Completed secondary education,Not P20,Rural,2014,ALB,601286.308014766,1577612.43885956,0.381136895985322,Not P20 Rural
Completed secondary education,Not P20,Urban,2014,ALB,1079648.44750176,1686467.73787186,0.640183279677891,Not P20 Urban
Completed secondary education,P20,Rural,2014,ALB,32794.6709495162,200062.457443108,0.163922163951435,P20 Rural
Completed secondary education,P20,Urban,2014,ALB,5784.41881006499,35450.9778868557,0.163166692567025,P20 Urban
Completed secondary education,Not P20,Rural,2015,ALB,595332.638726452,1498231.64668662,0.397356870710245,Not P20 Rural
Completed secondary education,Not P20,Urban,2015,ALB,1123098.99939855,1736633.70496041,0.64671035474585,Not P20 Urban
Completed secondary education,P20,Rural,2015,ALB,32514.0747396081,196807.646018473,0.165207375817889,P20 Rural
Completed secondary education,P20,Urban,2015,ALB,5767.59875013521,35347.8927555391,0.163166692567025,P20 Urban
Completed secondary education,Not P20,Rural,2016,ALB,589416.172329315,1421118.48283058,0.414755123834094,Not P20 Rural
Completed secondary education,Not P20,Urban,2016,ALB,1157743.2082534,1776696.14428377,0.651627016796459,Not P20 Urban
Completed secondary education,P20,Rural,2016,ALB,32612.9863374824,197533.112939888,0.165101363776953,P20 Rural
Completed secondary education,P20,Urban,2016,ALB,5758.38485705143,37455.0760754011,0.153741106958619,P20 Urban
Completed secondary education,Not P20,Rural,2017,ALB,1005724.13737639,2325201.67538298,0.432532002717887,Not P20 Rural
Completed secondary education,Not P20,Urban,2017,ALB,2010222.54858172,2986373.9580278,0.673131555804643,Not P20 Urban
Completed secondary education,P20,Rural,2017,ALB,78435.9538117477,392464.066681825,0.199855121705541,P20 Rural
Completed secondary education,P20,Urban,2017,ALB,5753.09117315019,42178.5419864392,0.136398531153587,P20 Urban
Completed secondary education,Not P20,Rural,2018,ALB,1000930.92381496,2314164.23805451,0.432523719516308,Not P20 Rural
Completed secondary education,Not P20,Urban,2018,ALB,2005268.79918978,2979014.69912927,0.673131555804643,Not P20 Urban
Completed secondary education,P20,Rural,2018,ALB,80557.494330669,396804.417149569,0.203015618902005,P20 Rural
Completed secondary education,P20,Urban,2018,ALB,5738.91395087156,42074.6022873917,0.136398531153587,P20 Urban
Completed secondary education,Not P20,Rural,2000,ARM,2242327.34768867,2406188.0874766,0.93190027802034,Not P20 Rural
Completed secondary education,Not P20,Urban,2000,ARM,2658584.40392724,2777236.39972549,0.957276954957824,Not P20 Urban
Completed secondary education,P20,Rural,2000,ARM,715196.82931286,827994.498148368,0.863770026144189,P20 Rural
Completed secondary education,P20,Urban,2000,ARM,105438.76975083,127763.014649545,0.825268330119238,P20 Urban
Completed secondary education,Not P20,Rural,2001,ARM,2218959.33076564,2382775.18931716,0.93124997302055,Not P20 Rural
Completed secondary education,Not P20,Urban,2001,ARM,2645451.49165642,2763959.74419336,0.957123741477815,Not P20 Urban
Completed secondary education,P20,Rural,2001,ARM,714164.12665428,826840.030018023,0.863727082297543,P20 Rural
Completed secondary education,P20,Urban,2001,ARM,105459.713857777,127799.036471454,0.825199600634969,P20 Urban
Completed secondary education,Not P20,Rural,2002,ARM,2157907.9534136,2324121.44471067,0.928483302077287,Not P20 Rural
Completed secondary education,Not P20,Urban,2002,ARM,2658268.40462767,2778133.27262847,0.95685416924315,Not P20 Urban
Completed secondary education,P20,Rural,2002,ARM,721774.160323221,835790.52579241,0.863582605987199,P20 Rural
Completed secondary education,P20,Urban,2002,ARM,107172.484254256,129910.756868449,0.824970055118542,P20 Urban
Completed secondary education,Not P20,Rural,2003,ARM,2187609.63779607,2401426.67705106,0.910962495212408,Not P20 Rural
Completed secondary education,Not P20,Urban,2003,ARM,2695409.18754365,2814775.95615066,0.957592799403385,Not P20 Urban
Completed secondary education,P20,Rural,2003,ARM,607496.989707004,692757.098728227,0.8769264015082,P20 Rural
Completed secondary education,P20,Urban,2003,ARM,102268.574823912,126904.268070055,0.805871830626346,P20 Urban
Completed secondary education,Not P20,Rural,2004,ARM,2239045.89030171,2433443.59326716,0.920114152839497,Not P20 Rural
Completed secondary education,Not P20,Urban,2004,ARM,2750195.35025613,2873816.03969795,0.956983784718939,Not P20 Urban
Completed secondary education,P20,Rural,2004,ARM,490141.023941198,570859.462327848,0.858601908677318,P20 Rural
Completed secondary education,P20,Urban,2004,ARM,97430.8900105637,123320.904707044,0.790059805691637,P20 Urban
Completed secondary education,Not P20,Rural,2005,ARM,2304290.18698332,2512997.3286629,0.916948920200156,Not P20 Rural
Completed secondary education,Not P20,Urban,2005,ARM,2829790.96640245,2956243.91346205,0.957225130685675,Not P20 Urban
Completed secondary education,P20,Rural,2005,ARM,312835.751608695,368113.823883017,0.84983429393869,P20 Rural
Completed secondary education,P20,Urban,2005,ARM,98433.6859229446,125182.933992033,0.786318731986337,P20 Urban
Completed secondary education,Not P20,Rural,2006,ARM,2417807.84884331,2642820.24308682,0.914858986405864,Not P20 Rural
Completed secondary education,Not P20,Urban,2006,ARM,2780542.65371435,2909363.53807798,0.955721970569296,Not P20 Urban
Completed secondary education,P20,Rural,2006,ARM,179566.591977612,236008.393811879,0.760848328643528,P20 Rural
Completed secondary education,P20,Urban,2006,ARM,100933.995225946,128421.825023313,0.785956711077911,P20 Urban
Completed secondary education,Not P20,Rural,2007,ARM,2465024.82972161,2694177.76911716,0.914945130190636,Not P20 Rural
