birth.reg,p20,sex,povcal_year,iso3,value,total,percentage,demographic
Registered,P20,Male,2002,BEN,2448159.4424606,4215919.67834578,0.580694042876356,P20 Male
Registered,Not P20,Female,2002,BEN,5246092.06449578,6527112.06368981,0.803738623346101,Not P20 Female
Registered,P20,Female,2002,BEN,2497640.16421356,4253946.11049673,0.587134885900545,P20 Female
Registered,Not P20,Male,2003,BEN,5590044.46477887,6789783.18323876,0.823302352066034,Not P20 Male
Registered,P20,Male,2003,BEN,2720288.51359742,4632036.58009288,0.587276992864956,P20 Male
Registered,Not P20,Female,2003,BEN,5170191.72971451,6365729.25400048,0.812191584564384,Not P20 Female
Registered,P20,Female,2003,BEN,2836611.66638245,4774115.98266789,0.594164799657273,P20 Female
Registered,Not P20,Male,2004,BEN,5554928.15218006,6694568.82642382,0.829766381705489,Not P20 Male
Registered,P20,Male,2004,BEN,3030000.99653904,5092479.64721798,0.59499520988647,P20 Male
Registered,Not P20,Female,2004,BEN,5061136.53539684,6230284.296932,0.812344396208229,Not P20 Female
Registered,P20,Female,2004,BEN,3166374.73941603,5232679.22942622,0.605115391291285,P20 Female
Registered,Not P20,Male,2005,BEN,5427175.96025399,6511476.83605488,0.833478502173734,Not P20 Male
Registered,P20,Male,2005,BEN,3437639.77016474,5642297.67382213,0.609262390765721,P20 Male
Registered,Not P20,Female,2005,BEN,4949756.15466499,6051347.58670866,0.817959319596311,Not P20 Female
Registered,P20,Female,2005,BEN,3523291.44299189,5741552.90341435,0.613647823552525,P20 Female
Registered,Not P20,Male,2006,BEN,5404746.26746184,6456927.05085793,0.837046202456898,Not P20 Male
Registered,P20,Male,2006,BEN,3711614.41927827,6048550.38147092,0.613637017994989,P20 Male
Registered,Not P20,Female,2006,BEN,4927893.44559936,6013979.55770465,0.819406417716555,Not P20 Female
Registered,P20,Female,2006,BEN,3787589.70269858,6131234.00996652,0.617753244541266,P20 Female
Registered,Not P20,Male,2007,BEN,4006784.10985715,4850698.7500519,0.826022046785379,Not P20 Male
Registered,P20,Male,2007,BEN,3019189.34160346,4951209.53596254,0.609788238545334,P20 Male
Registered,Not P20,Female,2007,BEN,3670895.66260496,4535465.91576122,0.809375647570896,Not P20 Female
Registered,P20,Female,2007,BEN,3028857.42771059,4961114.12763153,0.610519603014372,P20 Female
Registered,Not P20,Male,2008,BEN,4012033.82890354,4808577.40292112,0.834349432841886,Not P20 Male
Registered,P20,Male,2008,BEN,3304370.33575724,5185875.04736284,0.637186647495026,P20 Male
Registered,Not P20,Female,2008,BEN,3691088.78345978,4514051.97559616,0.817688587418692,Not P20 Female
Registered,P20,Female,2008,BEN,3207885.24629564,5080781.33304016,0.631376364386095,P20 Female
Registered,Not P20,Male,2009,BEN,3871357.64629902,4567161.58218019,0.847650685582046,Not P20 Male
Registered,P20,Male,2009,BEN,3602060.68609846,5496251.01110056,0.655366845295734,P20 Male
Registered,Not P20,Female,2009,BEN,3612773.16092835,4316075.49937446,0.837050501422404,Not P20 Female
Registered,P20,Female,2009,BEN,3554094.56368371,5418788.7709112,0.655883577297306,P20 Female
Registered,Not P20,Male,2010,BEN,3808093.7808379,4420167.0752924,0.861527113335639,Not P20 Male
Registered,P20,Male,2010,BEN,3889426.15377207,5766181.84425914,0.674523672479115,P20 Male
Registered,Not P20,Female,2010,BEN,3488446.25317564,4098018.49209509,0.851251955037466,Not P20 Female
Registered,P20,Female,2010,BEN,3940908.13893612,5763987.94906084,0.683712071184714,P20 Female
Registered,Not P20,Male,2011,BEN,3579514.49329043,4100592.65527211,0.872926133906099,Not P20 Male
Registered,P20,Male,2011,BEN,4428273.82553109,6275836.7120728,0.705606922024029,P20 Male
Registered,Not P20,Female,2011,BEN,3275260.25046195,3789441.69105371,0.864312085390924,Not P20 Female
Registered,P20,Female,2011,BEN,4378416.34564301,6156781.20220559,0.711153474818059,P20 Female
Registered,Not P20,Male,2012,BEN,4409657.15525349,5862401.65999717,0.752192942585857,Not P20 Male
Registered,P20,Male,2012,BEN,5247183.65239667,8289650.18445441,0.632980105992497,P20 Male
Registered,Not P20,Female,2012,BEN,4071055.60707762,5454960.64003424,0.746303388002461,Not P20 Female
Registered,P20,Female,2012,BEN,5176061.63676835,8131009.24771517,0.636582923358848,P20 Female
Registered,Not P20,Male,2013,BEN,3028384.80247225,4251143.41762813,0.712369474507613,Not P20 Male
Registered,P20,Male,2013,BEN,3914458.84630569,6539091.16745485,0.598624295955377,P20 Male
Registered,Not P20,Female,2013,BEN,2805464.11300614,4038417.41810751,0.694693941351125,Not P20 Female
Registered,P20,Female,2013,BEN,3844789.16992735,6419029.55119755,0.598967357801003,P20 Female
Registered,Not P20,Male,2014,BEN,3021123.18370995,4246843.11141529,0.71138092565495,Not P20 Male
