sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,P20,2010,ALB,9046.78970849885,62109.1792000932,0.145659463303377,P20
5 people per room or more,Not P20,2011,ALB,262466.529986388,3487389.69785894,0.0752616004306969,Not P20
5 people per room or more,P20,2011,ALB,12406.0048832142,93972.3482937563,0.132017610589374,P20
5 people per room or more,Not P20,2012,ALB,252281.513133166,3402323.99607394,0.0741497615818725,Not P20
5 people per room or more,P20,2012,ALB,20526.0073671852,136481.885170777,0.150393638991002,P20
5 people per room or more,Not P20,2013,ALB,229249.223948557,3300227.26537071,0.069464677888723,Not P20
5 people per room or more,P20,2013,ALB,39150.5406840828,237591.920719758,0.164780606030208,P20
5 people per room or more,Not P20,2014,ALB,225217.317061916,3264779.72330283,0.0689839242305983,Not P20
5 people per room or more,P20,2014,ALB,37728.3272282528,235513.435329964,0.160196071937017,P20
5 people per room or more,Not P20,2015,ALB,221015.026207254,3235562.86406158,0.0683080612224038,Not P20
5 people per room or more,P20,2015,ALB,33222.9069516281,232155.538774013,0.14310624302601,P20
5 people per room or more,Not P20,2016,ALB,217120.216864481,3198511.02523417,0.0678816534167128,Not P20
5 people per room or more,P20,2016,ALB,31577.0116252197,234988.189015289,0.134377015957876,P20
5 people per room or more,Not P20,2017,ALB,605168.279280293,5312271.39133174,0.113918931225497,Not P20
5 people per room or more,P20,2017,ALB,55332.1847167343,434642.608668264,0.127305017072005,P20
5 people per room or more,Not P20,2018,ALB,603676.975743966,5293872.98056304,0.114033143212998,Not P20
5 people per room or more,P20,2018,ALB,55195.8307709543,438879.019436961,0.125765480523004,P20
5 people per room or more,Not P20,2000,ARM,243656.315306064,5149422.39940025,0.0473172127682596,Not P20
5 people per room or more,P20,2000,ARM,72969.6920945133,955757.512797913,0.0763474951725984,P20
5 people per room or more,Not P20,2001,ARM,243203.840035486,5112709.88082051,0.0475684804545287,Not P20
5 people per room or more,P20,2001,ARM,72964.6946702885,954639.066489477,0.0764317083089882,P20
5 people per room or more,Not P20,2002,ARM,245453.08723817,5067622.02336013,0.048435555395945,Not P20
5 people per room or more,P20,2002,ARM,74083.5324966175,965701.282660859,0.0767147500234134,P20
5 people per room or more,Not P20,2003,ARM,246930.46609788,5178679.97527466,0.0476821250351125,Not P20
5 people per room or more,P20,2003,ARM,71971.1868892984,819661.366798282,0.087806001117789,P20
5 people per room or more,Not P20,2004,ARM,274832.88477941,5267826.51632917,0.052171969583183,Not P20
5 people per room or more,P20,2004,ARM,54837.3490025345,694180.367034892,0.0789958224211464,P20
5 people per room or more,Not P20,2005,ARM,296745.81472925,5428499.42596926,0.0546644277624228,Not P20
5 people per room or more,P20,2005,ARM,34637.8463158225,493296.75787505,0.0702170564936007,P20
5 people per room or more,Not P20,2006,ARM,301753.870842667,5510317.03017313,0.0547616170159245,Not P20
5 people per room or more,P20,2006,ARM,35410.5527198763,364430.218835192,0.0971668947571281,P20
5 people per room or more,Not P20,2007,ARM,306112.340702586,5550343.24824257,0.0551519657454539,Not P20
5 people per room or more,P20,2007,ARM,36097.6814380569,272012.926323714,0.132705757501753,P20
5 people per room or more,Not P20,2008,ARM,310368.308539799,5574711.08846052,0.0556743306719969,Not P20
5 people per room or more,P20,2008,ARM,23220.6134484006,198995.40801562,0.11668919237864,P20
5 people per room or more,Not P20,2009,ARM,304239.087230335,5428173.62305824,0.0560481495908612,Not P20
5 people per room or more,P20,2009,ARM,35945.0265189641,305234.310271703,0.117762077555986,P20
5 people per room or more,Not P20,2010,ARM,303484.614715587,5212737.12947305,0.0582198194878602,Not P20
5 people per room or more,P20,2010,ARM,35865.1587837229,499209.330752715,0.0718439271350254,P20
5 people per room or more,Not P20,2011,ARM,120440.091497699,3266943.66363371,0.0368662896879396,Not P20
5 people per room or more,P20,2011,ARM,15758.2027953125,226942.763719705,0.0694369035479594,P20
5 people per room or more,Not P20,2012,ARM,115440.20855077,3265363.08613132,0.0353529471319955,Not P20
5 people per room or more,P20,2012,ARM,15800.3355040404,263837.60094634,0.0598865948119877,P20
5 people per room or more,Not P20,2013,ARM,115597.566516149,3239344.53847918,0.0356854805479941,Not P20
5 people per room or more,P20,2013,ARM,22203.5946686209,348819.138746586,0.0636536021171464,P20
5 people per room or more,Not P20,2014,ARM,114217.445659732,3280787.60609458,0.0348140322913787,Not P20
