birth.reg,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Registered,Not P20,Rural,2016,AFG,2905668.25087911,5492046.49582104,0.52906839974681,Not P20 Rural
Registered,Not P20,Urban,2016,AFG,4994900.4405914,7441045.09150182,0.671263294224076,Not P20 Urban
Registered,P20,Rural,2016,AFG,7190121.87767161,21612751.1487017,0.3326796217752,P20 Rural
Registered,P20,Urban,2016,AFG,328708.551050873,837285.263975418,0.392588482317448,P20 Urban
Registered,Not P20,Rural,2017,AFG,2952376.40449096,5565682.81076753,0.53046077271583,Not P20 Rural
Registered,Not P20,Urban,2017,AFG,5122440.47069699,7629045.08986211,0.67143927062431,Not P20 Urban
Registered,P20,Rural,2017,AFG,7403995.61614921,22238715.2974115,0.332932703941356,P20 Rural
Registered,P20,Urban,2017,AFG,338575.904233029,862956.80195888,0.392343977664322,P20 Urban
Registered,Not P20,Rural,2018,AFG,2991726.63638242,5615387.6398705,0.532772949660767,Not P20 Rural
Registered,Not P20,Urban,2018,AFG,5244956.70667995,7809077.14994478,0.67164872442284,Not P20 Urban
Registered,P20,Rural,2018,AFG,7614588.54393395,22860048.463294,0.333095905555956,P20 Rural
Registered,P20,Urban,2018,AFG,347857.143763046,887872.746890714,0.391787162046841,P20 Urban
Registered,Not P20,Rural,2000,AGO,758325.804600673,1885126.20817883,0.40226792312928,Not P20 Rural
Registered,Not P20,Urban,2000,AGO,5906081.8601259,9967826.24329654,0.592514527838786,Not P20 Urban
Registered,P20,Rural,2000,AGO,760604.734626907,4177981.05342855,0.182050785989739,P20 Rural
Registered,P20,Urban,2000,AGO,112215.663836562,364539.495096069,0.307828549021797,P20 Urban
Registered,Not P20,Rural,2001,AGO,750189.638890033,1811876.32133242,0.41404020244514,Not P20 Rural
Registered,Not P20,Urban,2001,AGO,6089925.93797195,10253473.095734,0.593937866819555,Not P20 Urban
Registered,P20,Rural,2001,AGO,819720.649267398,4454726.543233,0.184011440727513,P20 Rural
Registered,P20,Urban,2001,AGO,130363.243168462,425677.039700553,0.306249177216998,P20 Urban
Registered,Not P20,Rural,2002,AGO,739608.985112766,1735966.5728066,0.42605024583913,Not P20 Rural
Registered,Not P20,Urban,2002,AGO,6286859.27679445,10551632.4783558,0.595818636565521,Not P20 Urban
Registered,P20,Rural,2002,AGO,883447.422638498,4742779.38541173,0.186272088757889,P20 Rural
Registered,P20,Urban,2002,AGO,144005.142448948,489038.563425815,0.294465821754756,P20 Urban
Registered,Not P20,Rural,2003,AGO,712886.441622917,1630750.07081373,0.437152482395535,Not P20 Rural
Registered,Not P20,Urban,2003,AGO,6462535.59474304,10814438.654477,0.597584007938097,Not P20 Urban
Registered,P20,Rural,2003,AGO,965946.96983592,5070640.66771303,0.190498012605492,P20 Rural
Registered,P20,Urban,2003,AGO,189328.13594884,605649.606996238,0.312603415839443,P20 Urban
Registered,Not P20,Rural,2004,AGO,687301.198788652,1508370.91198566,0.455657950791342,Not P20 Rural
Registered,Not P20,Urban,2004,AGO,6659520.49867053,11093277.2943976,0.600320385215084,Not P20 Urban
Registered,P20,Rural,2004,AGO,1050515.04474144,5428461.29552578,0.193519855360725,P20 Rural
Registered,P20,Urban,2004,AGO,226044.657493565,728035.498090936,0.310485763518816,P20 Urban
Registered,Not P20,Rural,2005,AGO,641722.764543564,1363235.84560007,0.470734955081151,Not P20 Rural
Registered,Not P20,Urban,2005,AGO,6861671.65272177,11393038.0367233,0.602268826857637,Not P20 Urban
Registered,P20,Rural,2005,AGO,1158670.03687145,5823382.88783858,0.198968547867802,P20 Rural
Registered,P20,Urban,2005,AGO,271833.967901212,853945.229838046,0.318327169475221,P20 Urban
Registered,Not P20,Rural,2006,AGO,689189.864513025,1493943.93419259,0.461322442388376,Not P20 Rural
Registered,Not P20,Urban,2006,AGO,7124365.88141515,11850738.0393185,0.601174868415609,Not P20 Urban
Registered,P20,Rural,2006,AGO,1177563.23198576,5957564.84958997,0.197658483241993,P20 Rural
