sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Male,2005,COD,740139.046895984,4518044.33205535,0.16381845606178,Not P20 Male
5 people per room or more,P20,Male,2005,COD,9313983.59258584,49146438.1377017,0.189514926117114,P20 Male
5 people per room or more,Not P20,Female,2005,COD,739418.951280019,4711440.85990502,0.156941150969881,Not P20 Female
5 people per room or more,P20,Female,2005,COD,10623570.5456215,50407936.4137959,0.210751943075258,P20 Female
5 people per room or more,Not P20,Male,2006,COD,977555.327943329,4945557.97528454,0.19766330368154,Not P20 Male
5 people per room or more,P20,Male,2006,COD,9475582.05683152,50497162.0206149,0.187645833501756,P20 Male
5 people per room or more,Not P20,Female,2006,COD,1085396.04535253,5423116.07615796,0.200142506653017,Not P20 Female
5 people per room or more,P20,Female,2006,COD,10723433.6908566,51476534.9633041,0.208316929228064,P20 Female
5 people per room or more,Not P20,Male,2007,COD,1172192.2311471,6005923.61757343,0.195172683801247,Not P20 Male
5 people per room or more,P20,Male,2007,COD,9613928.07837741,51308812.3928962,0.187373818063824,P20 Male
5 people per room or more,Not P20,Female,2007,COD,1353715.66085843,6680671.77641909,0.202631667317749,Not P20 Female
5 people per room or more,P20,Female,2007,COD,10878439.6148971,52082866.1107243,0.208867914292012,P20 Female
5 people per room or more,Not P20,Male,2008,COD,675283.094974718,3580455.87432748,0.18860254634518,Not P20 Male
5 people per room or more,P20,Male,2008,COD,6239514.45500706,33767010.2381377,0.184781371255662,P20 Male
5 people per room or more,Not P20,Female,2008,COD,801866.661071821,3888513.49250158,0.206214190234418,Not P20 Female
5 people per room or more,P20,Female,2008,COD,7000464.73402084,34485246.0674177,0.202998833771844,P20 Female
5 people per room or more,Not P20,Male,2009,COD,741350.108906907,3796067.14352748,0.195294256101595,Not P20 Male
5 people per room or more,P20,Male,2009,COD,6367851.0393808,34436169.1908444,0.18491752099632,P20 Male
5 people per room or more,Not P20,Female,2009,COD,869793.217928854,4157209.40717765,0.209225259720405,Not P20 Female
5 people per room or more,P20,Female,2009,COD,7065932.3984752,35058591.4361316,0.201546385893673,P20 Female
5 people per room or more,Not P20,Male,2010,COD,762346.038934561,3992605.64415492,0.190939478345581,Not P20 Male
5 people per room or more,P20,Male,2010,COD,6558202.59308738,35221786.2089724,0.186197331224978,P20 Male
5 people per room or more,Not P20,Female,2010,COD,906070.384880891,4410971.11355659,0.205412903769919,Not P20 Female
5 people per room or more,P20,Female,2010,COD,7142540.00631094,35674722.5490333,0.200212909756869,P20 Female
5 people per room or more,Not P20,Male,2011,COD,843821.146973641,4456469.909989,0.189347435081352,Not P20 Male
5 people per room or more,P20,Male,2011,COD,6609873.77545479,35762214.9158521,0.184828422708373,P20 Male
5 people per room or more,Not P20,Female,2011,COD,1063702.16657126,4918402.53162129,0.216269847726478,Not P20 Female
5 people per room or more,P20,Female,2011,COD,7100636.52976434,36142324.6374801,0.196463193803558,P20 Female
5 people per room or more,Not P20,Male,2012,COD,1044457.142724,5394584.21673689,0.193612167455564,Not P20 Male
5 people per room or more,P20,Male,2012,COD,6681371.02071396,36024345.1136087,0.185468215997908,P20 Male
5 people per room or more,Not P20,Female,2012,COD,1162463.17749287,5756989.10015575,0.20192207372104,Not P20 Female
5 people per room or more,P20,Female,2012,COD,7185516.90493068,36333385.1480168,0.197766238286302,P20 Female
5 people per room or more,Not P20,Male,2013,COD,1122185.64134186,5739590.1174211,0.195516686450439,Not P20 Male
5 people per room or more,P20,Male,2013,COD,6909888.63724568,37003424.0155462,0.186736466180607,P20 Male
5 people per room or more,Not P20,Female,2013,COD,1225508.44748364,6148248.04238497,0.199326448613523,Not P20 Female
5 people per room or more,P20,Female,2013,COD,7343021.99192709,37094038.0052216,0.197956932887529,P20 Female
5 people per room or more,Not P20,Male,2014,COD,2698356.0011553,12330577.2893116,0.218834523140639,Not P20 Male
5 people per room or more,P20,Male,2014,COD,12455917.2541671,61023059.26244,0.204118203916954,P20 Male
5 people per room or more,Not P20,Female,2014,COD,3055207.13090496,13223058.9917218,0.231051463418386,Not P20 Female
5 people per room or more,P20,Female,2014,COD,12465962.5094881,60403945.9597158,0.206376625093364,P20 Female
5 people per room or more,Not P20,Male,2015,COD,2937501.43018693,13300227.6610379,0.220860988627446,Not P20 Male
5 people per room or more,P20,Male,2015,COD,12819813.8963461,63171585.7484148,0.202936395286987,P20 Male
5 people per room or more,Not P20,Female,2015,COD,3328358.14381485,14272649.4237445,0.233198339355107,Not P20 Female
5 people per room or more,P20,Female,2015,COD,12124280.3700571,61171396.1085076,0.198201792690013,P20 Female
5 people per room or more,Not P20,Male,2016,COD,2897939.65336343,13206037.9455067,0.219440506329109,Not P20 Male
5 people per room or more,P20,Male,2016,COD,13446254.7091246,65860533.3342922,0.204162554239801,P20 Male
5 people per room or more,Not P20,Female,2016,COD,3174363.68476173,14047718.9285477,0.225970045450639,Not P20 Female
5 people per room or more,P20,Female,2016,COD,12800776.1419424,63869576.113011,0.200420558910437,P20 Female
5 people per room or more,Not P20,Male,2017,COD,2880613.56303973,13308422.9433234,0.216450407032254,Not P20 Male
5 people per room or more,P20,Male,2017,COD,14023481.5006593,68606642.5314628,0.204404136148014,P20 Male
5 people per room or more,Not P20,Female,2017,COD,3188024.78625007,13879659.7499641,0.229690413430942,Not P20 Female
5 people per room or more,P20,Female,2017,COD,13388805.0691409,66388111.1858347,0.201674740100117,P20 Female
5 people per room or more,Not P20,Male,2018,COD,2866535.44547899,13363746.9560059,0.214500877255142,Not P20 Male
5 people per room or more,P20,Male,2018,COD,14728043.1890409,71193037.7723436,0.206874768234182,P20 Male
5 people per room or more,Not P20,Female,2018,COD,3226654.69922556,13824581.0027148,0.233399818670231,Not P20 Female
5 people per room or more,P20,Female,2018,COD,13879496.1856709,69122227.3618007,0.200796425627643,P20 Female
5 people per room or more,Not P20,Male,2000,COG,229384.857594281,1389734.46223731,0.165056608889872,Not P20 Male
5 people per room or more,P20,Male,2000,COG,368144.121607603,1690601.15431616,0.217759298618554,P20 Male
5 people per room or more,Not P20,Female,2000,COG,253270.584320458,1448735.10127693,0.174821873299834,Not P20 Female
5 people per room or more,P20,Female,2000,COG,366060.648356099,1725751.2821696,0.212116689199785,P20 Female
5 people per room or more,Not P20,Male,2001,COG,210660.730385626,1409311.82642741,0.149477728374457,Not P20 Male
5 people per room or more,P20,Male,2001,COG,380749.3105304,1745961.67101965,0.218074266377246,P20 Male
5 people per room or more,Not P20,Female,2001,COG,251934.02855946,1498451.14229589,0.168129624949569,Not P20 Female
5 people per room or more,P20,Female,2001,COG,378534.217317267,1782141.36025706,0.212404148042817,P20 Female
5 people per room or more,Not P20,Male,2002,COG,227129.54459349,1454424.5737849,0.15616454004378,Not P20 Male
5 people per room or more,P20,Male,2002,COG,390947.343011632,1793013.43556331,0.218039271350361,P20 Male
5 people per room or more,Not P20,Female,2002,COG,254087.374052642,1542901.35676484,0.164681541654363,Not P20 Female
5 people per room or more,P20,Female,2002,COG,388695.72479317,1830434.63388694,0.212351600869664,P20 Female
5 people per room or more,Not P20,Male,2003,COG,208743.743966198,1426603.90627841,0.146322145234236,Not P20 Male
5 people per room or more,P20,Male,2003,COG,412891.57977255,1904508.62245325,0.216796907561749,P20 Male
5 people per room or more,Not P20,Female,2003,COG,243214.019830611,1531727.21150152,0.158784160785518,Not P20 Female
5 people per room or more,P20,Female,2003,COG,415904.490869253,1951004.25976682,0.213174568321527,P20 Female
5 people per room or more,Not P20,Male,2004,COG,201116.888844567,1431733.27481379,0.140470918978064,Not P20 Male
5 people per room or more,P20,Male,2004,COG,433125.041181745,1999818.4410543,0.216582181807166,P20 Male
5 people per room or more,Not P20,Female,2004,COG,233529.979211906,1559024.21612485,0.1497924001414,Not P20 Female
5 people per room or more,P20,Female,2004,COG,442589.481885389,2030360.06800706,0.217985710445843,P20 Female
5 people per room or more,Not P20,Male,2005,COG,199681.330416299,1421620.51992329,0.140460360284525,Not P20 Male
5 people per room or more,P20,Male,2005,COG,462471.668242896,2133878.43743078,0.216728216626866,P20 Male
5 people per room or more,Not P20,Female,2005,COG,235236.718720859,1528005.88694246,0.15395013902176,Not P20 Female
5 people per room or more,P20,Female,2005,COG,439191.998975562,2162045.15570347,0.203137292399733,P20 Female
5 people per room or more,Not P20,Male,2006,COG,129305.599551843,968178.701118918,0.133555509331495,Not P20 Male
5 people per room or more,P20,Male,2006,COG,221445.058155211,1317691.45128942,0.168055319732489,P20 Male
5 people per room or more,Not P20,Female,2006,COG,136762.072113578,997984.942221283,0.137038212028708,Not P20 Female
5 people per room or more,P20,Female,2006,COG,230214.602316357,1317270.90483569,0.174766330502891,P20 Female
5 people per room or more,Not P20,Male,2007,COG,137384.158781534,1030218.75230253,0.133354356513586,Not P20 Male
5 people per room or more,P20,Male,2007,COG,239161.124014836,1357344.76852973,0.176197771973508,P20 Male
5 people per room or more,Not P20,Female,2007,COG,146734.992538,1069060.1421533,0.137256068907822,Not P20 Female
5 people per room or more,P20,Female,2007,COG,238303.703735083,1347284.71881119,0.17687701820396,P20 Female
5 people per room or more,Not P20,Male,2008,COG,147676.320451287,1110796.85727399,0.132946289399577,Not P20 Male
5 people per room or more,P20,Male,2008,COG,255824.116370339,1389207.53591611,0.184151114758845,P20 Male
5 people per room or more,Not P20,Female,2008,COG,160583.413759182,1148412.84186297,0.139830736739832,Not P20 Female
5 people per room or more,P20,Female,2008,COG,243425.35327547,1377070.81330075,0.176770396209324,P20 Female
5 people per room or more,Not P20,Male,2009,COG,175180.833667477,1259883.79655544,0.139045231112923,Not P20 Male
5 people per room or more,P20,Male,2009,COG,247559.158872379,1365376.62010139,0.181311994967364,P20 Male
5 people per room or more,Not P20,Female,2009,COG,184005.045688018,1281366.05872259,0.14360068649817,Not P20 Female
5 people per room or more,P20,Female,2009,COG,235333.717394534,1344816.18233437,0.174993222483413,P20 Female
5 people per room or more,Not P20,Male,2010,COG,206664.16991982,1428043.92917784,0.144718356135445,Not P20 Male
5 people per room or more,P20,Male,2010,COG,240223.5269685,1326813.5721728,0.181052961777523,P20 Male
5 people per room or more,Not P20,Female,2010,COG,209922.888076966,1446622.87727914,0.145112379580085,Not P20 Female
5 people per room or more,P20,Female,2010,COG,224900.119112449,1304731.66389893,0.172372699563664,P20 Female
5 people per room or more,Not P20,Male,2011,COG,203439.866929148,1441356.24759295,0.141144749793044,Not P20 Male
5 people per room or more,P20,Male,2011,COG,271155.178045729,1431775.06958882,0.189383921961709,P20 Male
5 people per room or more,Not P20,Female,2011,COG,205306.062185371,1469768.48443322,0.139685987527853,Not P20 Female
5 people per room or more,P20,Female,2011,COG,250345.004804455,1398197.54588038,0.179048379495492,P20 Female
5 people per room or more,Not P20,Male,2012,COG,314270.938830983,2383411.75100605,0.131857593929512,Not P20 Male
5 people per room or more,P20,Male,2012,COG,381803.88716648,2175384.72378762,0.175510971917515,P20 Male
5 people per room or more,Not P20,Female,2012,COG,325939.778942314,2338205.52489518,0.139397403466886,Not P20 Female
5 people per room or more,P20,Female,2012,COG,345322.596919163,2123394.00031116,0.162627659712969,P20 Female
5 people per room or more,Not P20,Male,2013,COG,295444.804840925,2265470.4643434,0.13041211946524,Not P20 Male
5 people per room or more,P20,Male,2013,COG,428815.046202157,2397198.70767668,0.178881727588514,P20 Male
5 people per room or more,Not P20,Female,2013,COG,332882.834107207,2278355.24909413,0.146106641727431,Not P20 Female
5 people per room or more,P20,Female,2013,COG,380348.98989576,2304497.5788858,0.165046382942895,P20 Female
5 people per room or more,Not P20,Male,2014,COG,298001.970034095,2275336.17289573,0.130970523645673,Not P20 Male
5 people per room or more,P20,Male,2014,COG,455386.342062146,2516546.01030027,0.180956890991955,P20 Male
5 people per room or more,Not P20,Female,2014,COG,336340.110529833,2300542.6021839,0.146200339959167,Not P20 Female
5 people per room or more,P20,Female,2014,COG,403519.695751992,2381523.2146201,0.169437649515569,P20 Female
5 people per room or more,Not P20,Male,2015,COG,303455.161637725,2298491.14627071,0.132023637389284,Not P20 Male
5 people per room or more,P20,Male,2015,COG,471781.980658643,2598361.24733657,0.181569049008193,P20 Male
5 people per room or more,Not P20,Female,2015,COG,337197.970544362,2316038.77872895,0.14559254086817,Not P20 Female
5 people per room or more,P20,Female,2015,COG,428281.954755549,2499298.82766378,0.171360843295351,P20 Female
5 people per room or more,Not P20,Male,2016,COG,295488.376998397,2223067.15308516,0.132919231246937,Not P20 Male
5 people per room or more,P20,Male,2016,COG,482563.468050267,2799599.37496118,0.172368758318128,P20 Male
5 people per room or more,Not P20,Female,2016,COG,315014.612621371,2216037.44225016,0.142152206734154,Not P20 Female
5 people per room or more,P20,Female,2016,COG,445771.123300707,2723294.02970349,0.163688209366523,P20 Female
5 people per room or more,Not P20,Male,2017,COG,301353.961122443,2139926.07647011,0.140824472600258,Not P20 Male
5 people per room or more,P20,Male,2017,COG,533434.762912314,3035514.02040194,0.17573127955498,P20 Male
5 people per room or more,Not P20,Female,2017,COG,300543.617240739,2138711.23697832,0.140525570747625,Not P20 Female
5 people per room or more,P20,Female,2017,COG,516198.125202475,2907252.66614962,0.177555302025445,P20 Female
5 people per room or more,Not P20,Male,2018,COG,285922.88819105,2067710.4684693,0.138279944194854,Not P20 Male
5 people per room or more,P20,Male,2018,COG,582598.042003886,3228138.49736359,0.180474921531307,P20 Male
5 people per room or more,Not P20,Female,2018,COG,286089.268524372,2087645.1533352,0.137039222430747,Not P20 Female
5 people per room or more,P20,Female,2018,COG,566369.095444273,3105231.88083191,0.182391884786568,P20 Female
5 people per room or more,Not P20,Male,2000,COL,691411.18481323,16143204.511939,0.0428298597284006,Not P20 Male
5 people per room or more,P20,Male,2000,COL,761390.387124572,3731892.14712647,0.204022612955424,P20 Male
5 people per room or more,Not P20,Female,2000,COL,692396.603805488,15934353.8927646,0.0434530705458907,Not P20 Female
5 people per room or more,P20,Female,2000,COL,662193.008678158,3796777.50825171,0.174409221303851,P20 Female
5 people per room or more,Not P20,Male,2001,COL,720222.732469366,16656179.1893402,0.0432405730199098,Not P20 Male
5 people per room or more,P20,Male,2001,COL,755527.440669212,3532866.51539392,0.213856775334454,P20 Male
5 people per room or more,Not P20,Female,2001,COL,730037.341544433,16521938.5099202,0.044185937449537,Not P20 Female
5 people per room or more,P20,Female,2001,COL,645949.506052427,3520867.84692509,0.183463150034603,P20 Female
5 people per room or more,Not P20,Male,2002,COL,769737.932411954,17226504.616198,0.0446833498473145,Not P20 Male
5 people per room or more,P20,Male,2002,COL,728718.671477395,3273177.11390328,0.222633437213666,P20 Male
5 people per room or more,Not P20,Female,2002,COL,777882.255377482,17115953.003104,0.0454477910307661,Not P20 Female
5 people per room or more,P20,Female,2002,COL,619276.028033938,3235239.28713071,0.191415834524922,P20 Female
5 people per room or more,Not P20,Male,2003,COL,781968.95151514,17669759.1716756,0.0442546468187651,Not P20 Male
5 people per room or more,P20,Male,2003,COL,738795.084763209,3135100.07441334,0.235652791690057,P20 Male
5 people per room or more,Not P20,Female,2003,COL,796768.497537945,17537607.3664894,0.0454319954191926,Not P20 Female
5 people per room or more,P20,Female,2003,COL,621189.196322224,3116551.88646655,0.199319382109344,P20 Female
5 people per room or more,Not P20,Male,2004,COL,800326.348259008,18064322.2371516,0.0443042555237989,Not P20 Male
5 people per room or more,P20,Male,2004,COL,742143.066926596,3037478.11372146,0.24432869608971,P20 Male
5 people per room or more,Not P20,Female,2004,COL,820006.462454471,17958973.0860249,0.0456599861543627,Not P20 Female
5 people per room or more,P20,Female,2004,COL,618189.28825442,2989976.37889134,0.206753903682557,P20 Female
5 people per room or more,Not P20,Male,2005,COL,833585.784270954,18443746.5072756,0.0451961202102906,Not P20 Male
5 people per room or more,P20,Male,2005,COL,729844.168888936,2944805.12905303,0.247841244803738,P20 Male
5 people per room or more,Not P20,Female,2005,COL,837806.133904203,18347533.2980418,0.0456631482987208,Not P20 Female
5 people per room or more,P20,Female,2005,COL,619933.185286765,2886090.36946014,0.214800337455382,P20 Female
5 people per room or more,Not P20,Male,2006,COL,826608.728398369,18566795.6756286,0.0445208070816121,Not P20 Male
5 people per room or more,P20,Male,2006,COL,757100.122204868,3099182.04187381,0.244290303691588,P20 Male
5 people per room or more,Not P20,Female,2006,COL,841930.140951761,18454381.7166649,0.0456222350809766,Not P20 Female
5 people per room or more,P20,Female,2006,COL,634717.186297554,3054658.49625613,0.207786627236884,P20 Female
5 people per room or more,Not P20,Male,2007,COL,830201.027823104,18672767.1284418,0.0444605248977034,Not P20 Male
5 people per room or more,P20,Male,2007,COL,773179.827731832,3262334.0588068,0.237002040194076,P20 Male
5 people per room or more,Not P20,Female,2007,COL,840053.634085138,18527935.0187508,0.0453398413387665,Not P20 Female
5 people per room or more,P20,Female,2007,COL,654935.835738235,3248279.26812556,0.201625470496005,P20 Female
5 people per room or more,Not P20,Male,2008,COL,833607.2746735,18761766.3739966,0.0444311723137573,Not P20 Male
5 people per room or more,P20,Male,2008,COL,788743.196214291,3432849.22018018,0.229763425546809,P20 Male
5 people per room or more,Not P20,Female,2008,COL,848181.859135122,18617098.6939199,0.0455592932647517,Not P20 Female
5 people per room or more,P20,Female,2008,COL,664494.846425766,3416750.20733819,0.194481541260647,P20 Female
5 people per room or more,Not P20,Male,2009,COL,849562.779858969,19161861.2408103,0.0443361304615648,Not P20 Male
5 people per room or more,P20,Male,2009,COL,790936.874228602,3281044.81322436,0.241062502724956,P20 Male
5 people per room or more,Not P20,Female,2009,COL,864954.747402408,19016904.4927733,0.0454834669717727,Not P20 Female
5 people per room or more,P20,Female,2009,COL,664644.224428258,3263436.3764542,0.203663913665879,P20 Female
5 people per room or more,Not P20,Male,2010,COL,874006.584693134,19506633.5954847,0.0448056083288222,Not P20 Male
5 people per room or more,P20,Male,2010,COL,783819.877525347,3173312.39094453,0.247003692344341,P20 Male
5 people per room or more,Not P20,Female,2010,COL,886511.253165538,19408619.1701355,0.0456761630178016,Not P20 Female
5 people per room or more,P20,Female,2010,COL,659243.203877278,3107044.63279113,0.212176933964758,P20 Female
5 people per room or more,Not P20,Male,2011,COL,904980.466191913,19823514.5471187,0.0456518678381099,Not P20 Male
5 people per room or more,P20,Male,2011,COL,768990.656034364,3077298.95789029,0.249891436144885,P20 Male
5 people per room or more,Not P20,Female,2011,COL,907148.587216747,19745771.0218244,0.0459414112629029,Not P20 Female
5 people per room or more,P20,Female,2011,COL,653659.122222037,2989160.44586228,0.218676492634197,P20 Female
5 people per room or more,Not P20,Male,2012,COL,911328.871069383,19943183.5847262,0.0456962584332493,Not P20 Male
5 people per room or more,P20,Male,2012,COL,777809.944393178,3165132.01484908,0.245743286771015,P20 Male
5 people per room or more,Not P20,Female,2012,COL,912056.550645262,19843953.3894249,0.0459614338305849,Not P20 Female
5 people per room or more,P20,Female,2012,COL,662893.489102128,3096977.13145404,0.214045329030537,P20 Female
5 people per room or more,Not P20,Male,2013,COL,902975.808178012,20093021.2005493,0.0449397728278576,Not P20 Male
5 people per room or more,P20,Male,2013,COL,801575.217157454,3226141.61097191,0.248462502213587,P20 Male
5 people per room or more,Not P20,Female,2013,COL,913429.668973921,20000767.1795407,0.0456697316045102,Not P20 Female
5 people per room or more,P20,Female,2013,COL,675890.687960977,3149483.28155328,0.214603675440892,P20 Female
5 people per room or more,Not P20,Male,2014,COL,930865.78853278,20390580.8428294,0.0456517543912994,Not P20 Male
5 people per room or more,P20,Male,2014,COL,790986.236880794,3165268.8332251,0.249895436551232,P20 Male
5 people per room or more,Not P20,Female,2014,COL,940497.430646139,20328477.8330832,0.046265019858769,Not P20 Female
5 people per room or more,P20,Female,2014,COL,664954.348118188,3056745.05129559,0.217536738249187,P20 Female
5 people per room or more,Not P20,Male,2015,COL,975000.904129352,20723058.9065046,0.0470490823062477,Not P20 Male
5 people per room or more,P20,Male,2015,COL,767067.111598868,3109356.24781156,0.246696438254301,P20 Male
5 people per room or more,Not P20,Female,2015,COL,965203.243680072,20680965.6321551,0.046671091710503,Not P20 Female
5 people per room or more,P20,Female,2015,COL,659097.88864722,2978819.42850755,0.221261444161267,P20 Female
5 people per room or more,Not P20,Male,2016,COL,976518.77223664,20976231.8886844,0.0465535839524839,Not P20 Male
5 people per room or more,P20,Male,2016,COL,789404.279228657,3182532.81689732,0.248042777449897,P20 Male
5 people per room or more,Not P20,Female,2016,COL,969658.858180735,20931541.2710997,0.0463252488491876,Not P20 Female
5 people per room or more,P20,Female,2016,COL,676884.667215949,3052229.42792954,0.221767296069585,P20 Female
5 people per room or more,Not P20,Male,2017,COL,982661.114739483,21267177.0942264,0.0462055264968031,Not P20 Male
5 people per room or more,P20,Male,2017,COL,810011.176952355,3257531.41629631,0.248657978523292,P20 Male
5 people per room or more,Not P20,Female,2017,COL,979180.358963619,21189695.7797717,0.046210213168722,Not P20 Female
5 people per room or more,P20,Female,2017,COL,692304.11064224,3157368.01033211,0.219266207922788,P20 Female
5 people per room or more,Not P20,Male,2018,COL,983969.355586563,21553812.5249814,0.0456517543912994,Not P20 Male
5 people per room or more,P20,Male,2018,COL,836110.025064079,3345839.51032921,0.249895436551232,P20 Male
5 people per room or more,Not P20,Female,2018,COL,994150.458813549,21483923.532237,0.0462741573866528,Not P20 Female
5 people per room or more,P20,Female,2018,COL,702888.33199427,3235367.87931976,0.21725144039634,P20 Female
5 people per room or more,Not P20,Male,2000,COM,33092.8006393715,240739.809494963,0.137462934397079,Not P20 Male
5 people per room or more,P20,Male,2000,COM,6222.65020288995,35476.5967228208,0.175401554199452,P20 Male
5 people per room or more,Not P20,Female,2000,COM,30540.4741333366,231477.234762055,0.131937268754443,Not P20 Female
5 people per room or more,P20,Female,2000,COM,9136.13849456987,34279.1700356379,0.266521578120812,P20 Female
5 people per room or more,Not P20,Male,2001,COM,34085.3603630063,247327.801160071,0.137814512574533,Not P20 Male
5 people per room or more,P20,Male,2001,COM,6210.95246747803,35779.7933203014,0.173588271231124,P20 Male
5 people per room or more,Not P20,Female,2001,COM,31469.3571090855,237834.138972385,0.13231640018147,Not P20 Female
5 people per room or more,P20,Female,2001,COM,9197.1279561052,34552.4926193152,0.266178421841668,P20 Female
5 people per room or more,Not P20,Male,2002,COM,34918.7191199747,253836.011340079,0.137564086890698,Not P20 Male
5 people per room or more,P20,Male,2002,COM,6362.80509783791,36193.3287375769,0.175800494725755,P20 Male
5 people per room or more,Not P20,Female,2002,COM,32238.7567587804,244110.236995281,0.132066385890255,Not P20 Female
5 people per room or more,P20,Female,2002,COM,9421.99009749236,34936.0215535815,0.269692703361825,P20 Female
5 people per room or more,Not P20,Male,2003,COM,35213.302707557,257244.659647725,0.136886428490989,Not P20 Male
5 people per room or more,P20,Male,2003,COM,7063.65398548121,39778.235763747,0.177575848950015,P20 Male
5 people per room or more,Not P20,Female,2003,COM,31240.0247957851,244416.130570858,0.127814906171786,Not P20 Female
5 people per room or more,P20,Female,2003,COM,11425.2988329944,41358.845318579,0.276248012849187,P20 Female
5 people per room or more,Not P20,Male,2004,COM,34680.3125636148,259631.828591615,0.133574965564661,Not P20 Male
5 people per room or more,P20,Male,2004,COM,8612.73625039906,44529.7694934746,0.193415244416686,P20 Male
5 people per room or more,Not P20,Female,2004,COM,30368.6593125202,246310.92550018,0.123294000259433,Not P20 Female
5 people per room or more,P20,Female,2004,COM,13322.0905193051,46332.4185048147,0.287532810701879,P20 Female
5 people per room or more,Not P20,Male,2005,COM,33165.8745292299,259123.678050269,0.127992450472997,Not P20 Male
5 people per room or more,P20,Male,2005,COM,11170.9575800632,52371.1710726598,0.213303566661982,P20 Male
5 people per room or more,Not P20,Female,2005,COM,28947.5764904185,247613.999582097,0.116906057570549,Not P20 Female
5 people per room or more,P20,Female,2005,COM,15796.545096965,52084.8935772023,0.303284580461908,P20 Female
5 people per room or more,Not P20,Male,2006,COM,32621.0390231662,260981.656699955,0.124993608499734,Not P20 Male
5 people per room or more,P20,Male,2006,COM,12788.499885456,58049.649736535,0.22030279154996,P20 Male
5 people per room or more,Not P20,Female,2006,COM,27634.3395882976,249551.829018029,0.11073587277255,Not P20 Female
5 people per room or more,P20,Female,2006,COM,18192.3429573988,57398.124380553,0.316950129533545,P20 Female
5 people per room or more,Not P20,Male,2007,COM,30237.3706874318,261868.581473929,0.115467730100498,Not P20 Male
5 people per room or more,P20,Male,2007,COM,16273.6535445994,64901.3699740193,0.250744376445581,P20 Male
5 people per room or more,Not P20,Female,2007,COM,27030.0714723324,250771.035793853,0.107787852718974,Not P20 Female
5 people per room or more,P20,Female,2007,COM,19908.2149226386,63624.5089235479,0.312901667289261,P20 Female
5 people per room or more,Not P20,Male,2008,COM,29362.8542406014,262439.358223441,0.111884339450342,Not P20 Male
5 people per room or more,P20,Male,2008,COM,18279.6661686653,72280.0838453586,0.252900456061647,P20 Male
5 people per room or more,Not P20,Female,2008,COM,27687.6450916268,253235.384526463,0.109335609410988,Not P20 Female
5 people per room or more,P20,Female,2008,COM,20392.5316938232,68808.6126355217,0.296365976768667,P20 Female
5 people per room or more,Not P20,Male,2009,COM,29056.4188034668,262879.470371011,0.110531334997208,Not P20 Male
5 people per room or more,P20,Male,2009,COM,19747.6086368616,80000.3079280346,0.246844157832815,P20 Male
5 people per room or more,Not P20,Female,2009,COM,28089.723852589,252759.856623461,0.111132061189742,Not P20 Female
5 people per room or more,P20,Female,2009,COM,21162.6298645443,77135.4541088728,0.274356715845276,P20 Female
5 people per room or more,Not P20,Male,2010,COM,28475.144923198,261180.568079497,0.109024745342199,Not P20 Male
5 people per room or more,P20,Male,2010,COM,21520.6178719738,90071.919925923,0.238927047293682,P20 Male
5 people per room or more,Not P20,Female,2010,COM,27764.2344699034,253957.741108891,0.109326198715867,Not P20 Female
5 people per room or more,P20,Female,2010,COM,22690.8021878074,83993.2143277131,0.270150420714649,P20 Female
5 people per room or more,Not P20,Male,2011,COM,26621.3672169029,254726.409115046,0.104509647466036,Not P20 Male
5 people per room or more,P20,Male,2011,COM,24597.8090565956,105121.347851109,0.233994422250324,P20 Male
5 people per room or more,Not P20,Female,2011,COM,26645.5638678103,249042.498964789,0.106992035409899,Not P20 Female
5 people per room or more,P20,Female,2011,COM,25044.1248573047,97178.2323643921,0.257713319618698,P20 Female
5 people per room or more,Not P20,Male,2012,COM,26288.4835833082,255985.427359492,0.102695234859561,Not P20 Male
5 people per room or more,P20,Male,2012,COM,26184.9144121793,112674.04635482,0.23239526101442,P20 Male
5 people per room or more,Not P20,Female,2012,COM,25616.6048963819,251217.108644074,0.101969985382945,Not P20 Female
5 people per room or more,P20,Female,2012,COM,27338.8271522047,103481.649733361,0.264190097690248,P20 Female
5 people per room or more,Not P20,Male,2013,COM,24757.5430839729,254381.733013495,0.0973243746344771,Not P20 Male
5 people per room or more,P20,Male,2013,COM,28994.1433085528,123258.541367619,0.235230297120568,P20 Male
5 people per room or more,Not P20,Female,2013,COM,23924.3717946092,245364.968824813,0.0975052466095554,Not P20 Female
5 people per room or more,P20,Female,2013,COM,30321.0913351296,117974.497503663,0.257013947732121,P20 Female
5 people per room or more,Not P20,Male,2014,COM,24963.0323054699,255998.812610945,0.0975122972285326,Not P20 Male
5 people per room or more,P20,Male,2014,COM,30085.1374703511,130750.093953777,0.230096488351181,P20 Male
5 people per room or more,Not P20,Female,2014,COM,24427.9863414386,245567.024884107,0.0994758410782847,Not P20 Female
5 people per room or more,P20,Female,2014,COM,31125.8699995063,126536.140077938,0.245984032548605,P20 Female
5 people per room or more,Not P20,Male,2015,COM,25125.0704890389,256244.2518802,0.0980512550220459,Not P20 Male
5 people per room or more,P20,Male,2015,COM,31230.3836778554,139689.170915955,0.223570542176425,P20 Male
5 people per room or more,Not P20,Female,2015,COM,23310.4165168633,244078.968965856,0.0955035848259593,Not P20 Female
5 people per room or more,P20,Female,2015,COM,33562.7332638854,136860.905034924,0.245232436942609,P20 Female
