sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Male,2005,AFG,204799.547941191,1421406.0137907,0.144082370522001,Not P20 Male
5 people per room or more,P20,Male,2005,AFG,2540407.78761286,11499606.2898258,0.220912588099687,P20 Male
5 people per room or more,Not P20,Female,2005,AFG,215838.780005625,1383564.77968175,0.156001932959924,Not P20 Female
5 people per room or more,P20,Female,2005,AFG,2400592.13438151,10939806.5127255,0.219436434418568,P20 Female
5 people per room or more,Not P20,Male,2006,AFG,290111.387806876,1907475.90470894,0.152091770643438,Not P20 Male
5 people per room or more,P20,Male,2006,AFG,2538430.61381958,11405772.07149,0.222556666739349,P20 Male
5 people per room or more,Not P20,Female,2006,AFG,384718.884994947,1823445.83493495,0.210984542356133,Not P20 Female
5 people per room or more,P20,Female,2006,AFG,2311137.50437474,10874018.8886819,0.212537565736645,P20 Female
5 people per room or more,Not P20,Male,2007,AFG,391555.637451024,2480141.08700096,0.157876356108636,Not P20 Male
5 people per room or more,P20,Male,2007,AFG,2508412.66898952,11169292.849126,0.224581153245149,P20 Male
5 people per room or more,Not P20,Female,2007,AFG,471832.821753314,2420083.61659859,0.194965503884726,Not P20 Female
5 people per room or more,P20,Female,2007,AFG,2292099.29712345,10598017.3164836,0.216276236269065,P20 Female
5 people per room or more,Not P20,Male,2008,AFG,568685.393470427,3210416.74619929,0.177137561390955,Not P20 Male
5 people per room or more,P20,Male,2008,AFG,2397813.93268302,10752162.2530161,0.223007603146095,P20 Male
5 people per room or more,Not P20,Female,2008,AFG,646416.215950579,3154173.97753024,0.20493993690758,Not P20 Female
5 people per room or more,P20,Female,2008,AFG,2180925.98291835,10162587.9884605,0.21460340470309,P20 Female
5 people per room or more,Not P20,Male,2009,AFG,771527.824044885,3986989.88253646,0.193511357383744,Not P20 Male
5 people per room or more,P20,Male,2009,AFG,2266938.19623258,10314318.5555025,0.219785551903785,P20 Male
5 people per room or more,Not P20,Female,2009,AFG,859156.990189334,3939178.95724806,0.218105600053659,Not P20 Female
5 people per room or more,P20,Female,2009,AFG,2036775.97808109,9700645.05250565,0.20996294236691,P20 Female
5 people per room or more,Not P20,Male,2010,AFG,976728.382868558,4988252.32104496,0.195805729142416,Not P20 Male
5 people per room or more,P20,Male,2010,AFG,2146348.05028386,9711296.41440707,0.22101560478575,P20 Male
5 people per room or more,Not P20,Female,2010,AFG,1020275.02367893,4888951.97677356,0.208689925474019,Not P20 Female
5 people per room or more,P20,Female,2010,AFG,1956299.32167729,9130692.35458495,0.214255310080066,P20 Female
5 people per room or more,Not P20,Male,2011,AFG,971293.742434574,5061193.18039369,0.191910031452113,Not P20 Male
5 people per room or more,P20,Male,2011,AFG,2251503.88680717,10107718.573623,0.222750947249627,P20 Male
5 people per room or more,Not P20,Female,2011,AFG,1026308.09052321,4943884.93791358,0.207591419179818,Not P20 Female
5 people per room or more,P20,Female,2011,AFG,2045309.57520033,9523412.76709573,0.214766452449385,P20 Female
5 people per room or more,Not P20,Male,2012,AFG,1221292.31865695,6104337.83792161,0.200069581842274,Not P20 Male
5 people per room or more,P20,Male,2012,AFG,2113217.4779418,9590375.47220673,0.22034773133398,P20 Male
5 people per room or more,Not P20,Female,2012,AFG,1226410.25267383,5946214.5108315,0.206250590260379,Not P20 Female
5 people per room or more,P20,Female,2012,AFG,1951679.21370409,9022564.62998418,0.216310915326467,P20 Female
5 people per room or more,Not P20,Male,2013,AFG,1232232.06658914,6202967.11860924,0.198652039101155,Not P20 Male
5 people per room or more,P20,Male,2013,AFG,2220865.14749778,10049907.8504124,0.220983632940142,P20 Male
5 people per room or more,Not P20,Female,2013,AFG,1244271.944314,6045592.82109276,0.20581471182988,Not P20 Female
5 people per room or more,P20,Female,2013,AFG,2046842.05800877,9455531.09287998,0.216470342903324,P20 Female
5 people per room or more,Not P20,Male,2014,AFG,1234484.82783555,6236556.27786291,0.197943347712173,Not P20 Male
5 people per room or more,P20,Male,2014,AFG,2336449.89318828,10570950.7064677,0.221025521551127,P20 Male
5 people per room or more,Not P20,Female,2014,AFG,1257514.04783028,6121203.54303237,0.205435751154147,Not P20 Female
5 people per room or more,P20,Female,2014,AFG,2145909.75784722,9908898.75860084,0.216563899796088,P20 Female
5 people per room or more,Not P20,Male,2015,AFG,1225592.73556667,6236271.69036042,0.196526513984486,Not P20 Male
5 people per room or more,P20,Male,2015,AFG,2456930.66583127,11096455.6273798,0.221415805941579,P20 Male
5 people per room or more,Not P20,Female,2015,AFG,1253043.92311039,6126979.36759788,0.204512509008441,Not P20 Female
5 people per room or more,P20,Female,2015,AFG,2256733.98895651,10404050.0306775,0.216909182703109,P20 Female
5 people per room or more,Not P20,Male,2016,AFG,1247015.29447359,6373184.18427643,0.195665974561062,Not P20 Male
5 people per room or more,P20,Male,2016,AFG,2539254.82884533,11447853.3069941,0.22181056664082,P20 Male
5 people per room or more,Not P20,Female,2016,AFG,1280002.07828507,6263216.39104794,0.204368170979145,Not P20 Female
5 people per room or more,P20,Female,2016,AFG,2328655.84440427,10733537.165124,0.216951393429806,P20 Female
5 people per room or more,Not P20,Male,2017,AFG,1271942.91869527,6499297.40505166,0.195704679971505,Not P20 Male
5 people per room or more,P20,Male,2017,AFG,2612054.41766327,11781717.919488,0.221704036330958,P20 Male
5 people per room or more,Not P20,Female,2017,AFG,1303774.6473376,6391081.6079414,0.203999061084991,Not P20 Female
5 people per room or more,P20,Female,2017,AFG,2398026.14950267,11044374.2335049,0.217126484380426,P20 Female
5 people per room or more,Not P20,Male,2018,AFG,1293754.97613909,6616203.31474721,0.195543412829435,Not P20 Male
5 people per room or more,P20,Male,2018,AFG,2683979.68101951,12106010.4066054,0.221706374839645,P20 Male
5 people per room or more,Not P20,Female,2018,AFG,1329087.29098583,6498292.680827,0.204528690267716,Not P20 Female
5 people per room or more,P20,Female,2018,AFG,2462053.65178685,11357954.6226024,0.216769104437814,P20 Female
5 people per room or more,Not P20,Male,2000,AGO,1132669.8256825,5857827.436918,0.193360053344016,Not P20 Male
5 people per room or more,P20,Male,2000,AGO,628679.088630838,2276617.48874461,0.276146121049746,P20 Male
5 people per room or more,Not P20,Female,2000,AGO,1177821.57632229,5995125.01455737,0.196463221944881,Not P20 Female
5 people per room or more,P20,Female,2000,AGO,621424.880810911,2265903.05978001,0.274250426614121,P20 Female
5 people per room or more,Not P20,Male,2001,AGO,1148876.07435276,5959885.68328783,0.192768139424945,Not P20 Male
5 people per room or more,P20,Male,2001,AGO,671588.858179045,2447574.99213044,0.274389491777931,P20 Male
5 people per room or more,Not P20,Female,2001,AGO,1198046.82694674,6105463.73377858,0.196225361280671,Not P20 Female
5 people per room or more,P20,Female,2001,AGO,661587.600721455,2432828.59080312,0.271941723811727,P20 Female
5 people per room or more,Not P20,Male,2002,AGO,1170327.91909266,6078194.86783274,0.192545310662268,Not P20 Male
5 people per room or more,P20,Male,2002,AGO,711765.150887858,2613883.28790069,0.272301810177418,P20 Male
5 people per room or more,Not P20,Female,2002,AGO,1209626.25074242,6209404.1833297,0.19480552642875,Not P20 Female
5 people per room or more,P20,Female,2002,AGO,712962.317961218,2617934.66093686,0.272337705214566,P20 Female
5 people per room or more,Not P20,Male,2003,AGO,1180209.83195706,6154723.05925676,0.191756772903374,Not P20 Male
5 people per room or more,P20,Male,2003,AGO,766562.143599972,2836061.95176742,0.270291043227125,P20 Male
5 people per room or more,Not P20,Female,2003,AGO,1220286.87160436,6290465.66603394,0.19398991050749,Not P20 Female
5 people per room or more,P20,Female,2003,AGO,768372.247212378,2840228.32294186,0.270531858655825,P20 Female
5 people per room or more,Not P20,Male,2004,AGO,1182039.04192839,6232661.23400537,0.189652380828784,Not P20 Male
5 people per room or more,P20,Male,2004,AGO,833129.31157274,3073999.05021415,0.271024583275229,P20 Male
5 people per room or more,Not P20,Female,2004,AGO,1216577.40111533,6368986.9723779,0.191015840728139,Not P20 Female
5 people per room or more,P20,Female,2004,AGO,841949.726076479,3082497.74340257,0.273138797223289,P20 Female
5 people per room or more,Not P20,Male,2005,AGO,1185946.61201678,6301801.48372525,0.188191680597929,Not P20 Male
5 people per room or more,P20,Male,2005,AGO,901785.396928466,3339979.82848493,0.269997258437794,P20 Male
5 people per room or more,Not P20,Female,2005,AGO,1224281.41337824,6454472.39859808,0.189679548965792,Not P20 Female
5 people per room or more,P20,Female,2005,AGO,908370.663682099,3337348.2891917,0.272183357854479,P20 Female
5 people per room or more,Not P20,Male,2006,AGO,1243707.53599355,6590539.02765712,0.18871104939586,Not P20 Male
5 people per room or more,P20,Male,2006,AGO,920975.742730482,3406626.64984753,0.270348305638865,P20 Male
5 people per room or more,Not P20,Female,2006,AGO,1282904.7941055,6754142.945854,0.189943387990182,Not P20 Female
5 people per room or more,P20,Female,2006,AGO,928354.251963794,3398592.37664139,0.273158457702782,P20 Female
5 people per room or more,Not P20,Male,2007,AGO,1306254.1952261,6901919.09941496,0.18925956337808,Not P20 Male
5 people per room or more,P20,Male,2007,AGO,939587.594356683,3470061.26214492,0.270769742484576,P20 Male
5 people per room or more,Not P20,Female,2007,AGO,1349392.53465348,7066845.18352633,0.190946950104282,Not P20 Female
5 people per room or more,P20,Female,2007,AGO,944771.245362714,3466537.45491383,0.272540325223804,P20 Female
