handwashing,p20,urban,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Rural,2009,COM,113558.627273458,162189.111872272,0.700161841707898,Not P20 Rural
no soap and water,Not P20,Urban,2009,COM,69399.2397374994,97801.5768279493,0.70959223755242,Not P20 Urban
no soap and water,P20,Rural,2009,COM,42203.484988883,62310.8251978096,0.677305826955515,P20 Rural
no soap and water,P20,Urban,2009,COM,9411.21192507249,12818.7738841526,0.734174111356098,P20 Urban
no soap and water,Not P20,Rural,2010,COM,112666.097752732,161406.419727103,0.698027364358999,Not P20 Rural
no soap and water,Not P20,Urban,2010,COM,70571.5695314807,99349.7646298568,0.710334541751621,Not P20 Urban
no soap and water,P20,Rural,2010,COM,46899.5370028109,68575.5344263773,0.683910630739047,P20 Rural
no soap and water,P20,Urban,2010,COM,10163.3380930975,13971.8013266216,0.727417879449266,P20 Urban
no soap and water,Not P20,Rural,2011,COM,111300.338465478,160486.075597379,0.693520220063852,Not P20 Rural
no soap and water,Not P20,Urban,2011,COM,70640.1812848057,100057.33607328,0.705997021878236,Not P20 Urban
no soap and water,P20,Rural,2011,COM,52169.9221488091,75123.6159232857,0.694454353769176,P20 Rural
no soap and water,P20,Urban,2011,COM,12070.3372443211,16037.2475035958,0.752643946014726,P20 Urban
no soap and water,Not P20,Rural,2012,COM,110464.369456412,160110.888630253,0.689924154449665,Not P20 Rural
no soap and water,Not P20,Urban,2012,COM,70749.5874254518,100887.090279225,0.701274932497687,Not P20 Urban
no soap and water,P20,Rural,2012,COM,57008.8440883729,81268.2590690592,0.701489668185566,P20 Rural
no soap and water,P20,Urban,2012,COM,13986.2922383852,18050.3416041108,0.774849171563596,P20 Urban
no soap and water,Not P20,Rural,2013,COM,105777.248454158,156395.022040596,0.676346645014708,Not P20 Rural
no soap and water,Not P20,Urban,2013,COM,70558.619545558,101006.931010856,0.698552256161258,Not P20 Urban
no soap and water,P20,Rural,2013,COM,65775.7288159983,90864.2892383177,0.723889763155276,P20 Rural
no soap and water,P20,Urban,2013,COM,16241.4849621975,20827.899267817,0.779794676042708,P20 Urban
no soap and water,Not P20,Rural,2014,COM,105647.729658958,156354.103494599,0.675695279482109,Not P20 Rural
no soap and water,Not P20,Urban,2014,COM,72023.8007731501,103136.39066472,0.698335478960942,Not P20 Urban
no soap and water,P20,Rural,2014,COM,70043.0821483587,96869.0688266855,0.72306963406118,P20 Rural
no soap and water,P20,Urban,2014,COM,16869.9104791603,21637.0791909403,0.779675959508617,P20 Urban
no soap and water,Not P20,Rural,2015,COM,105986.681294166,156439.667801762,0.677492369956134,Not P20 Rural
no soap and water,Not P20,Urban,2015,COM,73006.9611819462,104163.427171571,0.700888624389189,Not P20 Urban
no soap and water,P20,Rural,2015,COM,73876.4373648778,102797.050509913,0.718663006364702,P20 Rural
no soap and water,P20,Urban,2015,COM,17997.7986603169,23573.1640780722,0.76348675980491,P20 Urban
no soap and water,Not P20,Rural,2016,COM,107295.383551919,158927.430467825,0.675121866855081,Not P20 Rural
no soap and water,Not P20,Urban,2016,COM,73813.6248047721,105204.811476306,0.701618336357134,Not P20 Urban
no soap and water,P20,Rural,2016,COM,76771.043906181,106367.516941853,0.721752712796225,P20 Rural
no soap and water,P20,Urban,2016,COM,19317.8695823651,25516.9183718671,0.757061228979102,P20 Urban
no soap and water,Not P20,Rural,2017,COM,109475.788381146,162295.462194458,0.674546206658417,Not P20 Rural
no soap and water,Not P20,Urban,2017,COM,75092.7031791243,107125.376792797,0.700979594446323,Not P20 Urban
no soap and water,P20,Rural,2017,COM,78824.4871077071,109101.730508784,0.722486130514318,P20 Rural
no soap and water,P20,Urban,2017,COM,20180.9775890784,26603.1802434601,0.758592672168942,P20 Urban
no soap and water,Not P20,Rural,2018,COM,109324.569876464,162864.437426106,0.671261151938502,Not P20 Rural
no soap and water,Not P20,Urban,2018,COM,76650.2432137571,109204.136293502,0.70189871753345,Not P20 Urban
no soap and water,P20,Rural,2018,COM,83239.6301592086,114678.349854206,0.7258530512955,P20 Rural
no soap and water,P20,Urban,2018,COM,20780.8416529722,27552.6079053985,0.754224127324822,P20 Urban
no soap and water,Not P20,Rural,2000,EGY,6044125.32646666,45139974.2151802,0.133897403167636,Not P20 Rural
no soap and water,Not P20,Urban,2000,EGY,1099483.10233035,20942886.1325513,0.052499120482799,Not P20 Urban
no soap and water,P20,Rural,2000,EGY,146546.381721046,393517.237181619,0.372401429656843,P20 Rural
no soap and water,P20,Urban,2000,EGY,22263.0426367911,114604.0243996,0.194260565921878,P20 Urban
no soap and water,Not P20,Rural,2001,EGY,6127604.0336787,45923152.6645897,0.133431693560611,Not P20 Rural
no soap and water,Not P20,Urban,2001,EGY,1120585.73468949,21333450.2142181,0.0525271685281669,Not P20 Urban
no soap and water,P20,Rural,2001,EGY,181886.662119731,484273.57413722,0.375586593680606,P20 Rural
no soap and water,P20,Urban,2001,EGY,22690.3423405921,128201.2001878,0.176990092973805,P20 Urban
no soap and water,Not P20,Rural,2002,EGY,6226827.27677465,46642314.6388905,0.133501678143192,Not P20 Rural
no soap and water,Not P20,Urban,2002,EGY,1141868.58043011,21731170.1427933,0.0525451953542772,Not P20 Urban
no soap and water,P20,Rural,2002,EGY,202497.103340474,646509.660942116,0.31321589695255,P20 Rural
no soap and water,P20,Urban,2002,EGY,23121.2911211158,138094.006856173,0.167431531950529,P20 Urban
no soap and water,Not P20,Rural,2003,EGY,6223696.295259,47211277.6990859,0.131826474490427,Not P20 Rural
no soap and water,Not P20,Urban,2003,EGY,1163289.94863521,22137641.6676422,0.0525480521412336,Not P20 Urban
no soap and water,P20,Rural,2003,EGY,326241.72395334,964681.367981631,0.338185990505782,P20 Rural
no soap and water,P20,Urban,2003,EGY,23555.0447937986,141888.223400823,0.166011274432957,P20 Urban
no soap and water,Not P20,Rural,2004,EGY,6157544.53388118,47535372.0189205,0.129536054360326,Not P20 Rural
no soap and water,Not P20,Urban,2004,EGY,1184789.93856195,22546433.3768809,0.0525488851720926,Not P20 Urban
no soap and water,P20,Rural,2004,EGY,513449.806327566,1530977.81948357,0.335373772103871,P20 Rural
no soap and water,P20,Urban,2004,EGY,23990.3904497848,144868.032339501,0.165601686323473,P20 Urban
no soap and water,Not P20,Rural,2005,EGY,6144403.05435481,47842127.5937364,0.128430806976888,Not P20 Rural
no soap and water,Not P20,Urban,2005,EGY,1204473.45341488,22937561.7212424,0.0525109629372429,Not P20 Urban
no soap and water,P20,Rural,2005,EGY,648144.072531684,2118264.60938891,0.305978804375466,P20 Rural
no soap and water,P20,Urban,2005,EGY,26332.1704748667,167199.927782287,0.157489125887387,P20 Urban
no soap and water,Not P20,Rural,2006,EGY,6193972.27196311,48402665.8470386,0.127967585329643,Not P20 Rural
no soap and water,Not P20,Urban,2006,EGY,1226005.17396446,23346010.8650778,0.0525145465343025,Not P20 Urban
no soap and water,P20,Rural,2006,EGY,720001.546513212,2450841.26901003,0.293777306436513,P20 Rural
no soap and water,P20,Urban,2006,EGY,26802.8964460545,171782.112932117,0.156028447831738,P20 Urban
no soap and water,Not P20,Rural,2007,EGY,6229665.00351887,48933194.5673621,0.127309591343828,Not P20 Rural
no soap and water,Not P20,Urban,2007,EGY,1247670.36593845,23755299.1976187,0.0525217702188959,Not P20 Urban
no soap and water,P20,Rural,2007,EGY,806488.209679006,2818963.72701512,0.286093858516215,P20 Rural
no soap and water,P20,Urban,2007,EGY,27276.540366402,178085.41939359,0.153165489119115,P20 Urban
no soap and water,Not P20,Rural,2008,EGY,6238199.17852877,49518726.6062047,0.125976566969053,Not P20 Rural
no soap and water,Not P20,Urban,2008,EGY,1260297.79658029,24158549.3740398,0.0521677761800786,Not P20 Urban
no soap and water,P20,Rural,2008,EGY,924224.774289929,3162175.43589919,0.292274983796754,P20 Rural
no soap and water,P20,Urban,2008,EGY,37529.2949562379,204343.539004269,0.183657849614975,P20 Urban
no soap and water,Not P20,Rural,2009,EGY,6467994.0239112,50774382.6536494,0.127386955505333,Not P20 Rural
no soap and water,Not P20,Urban,2009,EGY,1293963.08507585,24636699.7853075,0.0525217702188961,Not P20 Urban
no soap and water,P20,Rural,2009,EGY,829223.869027824,2897952.79174453,0.286141261993658,P20 Rural
no soap and water,P20,Urban,2009,EGY,28288.5907097409,184692.980595264,0.153165489119115,P20 Urban
no soap and water,Not P20,Rural,2010,EGY,6684398.4181301,52138797.7246252,0.128203923178939,Not P20 Rural
no soap and water,Not P20,Urban,2010,EGY,1319902.01005107,25135741.8760062,0.0525109629372428,Not P20 Urban
no soap and water,P20,Rural,2010,EGY,759100.299691725,2609459.20448026,0.290903302258338,P20 Rural
no soap and water,P20,Urban,2010,EGY,28855.6668810302,183223.233467329,0.157489125887387,P20 Urban
no soap and water,Not P20,Rural,2011,EGY,6748134.32683809,52913020.3522787,0.127532586155753,Not P20 Rural
no soap and water,Not P20,Urban,2011,EGY,1348098.86516446,25668014.0568408,0.0525205753035333,Not P20 Urban
no soap and water,P20,Rural,2011,EGY,854378.661198398,3004814.81565463,0.284336544384437,P20 Rural
no soap and water,P20,Urban,2011,EGY,29472.1058682042,191836.046652292,0.153631741179608,P20 Urban
no soap and water,Not P20,Rural,2012,EGY,6930204.02984892,54166491.106917,0.127942642918657,Not P20 Rural
no soap and water,Not P20,Urban,2012,EGY,1378288.86058933,26242836.3098415,0.0525205753035333,Not P20 Urban
no soap and water,P20,Rural,2012,EGY,842563.409294423,3003595.82942246,0.280518237853738,P20 Rural
no soap and water,P20,Urban,2012,EGY,30132.1188422629,196132.118342888,0.153631741179608,P20 Urban
no soap and water,Not P20,Rural,2013,EGY,6854399.15326217,54513445.6381419,0.125737771168629,Not P20 Rural
no soap and water,Not P20,Urban,2013,EGY,1395190.46777712,26806325.7363778,0.052047060887713,Not P20 Urban
no soap and water,P20,Rural,2013,EGY,1096664.22187354,3968039.61815077,0.276374312609464,P20 Rural
no soap and water,P20,Urban,2013,EGY,45537.6324792127,239114.023862222,0.190443169094304,P20 Urban
no soap and water,Not P20,Rural,2014,EGY,6901591.39040351,55238801.8068861,0.12494100459549,Not P20 Rural
no soap and water,Not P20,Urban,2014,EGY,1421527.10891851,27360739.9408207,0.0519549950766381,Not P20 Urban
no soap and water,P20,Rural,2014,EGY,1231150.90263358,4578964.20297906,0.26887104769952,P20 Rural
no soap and water,P20,Urban,2014,EGY,52121.1065343926,302678.320907989,0.172199668539317,P20 Urban
no soap and water,Not P20,Rural,2015,EGY,6865877.96813539,55740735.3262311,0.123175231326817,Not P20 Rural
no soap and water,Not P20,Urban,2015,EGY,1453249.5372111,27966726.3727298,0.0519635197142041,Not P20 Urban
no soap and water,P20,Rural,2015,EGY,1448352.4812614,5411908.35213972,0.267623246186119,P20 Rural
no soap and water,P20,Urban,2015,EGY,53284.2275569846,314021.51755804,0.169683364284539,P20 Urban
no soap and water,Not P20,Rural,2016,EGY,6610191.32617633,54885920.4651247,0.120435100116004,Not P20 Rural
no soap and water,Not P20,Urban,2016,EGY,1464785.76153944,28429808.4002163,0.0515228854489324,Not P20 Urban
no soap and water,P20,Rural,2016,EGY,1884324.96921274,7592757.67516315,0.248173990245547,P20 Rural
no soap and water,P20,Urban,2016,EGY,74415.6945983092,464179.475386778,0.16031664161002,P20 Urban
no soap and water,Not P20,Rural,2017,EGY,5938029.12537031,53281498.8807647,0.111446360370954,Not P20 Rural
no soap and water,Not P20,Urban,2017,EGY,1468064.98577838,28844868.8336898,0.0508951867398938,Not P20 Urban
no soap and water,P20,Rural,2017,EGY,2735963.20133809,10517257.3904913,0.260140367374833,P20 Rural
no soap and water,P20,Urban,2017,EGY,103657.423777099,659604.453038666,0.157150885351926,P20 Urban
no soap and water,Not P20,Rural,2018,EGY,4808670.78261917,50161853.6129296,0.0958630998711679,Not P20 Rural
no soap and water,Not P20,Urban,2018,EGY,1457578.1185247,29237126.8166257,0.0498536715890923,Not P20 Urban
no soap and water,P20,Rural,2018,EGY,4043491.74475144,14947376.1725639,0.27051515249702,P20 Rural
no soap and water,P20,Urban,2018,EGY,146428.628686184,873390.115050859,0.167655468229861,P20 Urban
no soap and water,Not P20,Rural,2000,ETH,13141689.8209034,14642410.6615158,0.897508622363893,Not P20 Rural
no soap and water,Not P20,Urban,2000,ETH,3814695.51583569,5403219.05906749,0.706004230836061,Not P20 Urban
no soap and water,P20,Rural,2000,ETH,13757556.6113849,14416015.1288784,0.954324512591937,P20 Rural
no soap and water,P20,Urban,2000,ETH,374670.650774869,392093.779708156,0.955563873147245,P20 Urban
no soap and water,Not P20,Rural,2001,ETH,14248453.3655789,15815748.9715195,0.900902852671539,Not P20 Rural
no soap and water,Not P20,Urban,2001,ETH,3937064.56223771,5572885.9672657,0.70646781315165,Not P20 Urban
no soap and water,P20,Rural,2001,ETH,13436598.2347184,14091557.891353,0.953521132178263,P20 Rural
no soap and water,P20,Urban,2001,ETH,374685.166034757,391724.802974412,0.956501000676314,P20 Urban
no soap and water,Not P20,Rural,2002,ETH,15524989.3934328,17183484.0708695,0.903483212682793,Not P20 Rural
no soap and water,Not P20,Urban,2002,ETH,4067961.44676502,5751366.74570983,0.707303433535946,Not P20 Urban
no soap and water,P20,Rural,2002,ETH,12965383.9579929,13593787.0269291,0.953772773717044,P20 Rural
no soap and water,P20,Urban,2002,ETH,369211.412073777,386746.709648527,0.954659478316736,P20 Urban
no soap and water,Not P20,Rural,2003,ETH,16541247.2184459,18261951.9407549,0.905776516776997,Not P20 Rural
no soap and water,Not P20,Urban,2003,ETH,4186182.01065986,5918271.00033001,0.70733192353416,Not P20 Urban
no soap and water,P20,Rural,2003,ETH,12773061.1210421,13405390.6974114,0.952830201622441,P20 Rural
no soap and water,P20,Urban,2003,ETH,379312.857911211,397355.272223945,0.95459374626703,P20 Urban
no soap and water,Not P20,Rural,2004,ETH,17339698.9409301,19144113.3768224,0.905745729751222,Not P20 Rural
no soap and water,Not P20,Urban,2004,ETH,4308963.2477437,6090706.19732357,0.707465293538076,Not P20 Urban
no soap and water,P20,Rural,2004,ETH,12814965.4655677,13431039.9865322,0.954130542267598,P20 Rural
no soap and water,P20,Urban,2004,ETH,387411.096722696,405970.734643629,0.954283310748433,P20 Urban
no soap and water,Not P20,Rural,2005,ETH,18430635.5542799,20305337.283203,0.907674435406993,Not P20 Rural
no soap and water,Not P20,Urban,2005,ETH,4443488.80512623,6275794.95197732,0.708036008048067,Not P20 Urban
no soap and water,P20,Rural,2005,ETH,12579773.0803025,13194250.1608588,0.953428419723371,P20 Rural
no soap and water,P20,Urban,2005,ETH,386161.611791984,405247.944449495,0.95290208644133,P20 Urban
no soap and water,Not P20,Rural,2006,ETH,18513791.3175251,20440356.9514944,0.90574696721094,Not P20 Rural
no soap and water,Not P20,Urban,2006,ETH,4555621.75419386,6439357.23180274,0.707465293538076,Not P20 Urban
no soap and water,P20,Rural,2006,ETH,13367020.2054299,13999499.8716071,0.954821267046837,P20 Rural
no soap and water,P20,Urban,2006,ETH,409587.717177716,429209.766705949,0.954283310748433,P20 Urban
no soap and water,Not P20,Rural,2007,ETH,18696969.7184678,20656924.7461645,0.905118740965512,Not P20 Rural
no soap and water,Not P20,Urban,2007,ETH,4682189.86651436,6618368.59993874,0.707453777439609,Not P20 Urban
no soap and water,P20,Rural,2007,ETH,14071404.6147531,14741738.7900301,0.954528147267789,P20 Rural
no soap and water,P20,Urban,2007,ETH,421251.195003404,441419.523016735,0.954310294489248,P20 Urban
no soap and water,Not P20,Rural,2008,ETH,18947108.4733403,20924013.0404501,0.9055198176713,Not P20 Rural
no soap and water,Not P20,Urban,2008,ETH,4809472.67031462,6799456.53560249,0.70733192353416,Not P20 Urban
no soap and water,P20,Rural,2008,ETH,14731877.4018391,15458356.0423845,0.953004146200702,P20 Rural
no soap and water,P20,Urban,2008,ETH,435789.657252706,456518.449818968,0.95459374626703,P20 Urban
no soap and water,Not P20,Rural,2009,ETH,18605215.0470278,20570243.4734606,0.904472281576634,Not P20 Rural
no soap and water,Not P20,Urban,2009,ETH,4943226.91407822,6988834.8899511,0.707303433535946,Not P20 Urban
no soap and water,P20,Rural,2009,ETH,16015167.2220571,16829087.0815292,0.951636125267574,P20 Rural
no soap and water,P20,Urban,2009,ETH,448651.201106956,469959.40573284,0.954659478316736,P20 Urban
no soap and water,Not P20,Rural,2010,ETH,18144688.1909801,20144226.0074366,0.900738910707298,Not P20 Rural
no soap and water,Not P20,Urban,2010,ETH,5062310.99550518,7165664.02780832,0.70646781315165,Not P20 Urban
no soap and water,P20,Rural,2010,ETH,17452985.8912697,18310842.7333756,0.953150335317868,P20 Rural
no soap and water,P20,Urban,2010,ETH,481773.363348749,503683.073000553,0.956501000676314,P20 Urban
no soap and water,Not P20,Rural,2011,ETH,16591223.6141276,18529431.9361979,0.895398394902548,Not P20 Rural
no soap and water,Not P20,Urban,2011,ETH,5191968.50269293,7354140.19027838,0.705992593064288,Not P20 Urban
no soap and water,P20,Rural,2011,ETH,20021887.5362123,21022582.1321419,0.952399063557485,P20 Rural
no soap and water,P20,Urban,2011,ETH,510262.951771555,533977.92675522,0.955588098692071,P20 Urban
no soap and water,Not P20,Rural,2012,ETH,16179076.4312279,18125815.2442347,0.892598551470619,Not P20 Rural
no soap and water,Not P20,Urban,2012,ETH,5294936.62961771,7519163.31854944,0.704192262529441,Not P20 Urban
no soap and water,P20,Rural,2012,ETH,21484842.420818,22561353.9555644,0.952285153769288,P20 Rural
no soap and water,P20,Urban,2012,ETH,570950.644879592,595346.247036848,0.959022833722934,P20 Urban
no soap and water,Not P20,Rural,2013,ETH,14868358.3740279,16798635.1703313,0.8850932366391,Not P20 Rural
no soap and water,Not P20,Urban,2013,ETH,5442041.02903457,7730044.2545654,0.704011626559638,Not P20 Urban
no soap and water,P20,Rural,2013,ETH,23875519.7785185,25055180.733465,0.952917483713419,P20 Rural
no soap and water,P20,Urban,2013,ETH,592042.219510625,617137.330859809,0.959336261000091,P20 Urban
no soap and water,Not P20,Rural,2014,ETH,14987468.0511839,16928245.7965884,0.885352695800552,Not P20 Rural
no soap and water,Not P20,Urban,2014,ETH,5596567.13564288,7949537.94015046,0.704011626559638,Not P20 Urban
no soap and water,P20,Rural,2014,ETH,24856537.9052283,26114004.222976,0.95184705083867,P20 Rural
no soap and water,P20,Urban,2014,ETH,608853.187792676,634660.871838575,0.959336261000091,P20 Urban
no soap and water,Not P20,Rural,2015,ETH,15090444.1738361,16716685.906226,0.902717455989034,Not P20 Rural
no soap and water,Not P20,Urban,2015,ETH,5752960.98488357,8171684.62543313,0.704011626559638,Not P20 Urban
no soap and water,P20,Rural,2015,ETH,25866986.7285589,27528362.7213759,0.939648572287703,P20 Rural
no soap and water,P20,Urban,2015,ETH,625867.34867979,652396.218222101,0.959336261000091,P20 Urban
no soap and water,Not P20,Rural,2016,ETH,16091211.3695312,18187786.178829,0.884726222934257,Not P20 Rural
no soap and water,Not P20,Urban,2016,ETH,5910886.02136706,8396006.25667556,0.704011626559638,Not P20 Urban
no soap and water,P20,Rural,2016,ETH,25990545.5601959,27271837.1585769,0.953017774676101,P20 Rural
no soap and water,P20,Urban,2016,ETH,643048.088151828,670305.204018309,0.959336261000091,P20 Urban
no soap and water,Not P20,Rural,2017,ETH,17456046.9684835,19617557.4375556,0.88981755369126,Not P20 Rural
no soap and water,Not P20,Urban,2017,ETH,6075701.36707909,8627901.34224895,0.704192262529441,Not P20 Urban
no soap and water,P20,Rural,2017,ETH,25761604.0188623,27069137.1957748,0.951696532938754,P20 Rural
no soap and water,P20,Urban,2017,ETH,655140.15677277,683133.011786081,0.959022833722934,P20 Urban
no soap and water,Not P20,Rural,2018,ETH,19057588.8457325,21350683.1423083,0.892598551470619,Not P20 Rural
no soap and water,Not P20,Urban,2018,ETH,6236989.21754859,8856940.85184276,0.704192262529442,Not P20 Urban
no soap and water,P20,Rural,2018,ETH,25307334.136886,26575374.0218628,0.952285153769288,P20 Rural
no soap and water,P20,Urban,2018,ETH,672531.753439235,701267.717295595,0.959022833722934,P20 Urban
no soap and water,Not P20,Rural,2000,GHA,2927599.34187615,4570639.38166626,0.640522932878785,Not P20 Rural
no soap and water,Not P20,Urban,2000,GHA,4428345.56356401,7939190.5645624,0.557783004142828,Not P20 Urban
no soap and water,P20,Rural,2000,GHA,2575228.7883541,3078028.01474066,0.836648911582788,P20 Rural
no soap and water,P20,Urban,2000,GHA,236141.474039117,336347.324057395,0.70207626803899,P20 Urban
no soap and water,Not P20,Rural,2001,GHA,2979230.37922876,4662846.75296266,0.638929507459328,Not P20 Rural
no soap and water,Not P20,Urban,2001,GHA,4532874.54688412,8130422.98525192,0.557520138264205,Not P20 Urban
no soap and water,P20,Rural,2001,GHA,2659494.98201237,3174711.28212961,0.83771239198431,P20 Rural
no soap and water,P20,Urban,2001,GHA,246806.14341809,349486.665954989,0.706196165578106,P20 Urban
no soap and water,Not P20,Rural,2002,GHA,3039610.74424241,4766487.30073052,0.637704572039153,Not P20 Rural
no soap and water,Not P20,Urban,2002,GHA,4643350.46612689,8324449.06186455,0.55779673004412,Not P20 Urban
no soap and water,P20,Rural,2002,GHA,2744000.52654062,3272455.2054529,0.838514312424594,P20 Rural
no soap and water,P20,Urban,2002,GHA,259143.154362411,373350.155500942,0.694102173373159,P20 Urban
no soap and water,Not P20,Rural,2003,GHA,3117743.36642433,4889008.95983055,0.637704572039153,Not P20 Rural
no soap and water,Not P20,Urban,2003,GHA,4768856.4030274,8544576.94545345,0.558114981405241,Not P20 Urban
no soap and water,P20,Rural,2003,GHA,2814534.54370491,3356573.05069318,0.838514312424594,P20 Rural
no soap and water,P20,Urban,2003,GHA,259654.893417447,376797.564028587,0.689109798485182,P20 Urban
no soap and water,Not P20,Rural,2004,GHA,3219521.33149215,5046025.29188532,0.638031152295166,Not P20 Rural
no soap and water,Not P20,Urban,2004,GHA,4917577.09239162,8811046.56966918,0.55811498140524,Not P20 Urban
no soap and water,P20,Rural,2004,GHA,2897759.51974777,3456701.94113574,0.838301817482036,P20 Rural
no soap and water,P20,Urban,2004,GHA,267752.443748659,388548.304402636,0.689109798485182,P20 Urban
no soap and water,Not P20,Rural,2005,GHA,3323194.73360217,5208514.85330733,0.638031152295167,Not P20 Rural
no soap and water,Not P20,Urban,2005,GHA,5075930.42967802,9094775.44734183,0.558114981405241,Not P20 Urban
no soap and water,P20,Rural,2005,GHA,2991071.71028068,3568012.91361244,0.838301817482036,P20 Rural
no soap and water,P20,Urban,2005,GHA,276374.47289789,401060.140931711,0.689109798485182,P20 Urban
no soap and water,Not P20,Rural,2006,GHA,3515648.86918686,5462440.10792054,0.643604103610979,Not P20 Rural
no soap and water,Not P20,Urban,2006,GHA,5224081.07768479,9365794.65290966,0.557783004142828,Not P20 Urban
no soap and water,P20,Rural,2006,GHA,2975990.02760942,3560626.86856798,0.835805080807669,P20 Rural
no soap and water,P20,Urban,2006,GHA,278574.060781178,396786.038017322,0.70207626803899,P20 Urban
no soap and water,Not P20,Rural,2007,GHA,3680479.78225246,5686085.70049131,0.647278281777296,Not P20 Rural
no soap and water,Not P20,Urban,2007,GHA,5343192.7121737,9557549.48548356,0.5590546740343,Not P20 Urban
no soap and water,P20,Rural,2007,GHA,2917192.7197544,3484362.90593443,0.837224134944713,P20 Rural
no soap and water,P20,Urban,2007,GHA,249342.096409169,364491.958463597,0.684081200200392,P20 Urban
no soap and water,Not P20,Rural,2008,GHA,3821076.83171565,5885808.93289822,0.649201643355779,Not P20 Rural
no soap and water,Not P20,Urban,2008,GHA,5496402.41733421,9834620.10117272,0.558883043858379,Not P20 Urban
no soap and water,P20,Rural,2008,GHA,2954202.39951973,3531504.51594733,0.836527997112659,P20 Rural
no soap and water,P20,Urban,2008,GHA,246681.212086135,354518.766539123,0.69581989832099,P20 Urban
no soap and water,Not P20,Rural,2009,GHA,2367140.2143768,3644747.58646248,0.649466158690649,Not P20 Rural
no soap and water,Not P20,Urban,2009,GHA,3401043.76946227,6085430.22880489,0.558883043858379,Not P20 Urban
no soap and water,P20,Rural,2009,GHA,1825242.26895239,2182463.15947185,0.836322144101662,P20 Rural
no soap and water,P20,Urban,2009,GHA,152640.49749397,219367.824723453,0.69581989832099,P20 Urban
no soap and water,Not P20,Rural,2010,GHA,2428322.87647238,3738103.29510213,0.649613636855383,Not P20 Rural
no soap and water,Not P20,Urban,2010,GHA,3486689.7526368,6238675.14134197,0.558883043858379,Not P20 Urban
no soap and water,P20,Rural,2010,GHA,1869633.29069245,2235849.81209845,0.83620701201648,P20 Rural
no soap and water,P20,Urban,2010,GHA,156484.33084816,224892.003269461,0.69581989832099,P20 Urban
no soap and water,Not P20,Rural,2011,GHA,2696345.27430701,4062752.74792272,0.663674469406401,Not P20 Rural
no soap and water,Not P20,Urban,2011,GHA,3596093.47864089,6418895.05744683,0.560235592957531,Not P20 Urban
no soap and water,P20,Rural,2011,GHA,1707082.58972482,2057800.96354504,0.829566425503062,P20 Rural
no soap and water,P20,Urban,2011,GHA,136483.971845008,203287.803109779,0.671382983913229,P20 Urban
no soap and water,Not P20,Rural,2012,GHA,2859273.93047137,4266207.34421358,0.670214478522597,Not P20 Rural
no soap and water,Not P20,Urban,2012,GHA,3703012.21321587,6597265.5363348,0.561295008185032,Not P20 Urban
no soap and water,P20,Rural,2012,GHA,1649738.02422963,2001103.19352033,0.824414267875623,P20 Rural
no soap and water,P20,Urban,2012,GHA,119063.875179134,183702.06582916,0.648135744373509,P20 Urban
no soap and water,Not P20,Rural,2013,GHA,2831862.42757506,4268664.38020649,0.663407139878744,Not P20 Rural
no soap and water,Not P20,Urban,2013,GHA,3790072.37838043,6749790.7904494,0.561509607637496,Not P20 Urban
no soap and water,P20,Rural,2013,GHA,1783159.25728677,2145994.60228959,0.830924390669152,P20 Rural
no soap and water,P20,Urban,2013,GHA,121863.142381449,190601.659764748,0.639360342044555,P20 Urban
no soap and water,Not P20,Rural,2014,GHA,2702257.97697323,4145694.43553961,0.651822757077247,Not P20 Rural
no soap and water,Not P20,Urban,2014,GHA,3830700.0419719,6854206.947353,0.558883043858379,Not P20 Urban
no soap and water,P20,Rural,2014,GHA,2019751.16006017,2417671.97845954,0.835411576944815,P20 Rural
no soap and water,P20,Urban,2014,GHA,171923.679844088,247080.71766694,0.695819898320991,P20 Urban
no soap and water,Not P20,Rural,2015,GHA,2603877.75144074,4052466.77063838,0.642541419539032,Not P20 Rural
no soap and water,Not P20,Urban,2015,GHA,3887189.51162671,6968999.56211527,0.557783004142829,Not P20 Urban
no soap and water,P20,Rural,2015,GHA,2226489.59118821,2661512.35643439,0.836550537067963,P20 Rural
no soap and water,P20,Urban,2015,GHA,207284.334063162,295244.752599514,0.70207626803899,P20 Urban
no soap and water,Not P20,Rural,2016,GHA,2652948.04662553,4134449.37569327,0.641669012135546,Not P20 Rural
no soap and water,Not P20,Urban,2016,GHA,3975507.44310002,7127336.99946517,0.557783004142829,Not P20 Urban
no soap and water,P20,Rural,2016,GHA,2287166.46698164,2732073.05977351,0.837154211085132,P20 Rural
no soap and water,P20,Urban,2016,GHA,211993.886699205,301952.788250965,0.70207626803899,P20 Urban
no soap and water,Not P20,Rural,2017,GHA,2712516.53957605,4227283.05134838,0.641669012135546,Not P20 Rural
no soap and water,Not P20,Urban,2017,GHA,4064772.28467891,7287372.06850796,0.557783004142829,Not P20 Urban
no soap and water,P20,Rural,2017,GHA,2338521.81098785,2793418.20183479,0.837154211085132,P20 Rural
no soap and water,P20,Urban,2017,GHA,216753.933305266,308732.744820864,0.70207626803899,P20 Urban
no soap and water,Not P20,Rural,2018,GHA,2752908.13189065,4301257.74481749,0.64002398721806,Not P20 Rural
no soap and water,Not P20,Urban,2018,GHA,4154890.23866424,7448936.60761367,0.557783004142828,Not P20 Urban
