handwashing,p20,urban,povcal_year,iso3,value,total,percentage,demographic
no soap and water,P20,Urban,2002,BFA,133128.940127529,145471.24772607,0.915156377693398,P20 Urban
no soap and water,Not P20,Rural,2003,BFA,2116155.36174973,2292537.48513198,0.923062491005638,Not P20 Rural
no soap and water,Not P20,Urban,2003,BFA,1305431.23127917,1695995.2864766,0.769713950084839,Not P20 Urban
no soap and water,P20,Rural,2003,BFA,4725366.00000387,5119121.20624143,0.923081484033339,P20 Rural
no soap and water,P20,Urban,2003,BFA,133247.190690221,145504.822785184,0.915757898189671,P20 Urban
no soap and water,Not P20,Rural,2004,BFA,2252527.87444554,2437702.53786093,0.924037219250761,Not P20 Rural
no soap and water,Not P20,Urban,2004,BFA,1347356.25263245,1749782.48518104,0.770013566853737,Not P20 Urban
no soap and water,P20,Rural,2004,BFA,4792243.84722865,5194144.35683398,0.922624308837981,P20 Rural
no soap and water,P20,Urban,2004,BFA,134062.941690586,146425.56697977,0.915570582759692,P20 Urban
no soap and water,Not P20,Rural,2005,BFA,2412377.46110534,2607012.03548553,0.925341896496483,Not P20 Rural
no soap and water,Not P20,Urban,2005,BFA,1393049.01212612,1807561.74164936,0.770678522358519,Not P20 Urban
no soap and water,P20,Rural,2005,BFA,4843977.41597566,5254050.27048993,0.9219510980286,P20 Rural
no soap and water,P20,Urban,2005,BFA,132863.227535877,145597.152757995,0.912540012075071,P20 Urban
no soap and water,Not P20,Rural,2006,BFA,2424105.49851252,2620628.99730311,0.925009034474993,Not P20 Rural
no soap and water,Not P20,Urban,2006,BFA,1432739.599158,1859829.40597544,0.770360762419795,Not P20 Urban
no soap and water,P20,Rural,2006,BFA,5052420.5088211,5478952.37261169,0.922150835637349,P20 Rural
no soap and water,P20,Urban,2006,BFA,139471.61955942,152591.915453343,0.914017096810518,P20 Urban
no soap and water,Not P20,Rural,2007,BFA,2444950.83306298,2644304.75890946,0.924610079388619,Not P20 Rural
no soap and water,Not P20,Urban,2007,BFA,1472705.11405851,1912853.74588214,0.769899485116857,Not P20 Urban
no soap and water,P20,Rural,2007,BFA,5260179.65797748,5702931.82085744,0.922364114320871,P20 Rural
no soap and water,P20,Urban,2007,BFA,147578.50266574,161099.968630625,0.916067854762363,P20 Urban
no soap and water,Not P20,Rural,2008,BFA,2463251.9228579,2668728.34955943,0.923005866544846,Not P20 Rural
no soap and water,Not P20,Urban,2008,BFA,1516178.97064274,1969553.16223134,0.769808604163313,Not P20 Urban
no soap and water,P20,Rural,2008,BFA,5478516.33600865,5934866.17690923,0.923106970351564,P20 Rural
no soap and water,P20,Urban,2008,BFA,153866.333927373,168095.226647762,0.915352190516358,P20 Urban
no soap and water,Not P20,Rural,2009,BFA,2322516.02030555,2522740.78053906,0.92063205154565,Not P20 Rural
no soap and water,Not P20,Urban,2009,BFA,1552244.75467736,2019014.23114458,0.768813181568012,Not P20 Urban
no soap and water,P20,Rural,2009,BFA,5863279.93576495,6345217.46085249,0.924047122409766,P20 Rural
no soap and water,P20,Urban,2009,BFA,169116.238869897,184317.944615043,0.917524548264168,P20 Urban
no soap and water,Not P20,Rural,2010,BFA,2192713.48800577,2391726.17244963,0.916791191760874,Not P20 Rural
no soap and water,Not P20,Urban,2010,BFA,1583427.64724258,2064217.0660041,0.767083885372467,Not P20 Urban
no soap and water,P20,Rural,2010,BFA,6244001.08924633,6748060.96213292,0.925303005453693,P20 Rural
no soap and water,P20,Urban,2010,BFA,190698.102398598,206653.694214945,0.922790677045669,P20 Urban
no soap and water,Not P20,Rural,2011,BFA,2075931.64225383,2265960.00676069,0.916137811814903,Not P20 Rural
no soap and water,Not P20,Urban,2011,BFA,1621981.787284,2116745.74687875,0.766261980058633,Not P20 Urban
no soap and water,P20,Rural,2011,BFA,6618500.03170308,7153021.04664609,0.925273389878583,P20 Rural
no soap and water,P20,Urban,2011,BFA,206338.34492164,223493.51146319,0.923240874290993,P20 Urban
no soap and water,Not P20,Rural,2012,BFA,2147305.57146531,2343116.05538237,0.916431589691318,Not P20 Rural
no soap and water,Not P20,Urban,2012,BFA,1671334.9056964,2181153.37729338,0.766261980058633,Not P20 Urban
no soap and water,P20,Rural,2012,BFA,6811677.35657923,7362462.59788484,0.925190079544331,P20 Rural
no soap and water,P20,Urban,2012,BFA,212616.738951568,230293.897153165,0.923240874290993,P20 Urban
no soap and water,Not P20,Rural,2013,BFA,1976982.35248428,2171403.85693372,0.910462761761884,Not P20 Rural
no soap and water,Not P20,Urban,2013,BFA,1708174.58123836,2232756.90764942,0.765051750768819,Not P20 Urban
no soap and water,P20,Rural,2013,BFA,7253144.32352702,7827914.27472843,0.926574317113181,P20 Rural
no soap and water,P20,Urban,2013,BFA,232794.887198392,251672.853455393,0.92499005753774,P20 Urban
no soap and water,Not P20,Rural,2014,BFA,1923246.24819089,2114382.94990264,0.909601663350268,Not P20 Rural
no soap and water,Not P20,Urban,2014,BFA,1751037.3249984,2289451.34265583,0.764828364059988,Not P20 Urban
no soap and water,P20,Rural,2014,BFA,7584356.62459859,8185534.82279799,0.926556027038695,P20 Rural
no soap and water,P20,Urban,2014,BFA,248281.594650551,269665.380553786,0.920702517099819,P20 Urban
no soap and water,Not P20,Rural,2015,BFA,1847719.2542437,2038863.7809153,0.906249486375307,Not P20 Rural
