educ.category,p20,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,Not P20,2012,AFG,3227873.89831432,12304872.326988,0.262324859010093,Not P20
Completed secondary education,P20,2012,AFG,1454648.31001293,18789698.0305733,0.0774173330324959,P20
Completed secondary education,Not P20,2013,AFG,3325730.79344506,12508065.6352583,0.265886899735346,Not P20
Completed secondary education,P20,2013,AFG,1523319.10557393,19692341.8682513,0.0773559140789587,P20
Completed secondary education,Not P20,2014,AFG,3398238.14057119,12614777.9483556,0.269385490135733,Not P20
Completed secondary education,P20,2014,AFG,1616286.37896587,20684473.7252768,0.078140077452913,P20
Completed secondary education,Not P20,2015,AFG,3443862.9510969,12626905.0249801,0.272740069263515,Not P20
Completed secondary education,P20,2015,AFG,1727361.20524514,21712920.0116513,0.0795545327076337,P20
Completed secondary education,Not P20,2016,AFG,3531607.18560335,12901809.1279627,0.273729610365195,Not P20
Completed secondary education,P20,2016,AFG,1785304.450779,22405462.382339,0.0796816606733481,P20
Completed secondary education,Not P20,2017,AFG,3606362.46442001,13162638.0114056,0.273984778833471,Not P20
Completed secondary education,P20,2017,AFG,1847783.6901763,23055947.5711499,0.0801434720682851,P20
Completed secondary education,Not P20,2018,AFG,3686450.56508787,13391600.4355285,0.275280806266258,Not P20
Completed secondary education,P20,2018,AFG,1899327.25748046,23701093.1552625,0.0801366943304359,P20
Completed secondary education,Not P20,2000,AGO,2550130.09901582,11455799.5206001,0.222606034125345,Not P20
Completed secondary education,P20,2000,AGO,52625.7451114907,4446739.60914531,0.0118346810780777,P20
Completed secondary education,Not P20,2001,AGO,2627675.89152956,11659962.427696,0.225358864389479,Not P20
Completed secondary education,P20,2001,AGO,62436.046923705,4776312.40045327,0.0130720190994584,P20
Completed secondary education,Not P20,2002,AGO,2712232.63955932,11870877.3292467,0.228477859246098,Not P20
Completed secondary education,P20,2002,AGO,68947.5668582441,5121814.15167781,0.0134615518674488,P20
Completed secondary education,Not P20,2003,AGO,2801445.75398212,12017997.7758495,0.23310419973714,Not P20
Completed secondary education,P20,2003,AGO,75310.8587414395,5558654.56509612,0.0135483969833872,P20
Completed secondary education,Not P20,2004,AGO,2889012.22695885,12164769.7710695,0.23749008664591,Not P20
Completed secondary education,P20,2004,AGO,88814.1232622029,6029407.05224869,0.0147301587855276,P20
Completed secondary education,Not P20,2005,AGO,2978469.79703609,12307852.8306938,0.241997514758079,Not P20
Completed secondary education,P20,2005,AGO,106584.30161323,6541473.21417843,0.0162936234886986,P20
Completed secondary education,Not P20,2006,AGO,3092967.29171877,12879019.36857,0.240155496564192,Not P20
Completed secondary education,P20,2006,AGO,105798.15935037,6665069.97322553,0.0158735256757056,P20
Completed secondary education,Not P20,2007,AGO,3218851.61986087,13483122.3652059,0.238731914809832,Not P20
Completed secondary education,P20,2007,AGO,99842.248980431,6793715.82842432,0.0146962651223502,P20
Completed secondary education,Not P20,2008,AGO,3341635.60486443,14124815.2405311,0.23657906655484,Not P20
Completed secondary education,P20,2008,AGO,102512.556371762,6918534.2639105,0.0148170916644156,P20
Completed secondary education,Not P20,2009,AGO,3444873.26456905,13991948.5892298,0.246203968132123,Not P20
Completed secondary education,P20,2009,AGO,129233.834937916,7845435.09470441,0.0164724879344355,P20
Completed secondary education,Not P20,2010,AGO,3544879.67664389,13783717.4559257,0.257178782718005,Not P20
Completed secondary education,P20,2010,AGO,162888.057374866,8870317.34617856,0.0183632728140262,P20
Completed secondary education,Not P20,2011,AGO,3615104.36731649,13260673.8328508,0.272618451587335,Not P20
Completed secondary education,P20,2011,AGO,229887.903804734,10231787.1227311,0.0224680108222747,P20
Completed secondary education,Not P20,2012,AGO,3727281.76499654,13365525.9014424,0.278872809980061,Not P20
Completed secondary education,P20,2012,AGO,258563.238938132,10987529.066502,0.0235324282077598,P20
Completed secondary education,Not P20,2013,AGO,3798355.79590579,12942869.1242542,0.293470926688726,Not P20
Completed secondary education,P20,2013,AGO,331608.825092394,12290740.1434289,0.0269803788236207,P20
Completed secondary education,Not P20,2014,AGO,3820300.76049522,12592021.5508556,0.303390583082003,Not P20
Completed secondary education,P20,2014,AGO,456664.761843588,13539746.3324165,0.0337277191634125,P20
Completed secondary education,Not P20,2015,AGO,3890454.97795521,12199904.8297953,0.31889223991762,Not P20
Completed secondary education,P20,2015,AGO,536147.146156913,14846125.4958458,0.0361136073049453,P20
Completed secondary education,Not P20,2016,AGO,3911890.25224143,11361310.9859968,0.344316800857134,Not P20
Completed secondary education,P20,2016,AGO,666809.233290267,16614016.7406908,0.0401353413625213,P20
Completed secondary education,Not P20,2017,AGO,3858697.40336739,10449809.2541656,0.369260080209524,Not P20
Completed secondary education,P20,2017,AGO,874664.977203861,18470490.9891857,0.0473547226067769,P20
Completed secondary education,Not P20,2018,AGO,3786041.09078469,9548736.66077064,0.396496544546987,Not P20
Completed secondary education,P20,2018,AGO,1104960.71817025,20334722.3759491,0.054338618336739,P20
Completed secondary education,Not P20,2000,ALB,3092916.71920638,6058482.31162183,0.510510150912435,Not P20
Completed secondary education,P20,2000,ALB,17984.9934967869,116643.940813399,0.15418712169163,P20
