handwashing,p20,sex,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Female,2005,BFA,1840446.52758598,2146112.97348055,0.857572061829137,Not P20 Female
no soap and water,P20,Female,2005,BFA,2414140.79644279,2642661.83155633,0.91352619075784,P20 Female
no soap and water,Not P20,Male,2006,BFA,1991057.21031458,2302053.8651276,0.864904701178318,Not P20 Male
no soap and water,P20,Male,2006,BFA,2674000.70051408,2875873.80099826,0.929804603938427,P20 Male
no soap and water,Not P20,Female,2006,BFA,1865787.88735594,2178404.53815096,0.856492838992905,Not P20 Female
no soap and water,P20,Female,2006,BFA,2517891.42786645,2755670.48706678,0.913712811340723,P20 Female
no soap and water,Not P20,Male,2007,BFA,2015793.87316653,2333121.12031342,0.863990238490378,Not P20 Male
no soap and water,P20,Male,2007,BFA,2791904.23634818,3003128.40273167,0.929665289638844,P20 Male
no soap and water,Not P20,Female,2007,BFA,1901862.07395496,2224037.38447818,0.855139435707458,Not P20 Female
no soap and water,P20,Female,2007,BFA,2615853.92429505,2860903.3867564,0.914345425435993,P20 Female
no soap and water,Not P20,Male,2008,BFA,2044884.95629687,2371665.70790804,0.862214666037648,Not P20 Male
no soap and water,P20,Male,2008,BFA,2910465.80495944,3128469.18698957,0.930316276427862,P20 Male
no soap and water,Not P20,Female,2008,BFA,1934545.93720376,2266615.80388272,0.85349530074302,Not P20 Female
no soap and water,P20,Female,2008,BFA,2721916.86497659,2974492.21656742,0.915086228774096,P20 Female
no soap and water,Not P20,Male,2009,BFA,1997672.09667641,2327278.51214647,0.858372595394237,Not P20 Male
no soap and water,P20,Male,2009,BFA,3109942.34134448,3341859.70908397,0.930602302930585,P20 Male
no soap and water,Not P20,Female,2009,BFA,1877088.6783065,2214476.49953716,0.847644433661328,Not P20 Female
no soap and water,P20,Female,2009,BFA,2922453.83329036,3187675.69638356,0.916797727135764,P20 Female
no soap and water,Not P20,Male,2010,BFA,1947705.81927361,2284966.55069262,0.852400145062615,Not P20 Male
no soap and water,P20,Male,2010,BFA,3316471.96080872,3557947.36118452,0.932130699006349,P20 Male
no soap and water,Not P20,Female,2010,BFA,1828435.31597473,2170976.6877611,0.842217848898401,Not P20 Female
no soap and water,P20,Female,2010,BFA,3118227.23083621,3396767.29516335,0.917998484993732,P20 Female
no soap and water,Not P20,Male,2011,BFA,1902146.52734778,2241056.14724446,0.848772365514627,Not P20 Male
no soap and water,P20,Male,2011,BFA,3522836.57589658,3780341.7936794,0.931883085753421,P20 Male
no soap and water,Not P20,Female,2011,BFA,1795766.90219004,2141649.60639498,0.838497061717226,Not P20 Female
no soap and water,P20,Female,2011,BFA,3302001.80072815,3596172.76442989,0.918198878927226,P20 Female
no soap and water,Not P20,Male,2012,BFA,1965776.36391117,2314998.21217749,0.849148113191051,Not P20 Male
no soap and water,P20,Male,2012,BFA,3624276.30767156,3889616.80794934,0.931782354566267,P20 Male
no soap and water,Not P20,Female,2012,BFA,1852864.11325054,2209271.22049825,0.838676617003441,Not P20 Female
no soap and water,P20,Female,2012,BFA,3400017.78785924,3703139.68708867,0.91814462190387,P20 Female
no soap and water,Not P20,Male,2013,BFA,1897499.82133428,2257290.87389213,0.840609353132467,Not P20 Male
no soap and water,P20,Male,2013,BFA,3861735.87525008,4135106.90960862,0.933890213642767,P20 Male
no soap and water,Not P20,Female,2013,BFA,1787657.11238836,2146869.89069101,0.832680694875724,Not P20 Female
no soap and water,P20,Female,2013,BFA,3624203.33547534,3944480.21857521,0.918803780130109,P20 Female
no soap and water,Not P20,Male,2014,BFA,1899503.34099239,2266527.53030968,0.838067623530192,Not P20 Male
no soap and water,P20,Male,2014,BFA,4032866.57937143,4318038.60445204,0.933957972310255,P20 Male
