educ.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,Not P20,Male,2000,AFG,205223.403956385,360032.190145232,0.570014042004412,Not P20 Male
Completed secondary education,P20,Male,2000,AFG,1335391.31380273,10260566.3832211,0.130147914250276,P20 Male
Completed secondary education,Not P20,Female,2000,AFG,238739.681754808,334064.506579396,0.714651443217801,Not P20 Female
Completed secondary education,P20,Female,2000,AFG,1343183.94444421,9780740.6000881,0.137329472211144,P20 Female
Completed secondary education,Not P20,Male,2001,AFG,253670.447861267,465347.271300153,0.545120737793362,Not P20 Male
Completed secondary education,P20,Male,2001,AFG,1348260.20709471,10577947.481462,0.127459529313939,P20 Male
Completed secondary education,Not P20,Female,2001,AFG,295355.396759659,452034.868844202,0.653390738450879,Not P20 Female
Completed secondary education,P20,Female,2001,AFG,1349528.24701945,10065336.0107773,0.134076820244696,P20 Female
Completed secondary education,Not P20,Male,2002,AFG,309018.960275024,602248.285901981,0.513108907918616,Not P20 Male
Completed secondary education,P20,Male,2002,AFG,1366590.16620801,10948966.753852,0.124814532451405,P20 Male
Completed secondary education,Not P20,Female,2002,AFG,371879.780229008,605082.253583687,0.614593764775774,Not P20 Female
Completed secondary education,P20,Female,2002,AFG,1348657.89535139,10396019.8090926,0.129728292184651,P20 Female
Completed secondary education,Not P20,Male,2003,AFG,365479.533165064,782292.404798966,0.467190440458111,Not P20 Male
Completed secondary education,P20,Male,2003,AFG,1390207.70982124,11320960.4157763,0.122799449760809,P20 Male
Completed secondary education,Not P20,Female,2003,AFG,493863.537021995,821548.898303786,0.601137117999491,Not P20 Female
Completed secondary education,P20,Female,2003,AFG,1308899.4107032,10705300.7977054,0.122266476714392,P20 Female
Completed secondary education,Not P20,Male,2004,AFG,448132.296070366,1110538.99604106,0.403526843873024,Not P20 Male
Completed secondary education,P20,Male,2004,AFG,1385090.96924591,11527227.0669756,0.120158209879813,P20 Male
Completed secondary education,Not P20,Female,2004,AFG,583310.151978989,1065824.06998292,0.547285587187326,Not P20 Female
Completed secondary education,P20,Female,2004,AFG,1299067.81187671,10970083.3064271,0.118419138268131,P20 Female
Completed secondary education,Not P20,Male,2005,AFG,569831.709773598,1486872.92955086,0.383241700382377,Not P20 Male
Completed secondary education,P20,Male,2005,AFG,1332162.80963985,11624984.3353306,0.114594804707921,P20 Male
Completed secondary education,Not P20,Female,2005,AFG,678451.80512628,1420138.0954727,0.477736501322749,Not P20 Female
Completed secondary education,P20,Female,2005,AFG,1274541.39458663,11067282.4491004,0.115162995111798,P20 Female
Completed secondary education,Not P20,Male,2006,AFG,705862.118091085,1997793.48432345,0.353320863057137,Not P20 Male
Completed secondary education,P20,Male,2006,AFG,1253870.14524213,11512092.8228844,0.108917654203553,P20 Male
Completed secondary education,Not P20,Female,2006,AFG,802221.978386351,1873816.12379171,0.428122038336952,Not P20 Female
Completed secondary education,P20,Female,2006,AFG,1210057.10259022,10992677.7999429,0.11007846537597,P20 Female
Completed secondary education,Not P20,Male,2007,AFG,911059.843132882,2572171.30656272,0.354198742831931,Not P20 Male
Completed secondary education,P20,Male,2007,AFG,1098159.55311698,11278866.4690792,0.0973643544878885,P20 Male
Completed secondary education,Not P20,Female,2007,AFG,963043.804765463,2480450.55821163,0.388253578196617,Not P20 Female
Completed secondary education,P20,Female,2007,AFG,1100049.32066446,10710947.8980903,0.102703265026674,P20 Female
Completed secondary education,Not P20,Male,2008,AFG,1064998.21948351,3303233.78288169,0.322410791813355,Not P20 Male
Completed secondary education,P20,Male,2008,AFG,990316.651314327,10865574.2474381,0.0911425966784798,P20 Male
Completed secondary education,Not P20,Female,2008,AFG,1140127.01426198,3219265.24143838,0.354157526253588,Not P20 Female
Completed secondary education,P20,Female,2008,AFG,970297.555822945,10274770.0363722,0.0944349656866422,P20 Female
Completed secondary education,Not P20,Male,2009,AFG,1208611.21467506,4088547.36338036,0.295608955273491,Not P20 Male
Completed secondary education,P20,Male,2009,AFG,896565.19336676,10423993.1817693,0.0860097639870658,P20 Male
Completed secondary education,Not P20,Female,2009,AFG,1290320.73498093,4019580.63285263,0.321008794906351,Not P20 Female
Completed secondary education,P20,Female,2009,AFG,871302.322886567,9801817.30463396,0.0888919162444137,P20 Female
Completed secondary education,Not P20,Male,2010,AFG,1377467.9162335,5104020.88112801,0.269878973521964,Not P20 Male
Completed secondary education,P20,Male,2010,AFG,786330.126498436,9812642.0202353,0.0801343944757072,P20 Male
Completed secondary education,Not P20,Female,2010,AFG,1473975.26292084,4988916.06788752,0.295450002137432,Not P20 Female
Completed secondary education,P20,Female,2010,AFG,747841.266976836,9217358.37576883,0.0811340122070991,P20 Female
Completed secondary education,Not P20,Male,2011,AFG,1394940.47823621,5180388.39298928,0.269273338679395,Not P20 Male
Completed secondary education,P20,Male,2011,AFG,837948.582130271,10212570.0771904,0.0820507057280143,P20 Male
Completed secondary education,Not P20,Female,2011,AFG,1504543.73241453,5046924.60288414,0.298110998439473,Not P20 Female
Completed secondary education,P20,Female,2011,AFG,788216.370781724,9612962.39551349,0.0819951580326161,P20 Female
Completed secondary education,Not P20,Male,2012,AFG,1579636.88968527,6239487.65273668,0.253167724274994,Not P20 Male
Completed secondary education,P20,Male,2012,AFG,730651.034990287,9687038.5280363,0.0754256352832325,P20 Male
Completed secondary education,Not P20,Female,2012,AFG,1648237.00862906,6065384.67425129,0.271744843427019,Not P20 Female
Completed secondary education,P20,Female,2012,AFG,723997.275022641,9102659.50253704,0.0795368952140693,P20 Female
Completed secondary education,Not P20,Male,2013,AFG,1626620.42913883,6341281.16533454,0.256512901214816,Not P20 Male
Completed secondary education,P20,Male,2013,AFG,765829.820841882,10151650.7915625,0.0754389445190923,P20 Male
Completed secondary education,Not P20,Female,2013,AFG,1699110.36430623,6166784.46992381,0.275526146988435,Not P20 Female
Completed secondary education,P20,Female,2013,AFG,757489.284732048,9540691.0766889,0.0793956411169049,P20 Female
Completed secondary education,Not P20,Male,2014,AFG,1654131.18665617,6374647.99725301,0.259485886494278,Not P20 Male
Completed secondary education,P20,Male,2014,AFG,819961.819218645,10681107.9589083,0.0767674872656612,P20 Male
Completed secondary education,Not P20,Female,2014,AFG,1744106.95391501,6240129.95110254,0.279498498842456,Not P20 Female
Completed secondary education,P20,Female,2014,AFG,796324.559747232,10003365.7663685,0.079605662568542,P20 Female
Completed secondary education,Not P20,Male,2015,AFG,1670553.88183115,6378678.65882148,0.261896541773717,Not P20 Male
Completed secondary education,P20,Male,2015,AFG,880852.431403485,11210055.2004994,0.0785769932126871,P20 Male
Completed secondary education,Not P20,Female,2015,AFG,1773309.06926575,6248226.36615866,0.283809991083271,Not P20 Female
Completed secondary education,P20,Female,2015,AFG,846508.773841656,10502864.8111519,0.0805978929618173,P20 Female
Completed secondary education,Not P20,Male,2016,AFG,1711937.56970061,6514875.42412905,0.262773646194389,Not P20 Male
Completed secondary education,P20,Male,2016,AFG,911348.813918961,11569381.0108128,0.0787724782395195,P20 Male
Completed secondary education,Not P20,Female,2016,AFG,1819669.61590275,6386933.70383368,0.284905042119118,Not P20 Female
Completed secondary education,P20,Female,2016,AFG,873955.63686004,10836081.3715262,0.0806523693294257,P20 Female
Completed secondary education,Not P20,Male,2017,AFG,1743445.44044188,6644645.82982027,0.262383501708629,Not P20 Male
Completed secondary education,P20,Male,2017,AFG,947550.445914159,11906382.3682866,0.0795834046484198,P20 Male
Completed secondary education,Not P20,Female,2017,AFG,1862917.02397812,6517992.18158533,0.285811484898869,Not P20 Female
Completed secondary education,P20,Female,2017,AFG,900233.244262132,11149565.2028633,0.0807415560950253,P20 Female
Completed secondary education,Not P20,Male,2018,AFG,1782007.87549112,6765059.61316772,0.263413477099679,Not P20 Male
Completed secondary education,P20,Male,2018,AFG,973933.14929478,12233683.5370321,0.0796107849566836,P20 Male
Completed secondary education,Not P20,Female,2018,AFG,1904442.68959675,6626540.82236082,0.287396205750418,Not P20 Female
Completed secondary education,P20,Female,2018,AFG,925394.108185684,11467409.6182304,0.0806977459595174,P20 Female
Completed secondary education,Not P20,Male,2000,AGO,1234966.55307937,5672572.058816,0.217708394053815,Not P20 Male
Completed secondary education,P20,Male,2000,AGO,25308.902481493,2224420.21089538,0.011377752439727,P20 Male
Completed secondary education,Not P20,Female,2000,AGO,1315163.54593646,5783227.46178414,0.227409963489614,Not P20 Female
Completed secondary education,P20,Female,2000,AGO,27316.8426299977,2222319.39824993,0.0122920416621975,P20 Female
Completed secondary education,Not P20,Male,2001,AGO,1270939.63833414,5772041.92343512,0.220188913246453,Not P20 Male
