educ.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,P20,Male,2001,AGO,31634.3454659523,2389996.49079291,0.0132361472444912,P20 Male
Completed secondary education,Not P20,Female,2001,AGO,1356736.25319541,5887920.50426087,0.230427067113694,Not P20 Female
Completed secondary education,P20,Female,2001,AGO,30801.7014577527,2386315.90966039,0.0129076378081628,P20 Female
Completed secondary education,Not P20,Male,2002,AGO,1311701.58210426,5884889.70748892,0.222893146227538,Not P20 Male
Completed secondary education,P20,Male,2002,AGO,34968.394470115,2553457.91559278,0.0136945254733118,P20 Male
Completed secondary education,Not P20,Female,2002,AGO,1400531.05745506,5985987.62175778,0.233968251515328,Not P20 Female
Completed secondary education,P20,Female,2002,AGO,33979.172388129,2568356.23608503,0.0132299296767039,P20 Female
Completed secondary education,Not P20,Male,2003,AGO,1354442.66148569,5955962.46087637,0.227409536306311,Not P20 Male
Completed secondary education,P20,Male,2003,AGO,38506.1849526973,2772372.46296127,0.0138892538672698,P20 Male
Completed secondary education,Not P20,Female,2003,AGO,1447003.09249643,6062035.31497311,0.238699218548326,Not P20 Female
Completed secondary education,P20,Female,2003,AGO,36804.6737887422,2786282.10213485,0.0132092417205503,P20 Female
Completed secondary education,Not P20,Male,2004,AGO,1393341.50471952,6028098.96753917,0.231141113014659,Not P20 Male
Completed secondary education,P20,Male,2004,AGO,48546.1270280855,3006890.51151552,0.0161449599984329,P20 Male
Completed secondary education,Not P20,Female,2004,AGO,1495670.72223933,6136670.80353031,0.243726732315329,Not P20 Female
Completed secondary education,P20,Female,2004,AGO,40267.9962341174,3022516.54073318,0.0133226719164122,P20 Female
Completed secondary education,Not P20,Male,2005,AGO,1436283.83393555,6091663.84503054,0.23577857716283,Not P20 Male
Completed secondary education,P20,Male,2005,AGO,57524.3418784998,3268664.14103291,0.0175987312848612,P20 Male
Completed secondary education,Not P20,Female,2005,AGO,1542185.96310055,6216188.98566325,0.248091872151471,Not P20 Female
Completed secondary education,P20,Female,2005,AGO,49059.9597347303,3272809.07314551,0.0149901685794273,P20 Female
Completed secondary education,Not P20,Male,2006,AGO,1491464.7327811,6372655.97046203,0.234041307061641,Not P20 Male
Completed secondary education,P20,Male,2006,AGO,57403.4006531307,3332682.35265006,0.0172243840183224,P20 Male
Completed secondary education,Not P20,Female,2006,AGO,1601502.55893768,6506363.398108,0.246144037912697,Not P20 Female
Completed secondary education,P20,Female,2006,AGO,48394.7586972389,3332387.62057548,0.0145225478568071,P20 Female
Completed secondary education,Not P20,Male,2007,AGO,1551973.61156712,6674984.26200977,0.232505958163839,Not P20 Male
Completed secondary education,P20,Male,2007,AGO,54964.8328736221,3394227.52629976,0.0161936206243494,P20 Male
Completed secondary education,Not P20,Female,2007,AGO,1666878.00829374,6808138.10319613,0.244836103943193,Not P20 Female
Completed secondary education,P20,Female,2007,AGO,44877.4161068089,3399488.30212456,0.0132012268077999,P20 Female
Completed secondary education,Not P20,Male,2008,AGO,1611745.75838866,6997542.44389056,0.230330258274581,Not P20 Male
Completed secondary education,P20,Male,2008,AGO,55938.6702967373,3452308.8037366,0.0162032638089015,P20 Male
Completed secondary education,Not P20,Female,2008,AGO,1729889.84647576,7127272.79664056,0.242714134260603,Not P20 Female
Completed secondary education,P20,Female,2008,AGO,46573.8860750245,3466225.46017389,0.0134364849055976,P20 Female
Completed secondary education,Not P20,Male,2009,AGO,1661665.4939059,6924860.79541056,0.239956519415837,Not P20 Male
Completed secondary education,P20,Male,2009,AGO,68946.105033659,3919297.40698529,0.0175914450663473,P20 Male
Completed secondary education,Not P20,Female,2009,AGO,1783207.77066315,7067087.79381924,0.252325685301761,Not P20 Female
Completed secondary education,P20,Female,2009,AGO,60287.7299042567,3926137.68771915,0.0153554802962807,P20 Female
Completed secondary education,Not P20,Male,2010,AGO,1709120.51369196,6823378.42632799,0.250480100458348,Not P20 Male
Completed secondary education,P20,Male,2010,AGO,86210.6467961664,4426318.00581993,0.0194768307841444,P20 Male
Completed secondary education,Not P20,Female,2010,AGO,1835759.16295192,6960339.02959771,0.263745653070296,Not P20 Female
Completed secondary education,P20,Female,2010,AGO,76677.4105786997,4443999.34035864,0.0172541453555913,P20 Female
Completed secondary education,Not P20,Male,2011,AGO,1738843.31254839,6546122.36065973,0.26562951572649,Not P20 Male
Completed secondary education,P20,Male,2011,AGO,122933.079981441,5119925.49805712,0.0240107165676708,P20 Male
Completed secondary education,Not P20,Female,2011,AGO,1876261.05476809,6714551.47219114,0.27943207562542,Not P20 Female
Completed secondary education,P20,Female,2011,AGO,106954.823823293,5111861.62467404,0.020922871485222,P20 Female
Completed secondary education,Not P20,Male,2012,AGO,1793061.55005241,6580026.92072755,0.27250064044634,Not P20 Male
Completed secondary education,P20,Male,2012,AGO,136916.876261717,5513380.63240903,0.0248335613646707,P20 Male
Completed secondary education,Not P20,Female,2012,AGO,1934220.21494411,6785498.98071489,0.285052023505032,Not P20 Female
Completed secondary education,P20,Female,2012,AGO,121646.362676416,5474148.43409297,0.0222219700727885,P20 Female
Completed secondary education,Not P20,Male,2013,AGO,1826425.0368352,6382715.03608925,0.286151743655827,Not P20 Male
Completed secondary education,P20,Male,2013,AGO,173337.275070726,6147964.22827305,0.0281942556323911,P20 Male
Completed secondary education,Not P20,Female,2013,AGO,1971930.75907057,6560154.088165,0.300592140454152,Not P20 Female
Completed secondary education,P20,Female,2013,AGO,158271.550021668,6142775.91515586,0.0257654767498795,P20 Female
Completed secondary education,Not P20,Male,2014,AGO,1835845.92456816,6228242.92006095,0.29476145168567,Not P20 Male
Completed secondary education,P20,Male,2014,AGO,235095.414107773,6748450.12778659,0.0348369491744145,P20 Male
Completed secondary education,Not P20,Female,2014,AGO,1984454.83592705,6363778.63079464,0.311835931300969,Not P20 Female
Completed secondary education,P20,Female,2014,AGO,221569.347735815,6791296.20462984,0.0326254872501016,P20 Female
Completed secondary education,Not P20,Male,2015,AGO,1869734.08250781,6010857.73675403,0.311059446819897,Not P20 Male
Completed secondary education,P20,Male,2015,AGO,273662.510430241,7419846.04365454,0.0368825052191315,P20 Male
Completed secondary education,Not P20,Female,2015,AGO,2020720.8954474,6189047.09304126,0.326499518434659,Not P20 Female
Completed secondary education,P20,Female,2015,AGO,262484.635726672,7426279.45219129,0.035345375489367,P20 Female
Completed secondary education,Not P20,Male,2016,AGO,1876066.64414982,5574441.42658399,0.336547915850912,Not P20 Male
Completed secondary education,P20,Male,2016,AGO,340976.722797077,8317739.24958648,0.0409939182469598,P20 Male
Completed secondary education,Not P20,Female,2016,AGO,2035823.60809161,5786869.55941282,0.351800500631671,Not P20 Female
Completed secondary education,P20,Female,2016,AGO,325832.51049319,8296277.4911043,0.0392745434133037,P20 Female
Completed secondary education,Not P20,Male,2017,AGO,1847665.63164657,5149814.0648183,0.358782979033974,Not P20 Male
Completed secondary education,P20,Male,2017,AGO,444266.761462402,9211627.56385152,0.0482289105136864,P20 Male
Completed secondary education,Not P20,Female,2017,AGO,2011031.77172082,5299995.18934723,0.379440301335161,Not P20 Female
Completed secondary education,P20,Female,2017,AGO,430398.21574146,9258863.42533422,0.0464849945365647,P20 Female
Completed secondary education,Not P20,Male,2018,AGO,1806111.88894608,4691339.2783544,0.384988546294101,Not P20 Male
Completed secondary education,P20,Male,2018,AGO,562150.791872696,10148394.3691986,0.0553930771136446,P20 Male
Completed secondary education,Not P20,Female,2018,AGO,1979929.20183861,4857397.38241625,0.40761112298655,Not P20 Female
Completed secondary education,P20,Female,2018,AGO,542809.926297549,10186328.0067504,0.0532880863386524,P20 Female
Completed secondary education,Not P20,Male,2000,ALB,1571523.17986957,2996777.12689822,0.524404422926223,Not P20 Male
Completed secondary education,P20,Male,2000,ALB,9357.46564968209,66256.0470321549,0.141231873449087,P20 Male
Completed secondary education,Not P20,Female,2000,ALB,1521393.53933681,3061705.18472361,0.496910527809081,Not P20 Female
Completed secondary education,P20,Female,2000,ALB,8627.52784710479,50387.893781244,0.171222236129985,P20 Female
Completed secondary education,Not P20,Male,2001,ALB,1555562.02269538,2963368.25830822,0.524930378913973,Not P20 Male
Completed secondary education,P20,Male,2001,ALB,10133.4431704656,72506.683798677,0.139758745533064,P20 Male
Completed secondary education,Not P20,Female,2001,ALB,1506778.92045889,3023317.77325434,0.498385890424272,Not P20 Female
Completed secondary education,P20,Female,2001,ALB,8543.28105669617,58254.1261831571,0.146655380767968,P20 Female
Completed secondary education,Not P20,Male,2002,ALB,1550033.44610726,2949820.72725527,0.525466999328305,Not P20 Male
Completed secondary education,P20,Male,2002,ALB,10094.7644114689,80820.5212635284,0.124903480621627,P20 Male
Completed secondary education,Not P20,Female,2002,ALB,1499655.77384381,2999023.23042708,0.500048068527381,Not P20 Female
Completed secondary education,P20,Female,2002,ALB,11296.8495865581,69467.6517680839,0.162620288710382,P20 Female
Completed secondary education,Not P20,Male,2003,ALB,1546785.75817054,2941231.24543733,0.525897363755412,Not P20 Male
Completed secondary education,P20,Male,2003,ALB,10081.3905823263,80710.4045094174,0.124908190506591,P20 Male
Completed secondary education,Not P20,Female,2003,ALB,1495502.4441733,2985065.0558594,0.500994925131622,Not P20 Female
Completed secondary education,P20,Female,2003,ALB,11284.433589516,69340.5988702683,0.162739200026645,P20 Female
Completed secondary education,Not P20,Male,2004,ALB,1550026.66380168,2912892.83616419,0.532126223305492,Not P20 Male
Completed secondary education,P20,Male,2004,ALB,10167.1640196163,81381.1428422979,0.124932676840364,P20 Male
Completed secondary education,Not P20,Female,2004,ALB,1499351.57506402,2986944.38294025,0.50196836058531,Not P20 Female
Completed secondary education,P20,Female,2004,ALB,11393.8115941174,69746.9818917736,0.163359206163175,P20 Female
Completed secondary education,Not P20,Male,2005,ALB,1537312.44851133,2886594.57864939,0.532569575194943,Not P20 Male
Completed secondary education,P20,Male,2005,ALB,10267.7168279002,82167.209628643,0.124961245176822,P20 Male
Completed secondary education,Not P20,Female,2005,ALB,1506006.05659823,2981046.15046771,0.505193808006612,Not P20 Female
Completed secondary education,P20,Female,2005,ALB,11522.2411050932,70220.5740244959,0.16408639868244,P20 Female
Completed secondary education,Not P20,Male,2006,ALB,1541040.02832048,2883874.71047737,0.534364416984466,Not P20 Male
Completed secondary education,P20,Male,2006,ALB,10234.2848720984,71706.5374938849,0.142724571981616,P20 Male
Completed secondary education,Not P20,Female,2006,ALB,1511725.81726961,2970487.16335919,0.508915115310604,Not P20 Female
Completed secondary education,P20,Female,2006,ALB,8653.92873412631,56088.8819760489,0.154289556668677,P20 Female
Completed secondary education,Not P20,Male,2007,ALB,1536037.82245732,2872766.94890281,0.534689325579988,Not P20 Male
Completed secondary education,P20,Male,2007,ALB,9371.36136770688,48582.6904010878,0.192895067982835,P20 Male
Completed secondary education,Not P20,Female,2007,ALB,1505273.78972637,2962196.34605786,0.508161382255976,Not P20 Female
Completed secondary education,P20,Female,2007,ALB,8640.33961673372,53555.9194054023,0.161333046144329,P20 Female
Completed secondary education,Not P20,Male,2008,ALB,1527010.87702548,2855752.35512505,0.534714039291624,Not P20 Male
Completed secondary education,P20,Male,2008,ALB,9326.09258265924,43166.5651315343,0.216048985001271,P20 Male
Completed secondary education,Not P20,Female,2008,ALB,1494191.07242592,2950940.01501227,0.50634410215882,Not P20 Female
Completed secondary education,P20,Female,2008,ALB,8598.60206532562,41851.1331169821,0.205456852059199,P20 Female
Completed secondary education,Not P20,Male,2009,ALB,1509156.03179016,2823140.82732165,0.534566330232244,Not P20 Male
Completed secondary education,P20,Male,2009,ALB,9189.64860078057,64981.2730828151,0.141419953238972,P20 Male
Completed secondary education,Not P20,Female,2009,ALB,1476632.56964257,2907706.59675037,0.507834102413511,Not P20 Female
Completed secondary education,P20,Female,2009,ALB,8472.80152303156,56334.0615865548,0.150402816420639,P20 Female
Completed secondary education,Not P20,Male,2010,ALB,806964.001043631,1782530.82344691,0.452706898769464,Not P20 Male
Completed secondary education,P20,Male,2010,ALB,3079.99620323876,27358.5309088373,0.112579005557783,P20 Male
Completed secondary education,Not P20,Female,2010,ALB,788302.22350595,1772434.05064418,0.444756871613614,Not P20 Female
Completed secondary education,P20,Female,2010,ALB,2759.16000910598,34750.6482912559,0.0793988067785272,P20 Female
Completed secondary education,Not P20,Male,2011,ALB,816306.381380412,1753839.74147593,0.465439550761608,Not P20 Male
Completed secondary education,P20,Male,2011,ALB,3071.72161466335,46784.8522899499,0.0656563281556668,P20 Male
Completed secondary education,Not P20,Female,2011,ALB,796057.696653377,1732846.51365421,0.459393079756763,Not P20 Female
Completed secondary education,P20,Female,2011,ALB,5493.28156914438,47187.4960038064,0.116413923906902,P20 Female
Completed secondary education,Not P20,Male,2012,ALB,810625.220441239,1706530.32132219,0.475013663872777,Not P20 Male
Completed secondary education,P20,Male,2012,ALB,8097.20019909824,73776.2244925936,0.109753518220645,P20 Male
Completed secondary education,Not P20,Female,2012,ALB,809089.770333596,1695091.39280714,0.477313361254055,Not P20 Female
Completed secondary education,P20,Female,2012,ALB,7695.78965656939,62705.660678183,0.122728786736904,P20 Female
Completed secondary education,Not P20,Male,2013,ALB,828494.022002393,1662119.50971485,0.498456348752281,Not P20 Male
Completed secondary education,P20,Male,2013,ALB,19695.2555960081,127271.221173402,0.154750268084362,P20 Male
Completed secondary education,Not P20,Female,2013,ALB,822878.057112538,1637406.75919379,0.502549566558341,Not P20 Female
Completed secondary education,P20,Female,2013,ALB,19063.2633219715,110320.699546356,0.172798608061411,P20 Female
Completed secondary education,Not P20,Male,2014,ALB,839578.765381857,1647819.41687142,0.509508964869402,Not P20 Male
Completed secondary education,P20,Male,2014,ALB,18965.1698018477,125876.361278776,0.150665062202154,P20 Male
Completed secondary education,Not P20,Female,2014,ALB,841355.990134671,1616260.75986,0.520557085236387,Not P20 Female
Completed secondary education,P20,Female,2014,ALB,19613.9199577335,109637.074051188,0.178898608226046,P20 Female
Completed secondary education,Not P20,Male,2015,ALB,863480.143361481,1645040.34191079,0.524899068650504,Not P20 Male
Completed secondary education,P20,Male,2015,ALB,18222.6774262226,121014.654014115,0.150582403219506,P20 Male
Completed secondary education,Not P20,Female,2015,ALB,854951.494763519,1589825.00973624,0.537764527245272,Not P20 Female
Completed secondary education,P20,Female,2015,ALB,20058.9960635207,111140.884759897,0.180482601941267,P20 Female
Completed secondary education,Not P20,Male,2016,ALB,876745.965066268,1630626.33238855,0.537674357179063,Not P20 Male
Completed secondary education,P20,Male,2016,ALB,18548.1479448805,125070.420219871,0.14830163608848,P20 Male
Completed secondary education,Not P20,Female,2016,ALB,870413.41551645,1567188.29472579,0.555398109114096,Not P20 Female
Completed secondary education,P20,Female,2016,ALB,19823.2232496533,109917.768795418,0.180345939213421,P20 Female
Completed secondary education,Not P20,Male,2017,ALB,1557874.15413196,2780237.05246609,0.560338605929345,Not P20 Male
Completed secondary education,P20,Male,2017,ALB,54108.0473870135,272167.879047573,0.198803942538553,P20 Male
Completed secondary education,Not P20,Female,2017,ALB,1458072.53182615,2531338.58094469,0.576008497165164,Not P20 Female
Completed secondary education,P20,Female,2017,ALB,30080.9975978844,162474.729620691,0.185142622905793,P20 Female
Completed secondary education,Not P20,Male,2018,ALB,1553504.5359077,2771006.18156987,0.560628318420996,Not P20 Male
Completed secondary education,P20,Male,2018,ALB,54505.2915792416,273876.77229803,0.199013925576461,P20 Male
Completed secondary education,Not P20,Female,2018,ALB,1452695.18709704,2522172.75561391,0.575969740321555,Not P20 Female
Completed secondary education,P20,Female,2018,ALB,31791.116702299,165002.24713893,0.192670810571029,P20 Female
Completed secondary education,Not P20,Male,2000,ARM,2544619.88008531,2730513.20524614,0.931920005073159,Not P20 Male
Completed secondary education,P20,Male,2000,ARM,438438.74643685,495089.123345966,0.885575395948399,P20 Male
Completed secondary education,Not P20,Female,2000,ARM,2356291.87153061,2452911.28195595,0.960610311862444,Not P20 Female
Completed secondary education,P20,Female,2000,ARM,382196.85262684,460668.389451947,0.829657214122151,P20 Female
Completed secondary education,Not P20,Male,2001,ARM,2523000.28565135,2708879.50683791,0.931381510060766,Not P20 Male
Completed secondary education,P20,Male,2001,ARM,437884.528797124,494481.278880899,0.885543189396648,P20 Male
Completed secondary education,Not P20,Female,2001,ARM,2341410.53677071,2437855.42667262,0.96043863436416,Not P20 Female
Completed secondary education,P20,Female,2001,ARM,381739.311714932,460157.787608578,0.829583508080602,P20 Female
Completed secondary education,Not P20,Male,2002,ARM,2505740.41658547,2694465.24018955,0.929958338007433,Not P20 Male
Completed secondary education,P20,Male,2002,ARM,442818.768329416,500114.419025001,0.885434915459375,P20 Male
Completed secondary education,Not P20,Female,2002,ARM,2310435.9414558,2407789.47714959,0.959567255934249,Not P20 Female
Completed secondary education,P20,Female,2002,ARM,386127.876248061,465586.863635858,0.829335847735722,P20 Female
Completed secondary education,Not P20,Male,2003,ARM,2530111.99951967,2747182.49325024,0.920984319656992,Not P20 Male
Completed secondary education,P20,Male,2003,ARM,382857.058427268,429364.875445617,0.89168229709037,P20 Male
Completed secondary education,Not P20,Female,2003,ARM,2352906.82582005,2469020.13995148,0.952971904824678,Not P20 Female
Completed secondary education,P20,Female,2003,ARM,326908.506103648,390296.491352665,0.837590173999949,P20 Female
Completed secondary education,Not P20,Male,2004,ARM,2573150.77571545,2764730.37539537,0.930705865069202,Not P20 Male
Completed secondary education,P20,Male,2004,ARM,331328.435001138,372252.017250699,0.8900648475949,P20 Male
Completed secondary education,Not P20,Female,2004,ARM,2416090.4648424,2542529.25756973,0.950270466956911,Not P20 Female
Completed secondary education,P20,Female,2004,ARM,256243.478950624,321928.349784193,0.795964316663626,P20 Female
Completed secondary education,Not P20,Male,2005,ARM,2655352.37551675,2847801.43974697,0.932421881124086,Not P20 Male
Completed secondary education,P20,Male,2005,ARM,241741.176123205,269942.198280914,0.895529404675136,P20 Male
Completed secondary education,Not P20,Female,2005,ARM,2478728.77786902,2621439.80237798,0.945560060399058,Not P20 Female
Completed secondary education,P20,Female,2005,ARM,169528.261408435,223354.559594136,0.759009628979547,P20 Female
Completed secondary education,Not P20,Male,2006,ARM,2693890.63671744,2902645.49667665,0.92808117277903,Not P20 Male
Completed secondary education,P20,Male,2006,ARM,166350.422293773,195130.159140584,0.852510052912545,P20 Male
Completed secondary education,Not P20,Female,2006,ARM,2504459.86584023,2649538.28448816,0.945243886643458,Not P20 Female
Completed secondary education,P20,Female,2006,ARM,114150.164909785,169300.059694608,0.674247635326857,P20 Female
Completed secondary education,Not P20,Male,2007,ARM,2713662.7720914,2926580.05594633,0.92724706661541,Not P20 Male
Completed secondary education,P20,Male,2007,ARM,90156.2778200264,119447.667721274,0.754776376466404,P20 Male
Completed secondary education,Not P20,Female,2007,ARM,2519507.47412971,2666643.01772995,0.944823681826938,Not P20 Female
Completed secondary education,P20,Female,2007,ARM,96231.1210683753,152565.25860244,0.630753829213097,P20 Female
Completed secondary education,Not P20,Male,2008,ARM,2754550.82027753,2973236.4856145,0.926448613692508,Not P20 Male
Completed secondary education,P20,Male,2008,ARM,69252.9815549552,85892.0430951943,0.806279360222017,P20 Male
Completed secondary education,Not P20,Female,2008,ARM,2499495.65216502,2643004.10636989,0.945702523178454,Not P20 Female
Completed secondary education,P20,Female,2008,ARM,58439.2043898812,113103.364920425,0.516688468384619,P20 Female
